step,time_ps,temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,total_energy_kJ_mol,ligand_distance_TYR13_A,ligand_distance_VAL17_A,ligand_distance_SER20_A,ligand_min_distance_to_key_residues_A,ligand_near_chains_count,ligand_heavy_rmsd_vs_50ps_input_A,severe_lt_1A,close_lt_1p5A,status
1000,0.5,311.508,-444766.907041,141536.78125,-303230.125791,4.93712,4.07357,3.63606,3.63606,2,0.62992,0,0,ok
2000,1,309.22,-444114.285459,140497.40625,-303616.879209,4.69021,3.9022,3.55493,3.55493,2,0.567241,0,0,ok
3000,1.5,310.5,-445203.750303,141079.09375,-304124.656553,4.21146,3.68337,3.46907,3.46907,2,0.658851,0,0,ok
4000,2,310.808,-445525.221006,141218.796875,-304306.424131,3.77289,3.91437,3.91752,3.77289,2,0.686998,0,0,ok
5000,2.5,309.004,-444220.188779,140399.28125,-303820.907529,5.16763,3.4967,3.72944,3.4967,2,1.05219,0,0,ok
6000,3,309.492,-443713.310849,140620.875,-303092.435849,4.58624,3.70605,3.57315,3.57315,2,1.06413,0,0,ok
7000,3.5,311.139,-444692.025693,141369.3125,-303322.713193,4.66075,3.63792,3.83046,3.63792,2,1.14604,0,0,ok
8000,4,308.77,-442936.634092,140292.6875,-302643.946592,4.46145,3.8695,4.29236,3.8695,2,1.61448,0,0,ok
9000,4.5,310.339,-444258.391904,141005.875,-303252.516904,4.24317,3.79024,3.70411,3.70411,2,1.70564,0,0,ok
10000,5,308.552,-444030.625303,140193.734375,-303836.890928,3.81476,4.25675,3.25344,3.25344,2,1.66264,0,0,ok
11000,5.5,310.305,-445364.058896,140990.5,-304373.558896,3.67338,3.64789,3.65745,3.64789,2,1.67957,0,0,ok
12000,6,312.275,-444802.440732,141885.25,-302917.190732,3.97414,4.10998,3.48474,3.48474,2,1.37648,0,0,ok
13000,6.5,312.602,-443033.124326,142034.171875,-300998.952451,4.36659,3.74267,3.41087,3.41087,2,1.48592,0,0,ok
14000,7,311.298,-444099.790342,141441.28125,-302658.509092,4.05855,3.6515,3.79137,3.6515,2,1.29681,0,0,ok
15000,7.5,308.778,-445392.758115,140296.5625,-305096.195615,4.69649,4.34217,3.58383,3.58383,2,1.54219,0,0,ok
16000,8,308.34,-445676.71124,140097.421875,-305579.289365,5.01342,3.54873,3.47787,3.47787,2,1.79341,0,0,ok
17000,8.5,312.547,-445260.015928,142008.78125,-303251.234678,5.02008,3.88432,3.78902,3.78902,2,2.36082,0,0,ok
18000,9,309.414,-443140.89874,140585.40625,-302555.49249,5.07408,4.51706,3.37073,3.37073,2,2.01438,0,0,ok
