step,time_ps,temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,total_energy_kJ_mol,ligand_distance_TYR13_A,ligand_distance_VAL17_A,ligand_distance_SER20_A,ligand_min_distance_to_key_residues_A,ligand_near_chains_count,ligand_heavy_rmsd_vs_50ps_input_A,severe_lt_1A,close_lt_1p5A,status
1000,0.5,312.811,-446011.336422,142116.03125,-303895.305172,3.34044,4.10029,5.20166,3.34044,2,0.442889,0,0,ok
2000,1,310.596,-445099.195797,141109.4375,-303989.758297,3.62633,4.13913,4.78425,3.62633,2,0.702919,0,0,ok
3000,1.5,312.356,-444114.561031,141909.21875,-302205.342281,3.44702,4.22556,5.08524,3.44702,2,0.808429,0,0,ok
4000,2,311.691,-445433.729,141607.046875,-303826.682125,3.77577,4.06306,4.65795,3.77577,2,0.676419,0,0,ok
5000,2.5,310.164,-444218.610836,140913.34375,-303305.267086,3.50115,3.6338,4.94344,3.50115,2,0.80362,0,0,ok
6000,3,310.206,-445915.180172,140932.609375,-304982.570797,3.84999,3.60976,5.06664,3.60976,2,1.07337,0,0,ok
7000,3.5,311.198,-444946.230465,141383.28125,-303562.949215,3.68491,3.97319,5.19479,3.68491,2,0.927056,0,0,ok
8000,4,310.495,-444771.404293,141063.65625,-303707.748043,3.45301,3.73472,5.28323,3.45301,2,0.684816,0,0,ok
9000,4.5,312.671,-445250.538571,142052.1875,-303198.351071,3.46323,4.08075,5.06681,3.46323,2,0.691892,0,0,ok
10000,5,309.213,-445779.845211,140481.09375,-305298.751461,4.02204,3.81521,4.46632,3.81521,2,1.01912,0,0,ok
11000,5.5,310.949,-443767.320797,141270.09375,-302497.227047,3.48998,4.2507,4.68914,3.48998,2,0.911759,0,0,ok
12000,6,310.719,-445530.807125,141165.34375,-304365.463375,3.26385,4.04298,5.18266,3.26385,2,0.962119,0,0,ok
13000,6.5,310.969,-445235.053219,141279.21875,-303955.834469,3.54319,3.77529,4.89994,3.54319,2,1.07583,0,0,ok
14000,7,308.859,-444718.127438,140320.6875,-304397.439938,3.91817,3.80216,5.00567,3.80216,2,0.695413,0,0,ok
15000,7.5,311.255,-445916.068844,141408.90625,-304507.162594,3.61865,4.0361,4.95604,3.61865,2,0.837664,0,0,ok
16000,8,310.827,-446115.038571,141214.59375,-304900.444821,3.97446,3.87716,4.73939,3.87716,2,0.970329,0,0,ok
17000,8.5,310.123,-444896.712399,140894.59375,-304002.118649,3.86532,3.79808,4.98787,3.79808,2,1.11287,0,0,ok
18000,9,310.027,-444944.140133,140851.21875,-304092.921383,3.69189,4.20121,5.01028,3.69189,2,1.1788,0,0,ok
19000,9.5,308.932,-444977.324703,140353.78125,-304623.543453,3.82758,4.37277,5.65536,3.82758,2,1.31158,0,0,ok
20000,10,310.343,-444377.637203,140994.71875,-303382.918453,3.31542,4.18335,5.05899,3.31542,2,1.4563,0,0,ok
21000,10.5,309.328,-445066.030758,140533.734375,-304532.296383,3.38364,4.46099,4.87682,3.38364,2,1.6178,0,0,ok
22000,11,309.929,-444204.622555,140806.484375,-303398.13818,3.2416,4.6154,3.59968,3.2416,2,1.52883,0,0,ok
23000,11.5,309.783,-443478.899899,140740.3125,-302738.587399,3.68515,4.29175,3.70804,3.68515,2,1.49065,0,0,ok
24000,12,310.516,-444059.148922,141073.15625,-302985.992672,3.91213,3.99357,4.21633,3.91213,2,1.2076,0,0,ok
25000,12.5,311.104,-444242.468258,141340.53125,-302901.937008,3.71949,4.4217,3.84332,3.71949,2,1.50512,0,0,ok
26000,13,311.02,-444296.480465,141302.046875,-302994.43359,4.0182,4.22286,4.34272,4.0182,2,1.19013,0,0,ok
27000,13.5,309.833,-445060.614742,140763.03125,-304297.583492,3.95212,3.71783,4.70991,3.71783,2,1.12577,0,0,ok
28000,14,311.248,-444916.287594,141405.921875,-303510.365719,3.97274,4.36742,4.60905,3.97274,2,0.905345,0,0,ok
29000,14.5,311.136,-443205.097164,141354.9375,-301850.159664,3.22228,4.33516,4.48446,3.22228,2,1.05401,0,0,ok
30000,15,310.353,-444405.258297,140999.34375,-303405.914547,3.28112,4.65831,5.83589,3.28112,2,1.37263,0,0,ok
