step,time_ps,temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,ligand_key_min_distance_A,ligand_near_chains_count,ligand_rmsd_A,severe_lt_1A,close_lt_1p5A,status
0,0,50.1736,-616289.687803,22796.8984375,3.28619,2,6.28971e-06,0,0,ok
100,0.005,34.91,-609069.33624,15861.7324219,3.29393,2,0.01367,0,0,ok
200,0.01,29.6016,-605802.988096,13449.7792969,3.30248,2,0.0218675,0,0,ok
300,0.015,29.5105,-604896.309873,13408.3955078,3.30726,2,0.0261911,0,0,ok
400,0.02,29.308,-603858.934873,13316.4042969,3.30847,2,0.0307586,0,0,ok
500,0.025,32.2215,-604401.151181,14640.1679688,3.30515,2,0.0356345,0,0,ok
600,0.03,31.9612,-603481.670224,14521.9013672,3.30063,2,0.0404312,0,0,ok
700,0.035,33.2778,-603327.269834,15120.0996094,3.29564,2,0.0453561,0,0,ok
800,0.04,32.4258,-602237.290342,14733.0097656,3.2914,2,0.0497486,0,0,ok
900,0.045,33.8288,-602170.953428,15370.4521484,3.28942,2,0.0529373,0,0,ok
1000,0.05,33.7679,-601455.934873,15342.8007812,3.2898,2,0.0551334,0,0,ok
1100,0.055,34.6541,-601133.489072,15745.4667969,3.29344,2,0.057178,0,0,ok
1200,0.06,36.5799,-601348.419736,16620.4570312,3.29868,2,0.0608689,0,0,ok
1300,0.065,36.3477,-600608.722959,16514.9648438,3.30514,2,0.0644844,0,0,ok
1400,0.07,37.8359,-600719.450986,17191.1328125,3.31194,2,0.0668016,0,0,ok
1500,0.075,37.6429,-600049.857724,17103.4609375,3.31629,2,0.0686668,0,0,ok
1600,0.08,38.3892,-599842.576474,17442.5195312,3.3169,2,0.0708765,0,0,ok
1700,0.085,38.593,-599378.696592,17535.1445312,3.31173,2,0.074018,0,0,ok
1800,0.09,39.0627,-599058.947568,17748.5664062,3.30582,2,0.0782886,0,0,ok
1900,0.095,39.4571,-598755.253232,17927.7617188,3.29906,2,0.0826477,0,0,ok
2000,0.1,39.6709,-598348.830869,18024.890625,3.2911,2,0.0870239,0,0,ok
2100,0.105,40.71,-598439.691709,18497.0273438,3.28179,2,0.0916637,0,0,ok
2200,0.11,40.8794,-598064.728818,18573.9609375,3.28207,2,0.0958538,0,0,ok
2300,0.115,41.892,-598126.070615,19034.0449219,3.28228,2,0.0999403,0,0,ok
2400,0.12,41.6868,-597681.076474,18940.8164062,3.2857,2,0.103622,0,0,ok
2500,0.125,41.9275,-597461.869443,19050.2148438,3.29829,2,0.107282,0,0,ok
2600,0.13,42.4756,-597352.827451,19299.2167969,3.30772,2,0.109527,0,0,ok
2700,0.135,42.674,-597111.279111,19389.3652344,3.31416,2,0.110983,0,0,ok
2800,0.14,43.2264,-597079.351377,19640.3828125,3.32334,2,0.113622,0,0,ok
2900,0.145,43.3396,-596785.346982,19691.8007812,3.33071,2,0.118031,0,0,ok
3000,0.15,43.8514,-596710.69415,19924.3339844,3.33579,2,0.12356,0,0,ok
3100,0.155,43.9252,-596485.437803,19957.8769531,3.33983,2,0.128507,0,0,ok
3200,0.16,44.6078,-596391.374326,20268.0390625,3.33989,2,0.130813,0,0,ok
3300,0.165,44.6875,-596201.474912,20304.2480469,3.3343,2,0.131824,0,0,ok
3400,0.17,44.6652,-595955.638974,20294.1054688,3.33433,2,0.133888,0,0,ok
3500,0.175,45.3382,-596069.012998,20599.8671875,3.33642,2,0.136893,0,0,ok
3600,0.18,45.0632,-595774.196592,20474.921875,3.33049,2,0.140506,0,0,ok
3700,0.185,45.5324,-595815.751767,20688.1113281,3.31423,2,0.143749,0,0,ok
3800,0.19,45.6136,-595682.825498,20725.0117188,3.29738,2,0.147278,0,0,ok
3900,0.195,45.748,-595585.69415,20786.0742188,3.29028,2,0.150906,0,0,ok
4000,0.2,46.1753,-595603.635068,20980.2246094,3.28763,2,0.153695,0,0,ok
