contact_type,distance_A,category,ligand_atom_name,ligand_serial,other_atom_name,other_serial,other_resname,other_segid,other_resid
severe_clash,0.444,lipid,C10,50990,C216,13774,POPC,MEMB,121
severe_clash,0.702,lipid,C11,50991,C217,13777,POPC,MEMB,121
severe_clash,0.870,lipid,C8,50987,C213,13765,POPC,MEMB,121
severe_clash,0.970,lipid,C8,50987,C214,13768,POPC,MEMB,121
severe_clash,0.979,lipid,C12,50992,C218,13780,POPC,MEMB,121
close_contact,1.032,lipid,C9,50988,C214,13768,POPC,MEMB,121
close_contact,1.112,lipid,N,50989,C215,13771,POPC,MEMB,121
close_contact,1.147,lipid,C9,50988,C215,13771,POPC,MEMB,121
close_contact,1.255,lipid,N,50989,C216,13774,POPC,MEMB,121
close_contact,1.258,lipid,C19,51000,C213,13765,POPC,MEMB,121
close_contact,1.325,lipid,C11,50991,C218,13780,POPC,MEMB,121
close_contact,1.332,lipid,C14,50994,C215,13771,POPC,MEMB,121
close_contact,1.360,lipid,C3,50982,C210,13757,POPC,MEMB,121
close_contact,1.366,lipid,C10,50990,C217,13777,POPC,MEMB,121
close_contact,1.407,lipid,C10,50990,C215,13771,POPC,MEMB,121
close_contact,1.456,lipid,C19,51000,C212,13762,POPC,MEMB,121
close_contact,1.464,lipid,C13,50993,C216,13774,POPC,MEMB,121
close_contact,1.464,lipid,C11,50991,C216,13774,POPC,MEMB,121
