step,time_ps,stage,target_temperature_K,actual_temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,total_energy_kJ_mol,ligand_key_min_distance_A,ligand_near_chains_count,ligand_heavy_rmsd_vs_100ps_input_A,ligand_heavy_rmsd_vs_original_R2_input_A,severe_lt_1A,close_lt_1p5A,status
46000,23,310K_100ps,310,312.01,-452016.130612,145723.71875,-306292.411862,3.40633,2,0.832585,1.18903,0,0,ok
48000,24,310K_100ps,310,308.737,-452624.917721,144195.078125,-308429.839596,3.72081,2,0.704221,1.30961,0,0,ok
50000,25,310K_100ps,310,311.726,-452078.20776,145591.3125,-306486.89526,3.54603,2,0.570619,1.21229,0,0,ok
52000,26,310K_100ps,310,310.333,-451846.148678,144940.34375,-306905.804928,3.48025,2,0.669982,1.25434,0,0,ok
54000,27,310K_100ps,310,308.96,-451798.42651,144299.375,-307499.05151,3.43369,2,0.872823,1.4404,0,0,ok
56000,28,310K_100ps,310,311.254,-453141.052487,145370.65625,-307770.396237,3.38552,2,0.691402,1.24259,0,0,ok
58000,29,310K_100ps,310,310.773,-451965.760495,145146.046875,-306819.71362,3.81576,2,0.766385,1.33742,0,0,ok
60000,30,310K_100ps,310,308.835,-451133.427487,144241.09375,-306892.333737,3.56035,2,0.960073,1.44714,0,0,ok
62000,31,310K_100ps,310,309.547,-452407.132565,144573.5,-307833.632565,3.74752,2,0.764403,1.43259,0,0,ok
64000,32,310K_100ps,310,309.076,-453361.729245,144353.65625,-309008.072995,3.90425,2,0.577465,1.42073,0,0,ok
66000,33,310K_100ps,310,311.697,-451488.379635,145577.40625,-305910.973385,4.08271,2,0.762928,1.56703,0,0,ok
68000,34,310K_100ps,310,309.675,-451511.11987,144633.15625,-306877.96362,4.28346,2,0.775972,1.54313,0,0,ok
70000,35,310K_100ps,310,311.321,-451699.714596,145401.84375,-306297.870846,4.20653,2,0.881714,1.66211,0,0,ok
72000,36,310K_100ps,310,310.135,-451527.883541,144848.1875,-306679.696041,3.77246,2,0.659148,1.47639,0,0,ok
74000,37,310K_100ps,310,311.433,-452192.502682,145454.125,-306738.377682,4.17225,2,0.691538,1.41053,0,0,ok
76000,38,310K_100ps,310,313.25,-452328.850338,146302.890625,-306025.959713,4.13568,2,0.903972,1.57345,0,0,ok
78000,39,310K_100ps,310,309.443,-453067.27319,144524.84375,-308542.42944,4.14766,2,0.808597,1.58542,0,0,ok
80000,40,310K_100ps,310,310.68,-452417.099362,145102.609375,-307314.489987,3.96566,2,0.804586,1.38006,0,0,ok
82000,41,310K_100ps,310,310.221,-451805.378659,144888.046875,-306917.331784,3.84763,2,0.66182,1.22505,0,0,ok
84000,42,310K_100ps,310,311.89,-453708.195065,145667.78125,-308040.413815,4.09779,2,0.921459,1.36839,0,0,ok
86000,43,310K_100ps,310,311.296,-451778.414791,145390.4375,-306387.977291,3.44461,2,0.937177,1.31972,0,0,ok
88000,44,310K_100ps,310,308.368,-451360.605221,144022.78125,-307337.823971,4.2155,2,0.986001,1.42886,0,0,ok
90000,45,310K_100ps,310,311.405,-451608.316159,145441.15625,-306167.159909,4.00357,2,0.675393,1.28326,0,0,ok
92000,46,310K_100ps,310,311.328,-451958.966549,145405.28125,-306553.685299,3.33398,2,0.843503,1.33213,0,0,ok
94000,47,310K_100ps,310,310.858,-451862.025143,145185.640625,-306676.384518,3.31165,2,0.822179,1.29937,0,0,ok
96000,48,310K_100ps,310,307.978,-452968.266842,143840.375,-309127.891842,3.44029,2,1.04098,1.47104,0,0,ok
98000,49,310K_100ps,310,311.116,-452698.738034,145306.375,-307392.363034,3.46445,2,1.21764,1.53616,0,0,ok
100000,50,310K_100ps,310,311.157,-452469.265866,145325.453125,-307143.812741,4.06906,2,1.12705,1.61029,0,0,ok
102000,51,310K_100ps,310,309.776,-453344.23901,144680.171875,-308664.067135,3.51975,2,1.01316,1.4785,0,0,ok
104000,52,310K_100ps,310,309.441,-452892.318112,144524.125,-308368.193112,3.8707,2,0.88004,1.47555,0,0,ok
106000,53,310K_100ps,310,308.217,-452411.867428,143952.234375,-308459.633053,4.04711,2,1.1646,1.69502,0,0,ok
108000,54,310K_100ps,310,311.892,-451112.607174,145668.796875,-305443.810299,3.81371,2,1.52269,1.85635,0,0,ok
110000,55,310K_100ps,310,309.289,-451424.587643,144453.03125,-306971.556393,3.7944,2,1.08038,1.41751,0,0,ok
112000,56,310K_100ps,310,309.623,-452465.480221,144608.671875,-307856.808346,4.26704,2,0.963127,1.43834,0,0,ok
114000,57,310K_100ps,310,312.238,-451477.571041,145830.375,-305647.196041,3.71477,2,1.05964,1.44579,0,0,ok
116000,58,310K_100ps,310,312.768,-451296.227291,146077.75,-305218.477291,3.51945,2,0.863055,1.37898,0,0,ok
118000,59,310K_100ps,310,311.207,-452298.038815,145348.71875,-306949.320065,3.24725,2,0.913726,1.29261,0,0,ok
120000,60,310K_100ps,310,310.885,-452042.515377,145198.25,-306844.265377,3.49534,2,1.12213,1.58287,0,0,ok
122000,61,310K_100ps,310,307.547,-451322.089596,143639.21875,-307682.870846,3.65063,2,1.08336,1.35803,0,0,ok
124000,62,310K_100ps,310,309.424,-452349.076901,144515.9375,-307833.139401,3.48403,2,0.722838,1.20546,0,0,ok
126000,63,310K_100ps,310,312.976,-451196.865963,146174.953125,-305021.912838,3.48778,2,0.841806,1.25628,0,0,ok
128000,64,310K_100ps,310,310.744,-451741.712643,145132.46875,-306609.243893,3.50772,2,0.717596,1.44997,0,0,ok
130000,65,310K_100ps,310,309.917,-452057.364987,144746.046875,-307311.318112,3.57101,2,0.763669,1.30542,0,0,ok
132000,66,310K_100ps,310,312.288,-452514.356198,145853.71875,-306660.637448,3.56085,2,0.974473,1.4894,0,0,ok
134000,67,310K_100ps,310,309.138,-452872.452877,144382.34375,-308490.109127,3.32895,2,0.998537,1.43848,0,0,ok
136000,68,310K_100ps,310,311.365,-453112.010495,145422.3125,-307689.697995,3.80928,2,0.981063,1.41048,0,0,ok
138000,69,310K_100ps,310,310.713,-452625.799557,145117.96875,-307507.830807,3.4802,2,1.08178,1.6053,0,0,ok
140000,70,310K_100ps,310,311.232,-453208.013424,145360.359375,-307847.654049,3.67091,2,0.352953,1.24094,0,0,ok
142000,71,310K_100ps,310,311.839,-452122.271237,145644.03125,-306478.239987,3.74372,2,0.6023,1.29172,0,0,ok
144000,72,310K_100ps,310,309.348,-452099.400143,144480.6875,-307618.712643,3.83415,2,0.758691,1.5573,0,0,ok
146000,73,310K_100ps,310,308.681,-452700.490475,144168.75,-308531.740475,4.26932,2,0.797778,1.51663,0,0,ok
148000,74,310K_100ps,310,310.371,-452842.427487,144958.40625,-307884.021237,3.94876,2,0.70989,1.33721,0,0,ok
150000,75,310K_100ps,310,312.057,-452598.813229,145745.59375,-306853.219479,4.26835,2,0.759984,1.62759,0,0,ok
152000,76,310K_100ps,310,310.064,-452187.927487,144814.8125,-307373.114987,3.62206,2,0.555708,1.32791,0,0,ok
154000,77,310K_100ps,310,308.778,-452213.377194,144214.328125,-307999.049069,3.86287,2,0.657292,1.38465,0,0,ok
156000,78,310K_100ps,310,312.161,-452827.655026,145794.171875,-307033.483151,3.672,2,0.543485,1.34387,0,0,ok
158000,79,310K_100ps,310,311.752,-453271.436276,145603.40625,-307668.030026,3.62881,2,0.870644,1.5354,0,0,ok
160000,80,310K_100ps,310,310.825,-453035.577877,145170.515625,-307865.062252,3.31255,2,0.790979,1.46683,0,0,ok
162000,81,310K_100ps,310,310.242,-452482.742916,144898.0625,-307584.680416,3.95227,2,1.07426,1.57214,0,0,ok
164000,82,310K_100ps,310,308.587,-454143.822018,144124.953125,-310018.868893,4.36318,2,0.849734,1.52748,0,0,ok
166000,83,310K_100ps,310,308.811,-452725.438229,144229.546875,-308495.891354,3.41126,2,0.610214,1.48097,0,0,ok
168000,84,310K_100ps,310,309.351,-452904.514401,144482.046875,-308422.467526,3.91996,2,0.942796,1.54018,0,0,ok
170000,85,310K_100ps,310,311.695,-451907.868405,145576.6875,-306331.180905,4.02282,2,1.2987,1.93887,0,0,ok
172000,86,310K_100ps,310,310.303,-452561.834713,144926.34375,-307635.490963,4.26353,2,1.3194,2.00164,0,0,ok
174000,87,310K_100ps,310,311.219,-452429.120846,145354.34375,-307074.777096,4.16426,2,0.980982,1.6465,0,0,ok
176000,88,310K_100ps,310,309.909,-453360.356198,144742.5,-308617.856198,3.48837,2,0.767155,1.42382,0,0,ok
178000,89,310K_100ps,310,308.801,-452883.821041,144225.015625,-308658.805416,3.52973,2,0.708552,1.38943,0,0,ok
180000,90,310K_100ps,310,311.396,-452709.810299,145436.953125,-307272.857174,3.99237,2,1.05364,1.63079,0,0,ok
182000,91,310K_100ps,310,311.836,-453782.515377,145642.5,-308140.015377,3.6601,2,0.910615,1.48705,0,0,ok
184000,92,310K_100ps,310,310.879,-454250.77612,145195.46875,-309055.30737,3.34812,2,0.600199,1.38595,0,0,ok
186000,93,310K_100ps,310,310.937,-453725.564206,145222.796875,-308502.767331,3.49998,2,0.676068,1.32357,0,0,ok
188000,94,310K_100ps,310,310.57,-451530.141354,145051.09375,-306479.047604,3.51261,2,0.594441,1.31847,0,0,ok
190000,95,310K_100ps,310,310.43,-454385.714596,144985.78125,-309399.933346,4.10842,2,0.67797,1.45077,0,0,ok
192000,96,310K_100ps,310,309.908,-452573.062252,144742,-307831.062252,3.75049,2,0.73317,1.46301,0,0,ok
194000,97,310K_100ps,310,311.337,-454420.981198,145409.46875,-309011.512448,3.42969,2,0.817097,1.53311,0,0,ok
196000,98,310K_100ps,310,312.202,-452439.096432,145813.3125,-306625.783932,4.16087,2,1.101,1.66025,0,0,ok
198000,99,310K_100ps,310,310.868,-452820.02026,145190.25,-307629.77026,3.50281,2,1.20768,1.69138,0,0,ok
200000,100,310K_100ps,310,310.952,-453165.298581,145229.5,-307935.798581,3.6668,2,1.19815,1.56563,0,0,ok
