step,time_ps,temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,ligand_key_min_distance_A,ligand_near_chains_count,ligand_rmsd_A,severe_lt_1A,close_lt_1p5A,status
0,0,49.2042,-615826.978832,22356.4550781,3.45568,2,7.24751e-06,0,0,ok
100,0.005,34.5951,-608827.427562,15718.6386719,3.45305,2,0.0129261,0,0,ok
200,0.01,29.2534,-605517.498363,13291.5878906,3.44042,2,0.0217568,0,0,ok
300,0.015,29.2407,-604549.621898,13285.8222656,3.4301,2,0.0300401,0,0,ok
400,0.02,29.2019,-603586.908519,13268.1777344,3.42796,2,0.0365064,0,0,ok
500,0.025,32.3399,-604186.79182,14693.9570312,3.42338,2,0.0408064,0,0,ok
600,0.03,31.7236,-603090.588207,14413.9492188,3.41723,2,0.0445621,0,0,ok
700,0.035,33.1695,-602925.539378,15070.9306641,3.40418,2,0.0479633,0,0,ok
800,0.04,32.4134,-601797.045726,14727.3544922,3.3926,2,0.0523579,0,0,ok
900,0.045,33.9553,-601702.973949,15427.9462891,3.38526,2,0.0560587,0,0,ok
1000,0.05,34.0336,-600941.404124,15463.5087891,3.3851,2,0.0574552,0,0,ok
1100,0.055,34.713,-600641.958324,15772.1914062,3.39024,2,0.056742,0,0,ok
1200,0.06,36.446,-600851.322582,16559.6054688,3.39511,2,0.0563925,0,0,ok
1300,0.065,36.1339,-600121.370433,16417.8242188,3.39752,2,0.0578297,0,0,ok
1400,0.07,37.4849,-600162.575511,17031.6640625,3.39382,2,0.0604273,0,0,ok
1500,0.075,37.327,-599541.300121,16959.9101562,3.39508,2,0.0631137,0,0,ok
1600,0.08,38.1458,-599313.568675,17331.9609375,3.40884,2,0.065327,0,0,ok
1700,0.085,38.0389,-598740.767894,17283.3847656,3.42378,2,0.066843,0,0,ok
1800,0.09,38.6891,-598538.92805,17578.7792969,3.4306,2,0.0689296,0,0,ok
1900,0.095,39.3346,-598318.172679,17872.1074219,3.43287,2,0.0715683,0,0,ok
2000,0.1,39.7045,-597933.18098,18040.1679688,3.43664,2,0.0749772,0,0,ok
2100,0.105,40.6848,-597940.361156,18485.578125,3.44777,2,0.0777103,0,0,ok
2200,0.11,40.7417,-597533.466136,18511.4023438,3.45577,2,0.0811985,0,0,ok
2300,0.115,41.7619,-597581.633128,18974.9375,3.44954,2,0.0847247,0,0,ok
2400,0.12,41.6161,-597080.924144,18908.6992188,3.43148,2,0.0893735,0,0,ok
2500,0.125,42.1332,-596915.550121,19143.6757812,3.41233,2,0.0946788,0,0,ok
2600,0.13,43.096,-596935.151683,19581.1015625,3.39997,2,0.0985728,0,0,ok
2700,0.135,42.882,-596555.30891,19483.8828125,3.38669,2,0.101256,0,0,ok
2800,0.14,43.4903,-596569.950511,19760.2617188,3.36879,2,0.10333,0,0,ok
2900,0.145,43.3002,-596225.382152,19673.890625,3.35181,2,0.105027,0,0,ok
3000,0.15,43.891,-596239.026195,19942.3359375,3.34034,2,0.106812,0,0,ok
3100,0.155,44.07,-596026.371898,20023.6835938,3.32822,2,0.108375,0,0,ok
3200,0.16,44.5639,-596004.273753,20248.09375,3.30844,2,0.110022,0,0,ok
3300,0.165,44.6506,-595819.15266,20287.4492188,3.29407,2,0.110567,0,0,ok
3400,0.17,44.5495,-595533.171214,20241.53125,3.29382,2,0.110263,0,0,ok
3500,0.175,45.2475,-595661.353832,20558.6835938,3.30078,2,0.109702,0,0,ok
3600,0.18,44.9937,-595334.294261,20443.3515625,3.31044,2,0.10918,0,0,ok
3700,0.185,45.7645,-595454.619457,20793.5976562,3.31703,2,0.109619,0,0,ok
3800,0.19,45.6802,-595251.100414,20755.2695312,3.32463,2,0.109895,0,0,ok
3900,0.195,45.9527,-595139.06721,20879.0859375,3.33885,2,0.110788,0,0,ok
4000,0.2,46.1574,-595039.013988,20972.0976562,3.35588,2,0.111885,0,0,ok
