contact_type,distance_A,category,ligand_atom_name,ligand_serial,other_atom_name,other_serial,other_resname,other_segid,other_resid
severe_clash,0.538,lipid,N,50988,C211,12687,POPC,MEMB,113
severe_clash,0.610,lipid,C13,50993,C212,12690,POPC,MEMB,113
severe_clash,0.690,lipid,C19,51000,C27,12677,POPC,MEMB,113
severe_clash,0.705,lipid,C7,50986,C28,12680,POPC,MEMB,113
severe_clash,0.832,lipid,C12,50992,C214,12696,POPC,MEMB,113
close_contact,1.009,lipid,C12,50992,C213,12693,POPC,MEMB,113
close_contact,1.063,lipid,C9,50989,C211,12687,POPC,MEMB,113
close_contact,1.186,lipid,C9,50989,C212,12690,POPC,MEMB,113
close_contact,1.205,lipid,C11,50991,C213,12693,POPC,MEMB,113
close_contact,1.253,lipid,C19,51000,C28,12680,POPC,MEMB,113
close_contact,1.264,lipid,C3,50982,C26,12674,POPC,MEMB,113
close_contact,1.332,lipid,N,50988,C210,12685,POPC,MEMB,113
close_contact,1.333,lipid,C11,50991,C214,12696,POPC,MEMB,113
close_contact,1.380,lipid,C6,50985,C28,12680,POPC,MEMB,113
close_contact,1.383,lipid,C19,51000,C26,12674,POPC,MEMB,113
close_contact,1.406,lipid,C7,50986,C27,12677,POPC,MEMB,113
close_contact,1.426,lipid,C13,50993,C213,12693,POPC,MEMB,113
close_contact,1.440,lipid,C2,50981,C26,12674,POPC,MEMB,113
