step,time_ps,temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,ligand_key_min_distance_A,ligand_near_chains_count,ligand_rmsd_A,severe_lt_1A,close_lt_1p5A,status
0,0,50.3101,-628698.825492,23496.8164062,3.15338,2,7.24791e-06,0,0,ok
100,0.005,35.2892,-621400.233695,16481.4882812,3.14785,2,0.0150089,0,0,ok
200,0.01,29.9873,-618054.055473,14005.2539062,3.14257,2,0.026215,0,0,ok
300,0.015,29.9056,-617116.417777,13967.1064453,3.13829,2,0.0343759,0,0,ok
400,0.02,29.6824,-616035.863578,13862.8554688,3.1399,2,0.042587,0,0,ok
500,0.025,32.7181,-616576.935355,15280.6738281,3.13991,2,0.0509775,0,0,ok
600,0.03,32.1996,-615480.049613,15038.4804688,3.14177,2,0.0593032,0,0,ok
700,0.035,33.539,-615338.648246,15664.0585938,3.14676,2,0.0670235,0,0,ok
800,0.04,32.7239,-614187.097953,15283.3613281,3.15344,2,0.0738384,0,0,ok
900,0.045,33.9732,-614069.527152,15866.8378906,3.16115,2,0.0805063,0,0,ok
1000,0.05,34.026,-613368.115531,15891.4980469,3.17235,2,0.0872428,0,0,ok
1100,0.055,34.5372,-612895.323539,16130.2714844,3.18005,2,0.0944119,0,0,ok
1200,0.06,36.7097,-613245.077934,17144.9199219,3.187,2,0.101493,0,0,ok
1300,0.065,36.5378,-612575.481254,17064.625,3.19282,2,0.108113,0,0,ok
1400,0.07,37.6849,-612496.287894,17600.375,3.20052,2,0.114464,0,0,ok
1500,0.075,37.409,-611821.39434,17471.5136719,3.21445,2,0.120199,0,0,ok
1600,0.08,38.2096,-611618.392387,17845.4082031,3.22776,2,0.124738,0,0,ok
1700,0.085,38.2409,-611120.560844,17860.0117188,3.24576,2,0.12953,0,0,ok
1800,0.09,38.8384,-610914.491019,18139.0898438,3.26137,2,0.134071,0,0,ok
1900,0.095,39.7272,-610814.939262,18554.2109375,3.2643,2,0.138627,0,0,ok
2000,0.1,39.6567,-610324.61309,18521.28125,3.26684,2,0.142809,0,0,ok
2100,0.105,40.7506,-610349.145316,19032.1503906,3.27585,2,0.147385,0,0,ok
2200,0.11,40.8722,-610001.913871,19088.9746094,3.2851,2,0.152312,0,0,ok
2300,0.115,41.8324,-609944.04473,19537.4023438,3.29612,2,0.158111,0,0,ok
2400,0.12,41.3288,-609377.008598,19302.2109375,3.31149,2,0.163405,0,0,ok
2500,0.125,42.0433,-609297.528129,19635.9160156,3.3309,2,0.169025,0,0,ok
2600,0.13,42.7626,-609276.296195,19971.8652344,3.35297,2,0.174942,0,0,ok
2700,0.135,42.5755,-608883.311332,19884.4492188,3.37302,2,0.182161,0,0,ok
2800,0.14,43.1298,-608827.244926,20143.3515625,3.40147,2,0.189097,0,0,ok
2900,0.145,43.252,-608558.963187,20200.40625,3.42953,2,0.19527,0,0,ok
3000,0.15,44.0005,-608519.173637,20549.9804688,3.45163,2,0.20073,0,0,ok
3100,0.155,43.8786,-608210.376273,20493.0390625,3.47353,2,0.20598,0,0,ok
3200,0.16,44.6177,-608204.727348,20838.2460938,3.49011,2,0.211074,0,0,ok
3300,0.165,45.1512,-608198.179984,21087.40625,3.50578,2,0.216168,0,0,ok
3400,0.17,45.0648,-607920.407035,21047.0527344,3.52062,2,0.220811,0,0,ok
3500,0.175,45.6492,-607900.606742,21319.9960938,3.53904,2,0.225487,0,0,ok
3600,0.18,45.3476,-607578.23809,21179.1640625,3.54766,2,0.231162,0,0,ok
3700,0.185,45.6813,-607536.451957,21335.0058594,3.55161,2,0.236585,0,0,ok
3800,0.19,45.8635,-607412.261527,21420.109375,3.5626,2,0.241975,0,0,ok
3900,0.195,45.9616,-607325.245414,21465.8964844,3.57166,2,0.245303,0,0,ok
4000,0.2,46.1565,-607236.964652,21556.9179688,3.56942,2,0.248396,0,0,ok
