step,time_ps,temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,total_energy_kJ_mol,ligand_distance_TYR13_A,ligand_distance_VAL17_A,ligand_distance_SER20_A,ligand_min_distance_to_key_residues_A,ligand_near_chains_count,ligand_heavy_rmsd_vs_50ps_input_A,severe_lt_1A,close_lt_1p5A,status
1000,0.5,311.054,-453148.317107,145264.234375,-307884.082732,3.33938,4.21601,3.92381,3.33938,2,0.620255,0,0,ok
2000,1,310.816,-455086.859588,145153.171875,-309933.687713,4.12165,3.91303,4.02348,3.91303,2,0.769531,0,0,ok
3000,1.5,311.726,-453048.487517,145577.953125,-307470.534392,3.81479,4.0864,4.07934,3.81479,2,0.746839,0,0,ok
4000,2,313.192,-453541.369353,146262.90625,-307278.463103,3.92552,4.32611,4.6203,3.92552,2,0.754827,0,0,ok
5000,2.5,309.304,-454756.030486,144446.84375,-310309.186736,3.17503,4.12037,3.96115,3.17503,2,0.792201,0,0,ok
6000,3,311.439,-454789.762908,145444.0625,-309345.700408,3.60723,3.73921,3.36836,3.36836,2,0.699903,0,0,ok
7000,3.5,310.08,-453832.772185,144809.34375,-309023.428435,3.82055,4.38473,4.27128,3.82055,2,0.766134,0,0,ok
8000,4,310.304,-453817.569549,144913.9375,-308903.632049,3.99941,4.14741,3.97938,3.97938,2,0.910566,0,0,ok
9000,4.5,308.988,-454133.747283,144299.296875,-309834.450408,3.81036,3.98605,4.08821,3.81036,2,0.965693,0,0,ok
10000,5,310.75,-455301.533416,145122.5625,-310178.970916,3.94135,3.87816,4.93652,3.87816,2,1.38408,0,0,ok
11000,5.5,310.398,-455168.553924,144958.125,-310210.428924,3.37834,3.79542,4.5648,3.37834,2,1.28457,0,0,ok
12000,6,310.349,-453482.81076,144934.859375,-308547.951385,3.82607,4.60019,4.6643,3.82607,2,1.3682,0,0,ok
13000,6.5,310.63,-453716.587127,145066.09375,-308650.493377,3.54403,4.3593,4.32731,3.54403,2,1.21445,0,0,ok
14000,7,310.295,-453205.888885,144909.875,-308296.013885,3.37088,4.05943,3.96212,3.37088,2,1.15725,0,0,ok
15000,7.5,308.479,-453622.953338,144061.625,-309561.328338,3.76823,4.22958,4.46761,3.76823,2,1.25411,0,0,ok
16000,8,310.525,-453828.695525,145017.390625,-308811.3049,3.51495,4.51484,3.92194,3.51495,2,1.23033,0,0,ok
17000,8.5,311.317,-455367.816619,145387.171875,-309980.644744,3.9899,3.97652,3.95978,3.95978,2,1.35013,0,0,ok
18000,9,309.47,-454183.514861,144524.40625,-309659.108611,3.63726,4.11715,4.31622,3.63726,2,1.22494,0,0,ok
19000,9.5,309.896,-454607.392303,144723.46875,-309883.923553,3.46868,4.51696,3.78574,3.46868,2,0.835949,0,0,ok
20000,10,310.227,-453153.425017,144878.21875,-308275.206267,3.37528,3.9018,4.21384,3.37528,2,0.741533,0,0,ok
21000,10.5,310.926,-454213.940642,145204.3125,-309009.628142,3.66061,3.65398,4.80254,3.65398,2,0.829337,0,0,ok
22000,11,308.941,-453263.842986,144277.34375,-308986.499236,3.47195,4.05322,4.06074,3.47195,2,1.07637,0,0,ok
23000,11.5,311.13,-454169.152556,145299.78125,-308869.371306,3.86004,4.90448,4.33302,3.86004,2,1.04877,0,0,ok
24000,12,309.042,-454396.852752,144324.671875,-310072.180877,3.3685,3.71715,3.74586,3.3685,2,0.956913,0,0,ok
25000,12.5,313.483,-455518.284392,146398.84375,-309119.440642,3.98305,4.16971,4.01129,3.98305,2,1.1902,0,0,ok
26000,13,310.605,-454605.016326,145054.640625,-309550.375701,3.7389,4.53099,4.95729,3.7389,2,1.31284,0,0,ok
27000,13.5,309.73,-453192.985564,144645.921875,-308547.063689,4.08497,3.65354,4.71701,3.65354,2,1.40033,0,0,ok
28000,14,311.487,-452473.119353,145466.5625,-307006.556853,3.92016,4.28517,4.61616,3.92016,2,1.223,0,0,ok
29000,14.5,308.757,-454085.835174,144191.375,-309894.460174,3.61995,4.53824,5.17539,3.61995,2,1.38343,0,0,ok
30000,15,310.382,-454048.792693,144950.546875,-309098.245818,4.01286,4.0902,4.57888,4.01286,2,1.22919,0,0,ok
31000,15.5,310.068,-453218.431853,144803.84375,-308414.588103,3.7473,4.51334,5.15335,3.7473,2,1.37491,0,0,ok
32000,16,310.809,-454419.759002,145149.84375,-309269.915252,3.37178,4.24613,5.26297,3.37178,2,1.76103,0,0,ok
33000,16.5,309.011,-452990.06076,144310.15625,-308679.90451,3.28934,4.51218,5.58603,3.28934,2,1.56583,0,0,ok
34000,17,307.987,-453191.062713,143831.875,-309359.187713,3.83452,4.30291,5.39022,3.83452,2,1.382,0,0,ok
35000,17.5,311.253,-455002.129119,145357.078125,-309645.050994,3.7668,3.92343,4.9992,3.7668,2,1.41527,0,0,ok
36000,18,310.266,-455829.108611,144896.15625,-310932.952361,3.86026,3.95285,4.50253,3.86026,2,1.04176,0,0,ok
37000,18.5,310.921,-455103.592986,145202.1875,-309901.405486,3.81811,4.48034,5.49835,3.81811,2,1.44164,0,0,ok
38000,19,309.589,-454553.68576,144580.34375,-309973.34201,3.72509,4.58124,5.62872,3.72509,2,1.4736,0,0,ok
39000,19.5,309.909,-454525.87033,144729.453125,-309796.417205,4.19395,4.56553,5.85357,4.19395,2,1.70346,0,0,ok
40000,20,311.473,-454634.99533,145460.171875,-309174.823455,4.15403,4.55269,6.25294,4.15403,2,2.13028,0,0,ok
41000,20.5,308.361,-454230.909392,144006.828125,-310224.081267,4.15501,4.4848,6.00338,4.15501,2,1.81101,0,0,ok
42000,21,310.107,-455297.772674,144821.96875,-310475.803924,4.1573,4.06329,6.00874,4.06329,2,1.95188,0,0,ok
43000,21.5,310.122,-454367.746306,144829.078125,-309538.668181,3.83503,4.53448,6.53237,3.83503,2,1.78038,0,0,ok
44000,22,310.509,-454511.204314,145009.765625,-309501.438689,4.85873,4.89086,5.59411,4.85873,2,1.56298,0,0,ok
45000,22.5,309.512,-454448.545135,144544.109375,-309904.43576,3.92353,4.24646,5.80434,3.92353,2,1.4899,0,0,ok
46000,23,311.52,-453885.393767,145481.828125,-308403.565642,4.88694,4.50097,5.70697,4.50097,2,1.8891,0,0,ok
47000,23.5,308.282,-454340.017791,143969.765625,-310370.252166,4.50126,4.186,5.45146,4.186,2,1.61964,0,0,ok
48000,24,310.479,-454027.525603,144996.015625,-309031.509978,3.54488,3.97317,5.20358,3.54488,2,1.28539,0,0,ok
49000,24.5,308.551,-453256.861541,144095.609375,-309161.252166,4.33382,4.16303,4.87703,4.16303,2,1.27423,0,0,ok
50000,25,311.726,-454420.072967,145577.921875,-308842.151092,3.49605,3.86131,5.02604,3.49605,2,1.03729,0,0,ok
51000,25.5,310.204,-453628.037322,144867.28125,-308760.756072,3.40908,3.81563,4.98925,3.40908,2,1.09398,0,0,ok
52000,26,309.23,-454485.202849,144412.5625,-310072.640349,3.34944,3.60155,5.16166,3.34944,2,1.23437,0,0,ok
53000,26.5,309.008,-455190.408416,144308.796875,-310881.611541,4.16652,3.61287,4.83922,3.61287,2,1.49229,0,0,ok
54000,27,312.937,-454541.877166,146143.625,-308398.252166,3.61076,3.99251,4.86127,3.61076,2,1.38212,0,0,ok
55000,27.5,309.855,-455699.046111,144704.28125,-310994.764861,3.63849,3.5489,4.83628,3.5489,2,1.36138,0,0,ok
56000,28,308.291,-455255.90451,143973.90625,-311281.99826,3.64256,4.08872,4.71679,3.64256,2,1.29543,0,0,ok
57000,28.5,312.14,-454643.609099,145771.640625,-308871.968474,3.76152,3.90501,4.57446,3.76152,2,1.02067,0,0,ok
58000,29,309.522,-453819.585174,144548.75,-309270.835174,3.74517,3.74855,4.15895,3.74517,2,1.10596,0,0,ok
59000,29.5,310.898,-454265.77658,145191.453125,-309074.323455,4.26518,3.43342,3.88272,3.43342,2,0.999162,0,0,ok
60000,30,309.407,-454985.999236,144495.3125,-310490.686736,3.5363,4.16129,4.38929,3.5363,2,1.07412,0,0,ok
61000,30.5,311.174,-454760.687713,145320.40625,-309440.281463,3.93186,3.82186,4.12706,3.82186,2,1.26557,0,0,ok
62000,31,309.5,-454236.092986,144538.546875,-309697.546111,3.58385,3.93199,3.59809,3.58385,2,1.59989,0,0,ok
