ligand_id,system,best_affinity_kcal_mol,min_distance_to_key_residues_A,n_contacted_key_residues_4A,contacted_key_residues_4A,n_near_key_residues_6A,near_key_residues_6A,n_contacted_chains_4A,n_near_chains_6A,pose_file
17.4,20chol,-5.644,2.604,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,1,2,C:\TRKB_WP2\docking\results_batch\20chol\17.4_20chol_out.pdbqt
18.1,20chol,-5.488,2.451,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,C:\TRKB_WP2\docking\results_batch\20chol\18.1_20chol_out.pdbqt
18.2,20chol,-5.757,2.659,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\20chol\18.2_20chol_out.pdbqt
18.3,20chol,-5.626,2.243,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,C:\TRKB_WP2\docking\results_batch\20chol\18.3_20chol_out.pdbqt
18.4,20chol,-5.843,2.009,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,C:\TRKB_WP2\docking\results_batch\20chol\18.4_20chol_out.pdbqt
19.1,20chol,-5.52,2.772,3,SER20_chainB;TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,C:\TRKB_WP2\docking\results_batch\20chol\19.1_20chol_out.pdbqt
19.2,20chol,-5.658,2.393,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\20chol\19.2_20chol_out.pdbqt
2.1,20chol,-5.458,2.536,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\20chol\2.1_20chol_out.pdbqt
2.2,20chol,-5.584,2.475,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\20chol\2.2_20chol_out.pdbqt
2.3,20chol,-5.577,2.469,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,C:\TRKB_WP2\docking\results_batch\20chol\2.3_20chol_out.pdbqt
2.4,20chol,-5.32,2.568,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\20chol\2.4_20chol_out.pdbqt
20.1,20chol,-5.047,2.558,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,1,2,C:\TRKB_WP2\docking\results_batch\20chol\20.1_20chol_out.pdbqt
20.2,20chol,-5.027,2.484,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,C:\TRKB_WP2\docking\results_batch\20chol\20.2_20chol_out.pdbqt
20.3,20chol,-5.031,2.498,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,C:\TRKB_WP2\docking\results_batch\20chol\20.3_20chol_out.pdbqt
20.4,20chol,-5.342,2.489,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\20chol\20.4_20chol_out.pdbqt
3.1,20chol,-5.307,1.926,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\20chol\3.1_20chol_out.pdbqt
3.2,20chol,-5.219,2.274,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,C:\TRKB_WP2\docking\results_batch\20chol\3.2_20chol_out.pdbqt
4.1,20chol,-5.714,2.574,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,C:\TRKB_WP2\docking\results_batch\20chol\4.1_20chol_out.pdbqt
4.2,20chol,-5.897,2.688,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\20chol\4.2_20chol_out.pdbqt
4.3,20chol,-5.602,2.543,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,C:\TRKB_WP2\docking\results_batch\20chol\4.3_20chol_out.pdbqt
4.4,20chol,-5.782,2.279,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,C:\TRKB_WP2\docking\results_batch\20chol\4.4_20chol_out.pdbqt
5.1,20chol,-5.549,1.679,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\20chol\5.1_20chol_out.pdbqt
5.2,20chol,-4.928,2.190,3,SER20_chainA;TYR13_chainB;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,2,2,C:\TRKB_WP2\docking\results_batch\20chol\5.2_20chol_out.pdbqt
5.3,20chol,-5.3,2.434,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\20chol\5.3_20chol_out.pdbqt
5.4,20chol,-5.055,2.460,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,C:\TRKB_WP2\docking\results_batch\20chol\5.4_20chol_out.pdbqt
6.1,20chol,-5.645,2.629,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,C:\TRKB_WP2\docking\results_batch\20chol\6.1_20chol_out.pdbqt
6.2,20chol,-5.518,2.502,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\20chol\6.2_20chol_out.pdbqt
7.1,20chol,-5.299,2.490,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\20chol\7.1_20chol_out.pdbqt
7.2,20chol,-4.962,2.160,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,1,2,C:\TRKB_WP2\docking\results_batch\20chol\7.2_20chol_out.pdbqt
7.3,20chol,-5.386,2.545,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\20chol\7.3_20chol_out.pdbqt
7.4,20chol,-5.007,2.105,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,1,2,C:\TRKB_WP2\docking\results_batch\20chol\7.4_20chol_out.pdbqt
8.1,20chol,-5.782,2.385,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\20chol\8.1_20chol_out.pdbqt
8.2,20chol,-5.728,2.450,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\20chol\8.2_20chol_out.pdbqt
8.3,20chol,-5.492,2.482,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,C:\TRKB_WP2\docking\results_batch\20chol\8.3_20chol_out.pdbqt
8.4,20chol,-5.506,2.254,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,C:\TRKB_WP2\docking\results_batch\20chol\8.4_20chol_out.pdbqt
9.1,20chol,-5.528,1.830,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\20chol\9.1_20chol_out.pdbqt
9.2,20chol,-5.423,2.499,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\20chol\9.2_20chol_out.pdbqt
1.1,40chol,-5.249,2.950,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\1.1_40chol_out.pdbqt
1.2,40chol,-5.264,2.648,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\1.2_40chol_out.pdbqt
10.1,40chol,-5.427,2.731,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\10.1_40chol_out.pdbqt
10.2,40chol,-5.796,2.347,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,C:\TRKB_WP2\docking\results_batch\40chol\10.2_40chol_out.pdbqt
10.3,40chol,-5.925,2.564,2,TYR13_chainA;VAL17_chainA,3,TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\10.3_40chol_out.pdbqt
10.4,40chol,-6.161,2.635,2,TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,1,2,C:\TRKB_WP2\docking\results_batch\40chol\10.4_40chol_out.pdbqt
11.1,40chol,-5.816,2.671,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\11.1_40chol_out.pdbqt
11.2,40chol,-5.548,2.510,2,TYR13_chainA;VAL17_chainA,3,TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\11.2_40chol_out.pdbqt
11.3,40chol,-5.642,2.559,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\11.3_40chol_out.pdbqt
11.4,40chol,-5.556,2.317,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\11.4_40chol_out.pdbqt
12.1,40chol,-5.351,3.017,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,1,2,C:\TRKB_WP2\docking\results_batch\40chol\12.1_40chol_out.pdbqt
12.2,40chol,-5.362,2.441,2,TYR13_chainA;VAL17_chainA,3,TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\12.2_40chol_out.pdbqt
13.1,40chol,-5.558,2.744,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,1,2,C:\TRKB_WP2\docking\results_batch\40chol\13.1_40chol_out.pdbqt
13.2,40chol,-5.77,2.577,2,TYR13_chainA;VAL17_chainA,3,TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\13.2_40chol_out.pdbqt
13.3,40chol,-5.538,2.508,2,TYR13_chainA;VAL17_chainA,3,TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\13.3_40chol_out.pdbqt
13.4,40chol,-5.776,2.556,2,TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,1,2,C:\TRKB_WP2\docking\results_batch\40chol\13.4_40chol_out.pdbqt
14.1,40chol,-5.838,1.855,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,C:\TRKB_WP2\docking\results_batch\40chol\14.1_40chol_out.pdbqt
14.2,40chol,-5.821,2.180,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,C:\TRKB_WP2\docking\results_batch\40chol\14.2_40chol_out.pdbqt
14.3,40chol,-5.974,1.825,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,C:\TRKB_WP2\docking\results_batch\40chol\14.3_40chol_out.pdbqt
14.4,40chol,-5.835,2.558,2,TYR13_chainA;VAL17_chainA,3,TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\14.4_40chol_out.pdbqt
15.1,40chol,-5.511,2.378,2,TYR13_chainA;VAL17_chainA,3,TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\15.1_40chol_out.pdbqt
15.2,40chol,-5.556,2.766,2,TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,1,2,C:\TRKB_WP2\docking\results_batch\40chol\15.2_40chol_out.pdbqt
16.1,40chol,-5.544,2.748,2,TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,1,2,C:\TRKB_WP2\docking\results_batch\40chol\16.1_40chol_out.pdbqt
16.2,40chol,-5.443,2.662,3,SER20_chainB;TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,C:\TRKB_WP2\docking\results_batch\40chol\16.2_40chol_out.pdbqt
16.3,40chol,-5.466,2.489,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\16.3_40chol_out.pdbqt
16.4,40chol,-5.789,2.721,2,TYR13_chainA;VAL17_chainA,3,TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\16.4_40chol_out.pdbqt
17.1,40chol,-6.129,2.661,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,C:\TRKB_WP2\docking\results_batch\40chol\17.1_40chol_out.pdbqt
17.2,40chol,-5.915,2.515,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\17.2_40chol_out.pdbqt
17.3,40chol,-5.82,2.151,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\17.3_40chol_out.pdbqt
17.4,40chol,-5.807,2.302,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\17.4_40chol_out.pdbqt
18.1,40chol,-5.703,2.953,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\18.1_40chol_out.pdbqt
18.2,40chol,-6.491,2.787,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\18.2_40chol_out.pdbqt
18.3,40chol,-5.907,3.042,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\18.3_40chol_out.pdbqt
18.4,40chol,-5.677,2.828,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\18.4_40chol_out.pdbqt
19.1,40chol,-6.088,2.516,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\19.1_40chol_out.pdbqt
19.2,40chol,-6.127,2.426,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\19.2_40chol_out.pdbqt
2.1,40chol,-5.326,2.739,2,TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,1,2,C:\TRKB_WP2\docking\results_batch\40chol\2.1_40chol_out.pdbqt
2.2,40chol,-5.776,2.655,2,TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,1,2,C:\TRKB_WP2\docking\results_batch\40chol\2.2_40chol_out.pdbqt
2.3,40chol,-5.479,3.005,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\2.3_40chol_out.pdbqt
2.4,40chol,-5.391,2.936,2,TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,1,2,C:\TRKB_WP2\docking\results_batch\40chol\2.4_40chol_out.pdbqt
20.1,40chol,-5.396,2.417,2,TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,1,2,C:\TRKB_WP2\docking\results_batch\40chol\20.1_40chol_out.pdbqt
20.2,40chol,-5.172,2.686,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,C:\TRKB_WP2\docking\results_batch\40chol\20.2_40chol_out.pdbqt
20.3,40chol,-5.565,2.917,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,1,2,C:\TRKB_WP2\docking\results_batch\40chol\20.3_40chol_out.pdbqt
20.4,40chol,-5.657,2.561,2,TYR13_chainA;VAL17_chainA,3,TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\20.4_40chol_out.pdbqt
3.1,40chol,-5.907,3.064,1,TYR13_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\3.1_40chol_out.pdbqt
3.2,40chol,-5.607,2.254,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,C:\TRKB_WP2\docking\results_batch\40chol\3.2_40chol_out.pdbqt
4.1,40chol,-5.776,2.478,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,C:\TRKB_WP2\docking\results_batch\40chol\4.1_40chol_out.pdbqt
4.2,40chol,-5.769,2.638,1,TYR13_chainA,3,TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\4.2_40chol_out.pdbqt
4.3,40chol,-5.615,2.490,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\4.3_40chol_out.pdbqt
4.4,40chol,-6.054,2.412,2,TYR13_chainA;VAL17_chainA,3,TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\4.4_40chol_out.pdbqt
5.1,40chol,-5.516,2.587,2,TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,1,2,C:\TRKB_WP2\docking\results_batch\40chol\5.1_40chol_out.pdbqt
5.2,40chol,-5.5,2.438,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\5.2_40chol_out.pdbqt
5.3,40chol,-5.295,1.891,1,TYR13_chainA,3,TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\5.3_40chol_out.pdbqt
5.4,40chol,-5.748,2.620,2,TYR13_chainA;VAL17_chainA,3,TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\5.4_40chol_out.pdbqt
6.1,40chol,-6.011,2.564,2,TYR13_chainA;VAL17_chainA,3,TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,C:\TRKB_WP2\docking\results_batch\40chol\6.1_40chol_out.pdbqt
