group,ref_role,ligand_id,system,mode,affinity,affinity_kcal_mol,mode1_affinity_kcal_mol,rmsd_lb,rmsd_ub,min_distance_A,min_distance_to_key_residues_A,contacts_4A,contacts_4A_detail,n_contacted_key_residues_4A,contacted_key_residues_4A,contacts_6A,contacts_6A_detail,n_near_key_residues_6A,near_key_residues_6A,chain_contacts,chain_near_6A,n_contacted_chains_4A,n_near_chains_6A,anchor_ref_panel,comparator_ref_panel,anchor_ref_median_affinity,comparator_ref_median_affinity,affinity_points_25,keyres_points_30,interface_points_20,mode_reliability_points_10,system_score,system_score_85,interface_flag,key_contact_flag,pose_file
reference,reference_comparator,KET_S,20chol,8,-4.358,-4.358,-4.835,15.535,17.409,1.829,1.829,3,SER20_chainA;TYR13_chainB;VAL17_chainB,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,0.00,26.50,20.00,5.00,51.50,51.50,1,1,C:\TRKB_WP2\docking\reference\results\20chol\KET_S_20chol_out.pdbqt
reference,reference_comparator,HNK_SS,20chol,8,-4.218,-4.218,-4.814,13.3,14.234,2.245,2.245,3,SER20_chainA;TYR13_chainB;VAL17_chainB,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,0.00,26.50,20.00,4.00,50.50,50.50,1,1,C:\TRKB_WP2\docking\reference\results\20chol\HNK_SS_20chol_out.pdbqt
reference,anchor_reference,IMI,40chol,1,-6.253,-6.253,-6.253,0.0,0.0,2.802,2.802,3,SER20_chainB;TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.351,-4.745,25.00,23.50,20.00,10.00,78.50,78.50,1,1,C:\TRKB_WP2\docking\reference\results\40chol\IMI_40chol_out.pdbqt
reference,anchor_reference,FLX_S,40chol,3,-5.561,-5.561,-6.196,4.365,7.011,2.445,2.445,3,SER20_chainB;TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.351,-4.745,25.00,24.50,20.00,7.00,76.50,76.50,1,1,C:\TRKB_WP2\docking\reference\results\40chol\FLX_S_40chol_out.pdbqt
reference,reference_comparator,DPH,40chol,9,-5.335,-5.335,-5.53,3.351,5.884,2.759,2.759,3,SER20_chainB;TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.351,-4.745,20.27,25.50,20.00,6.00,71.77,71.77,1,1,C:\TRKB_WP2\docking\reference\results\40chol\DPH_40chol_out.pdbqt
reference,reference_comparator,CPZ,40chol,1,-5.214,-5.214,-5.214,0.0,0.0,2.759,2.759,3,SER20_chainB;TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.351,-4.745,16.11,25.50,20.00,10.00,71.61,71.61,1,1,C:\TRKB_WP2\docking\reference\results\40chol\CPZ_40chol_out.pdbqt
reference,reference_comparator,HNK_SS,40chol,1,-5.403,-5.403,-5.403,0.0,0.0,3.073,3.073,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,1,2,1,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.351,-4.745,22.60,20.50,15.00,10.00,68.10,68.10,1,1,C:\TRKB_WP2\docking\reference\results\40chol\HNK_SS_40chol_out.pdbqt
reference,anchor_reference,FLX_R,40chol,6,-5.142,-5.142,-5.783,6.235,8.535,2.403,2.403,3,SER20_chainB;TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.351,-4.745,13.64,26.50,20.00,5.00,65.14,65.14,1,1,C:\TRKB_WP2\docking\reference\results\40chol\FLX_R_40chol_out.pdbqt
reference,reference_comparator,MOC,40chol,3,-4.872,-4.872,-5.009,4.601,8.344,2.700,2.7,3,SER20_chainB;TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.351,-4.745,4.38,25.50,20.00,9.00,58.88,58.88,1,1,C:\TRKB_WP2\docking\reference\results\40chol\MOC_40chol_out.pdbqt
reference,reference_comparator,ISO,40chol,7,-4.236,-4.236,-4.659,3.165,6.667,2.133,2.133,3,SER20_chainB;TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,6,SER20_chainA;SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,6,SER20_chainA;SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.351,-4.745,0.00,26.50,20.00,6.00,52.50,52.50,1,1,C:\TRKB_WP2\docking\reference\results\40chol\ISO_40chol_out.pdbqt
reference,reference_comparator,VEN,40chol,4,-4.617,-4.617,-4.935,2.233,6.002,2.648,2.648,3,SER20_chainB;TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.351,-4.745,0.00,25.50,20.00,7.00,52.50,52.50,1,1,C:\TRKB_WP2\docking\reference\results\40chol\VEN_40chol_out.pdbqt
reference,anchor_reference,HNK_RR,40chol,6,-4.764,-4.764,-5.091,3.047,4.924,2.653,2.653,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,1,2,1,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.351,-4.745,0.67,22.00,15.00,6.00,43.67,43.67,1,1,C:\TRKB_WP2\docking\reference\results\40chol\HNK_RR_40chol_out.pdbqt
reference,reference_comparator,KET_R,40chol,9,-4.543,-4.543,-5.333,2.248,3.48,2.367,2.367,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,1,2,1,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.351,-4.745,0.00,23.00,15.00,4.00,42.00,42.00,1,1,C:\TRKB_WP2\docking\reference\results\40chol\KET_R_40chol_out.pdbqt
reference,reference_comparator,KET_S,40chol,10,-4.008,-4.008,-5.209,16.287,17.552,1.884,1.884,2,SER20_chainA;VAL17_chainB,2,SER20_chainA;VAL17_chainB,3,SER20_chainA;SER20_chainB;VAL17_chainB,3,SER20_chainA;SER20_chainB;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.351,-4.745,0.00,19.00,20.00,2.00,41.00,41.00,1,1,C:\TRKB_WP2\docking\reference\results\40chol\KET_S_40chol_out.pdbqt
