group,ligand_id,system,mode,affinity_kcal_mol,rmsd_lb,rmsd_ub,min_distance_to_key_residues_A,n_contacted_key_residues_4A,contacted_key_residues_4A,n_near_key_residues_6A,near_key_residues_6A,n_contacted_chains_4A,n_near_chains_6A,composite_score,pose_file
candidate,15.1,20chol,5,-4.792,13.345,14.966,2.12,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,16.556,C:\TRKB_WP2\docking\results_batch\20chol\15.1_20chol_out.pdbqt
candidate,15.2,20chol,4,-4.408,13.53,15.542,2.169,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,2,2,15.557,C:\TRKB_WP2\docking\results_batch\20chol\15.2_20chol_out.pdbqt
candidate,16.1,20chol,10,-4.591,13.702,14.732,1.807,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,16.449,C:\TRKB_WP2\docking\results_batch\20chol\16.1_20chol_out.pdbqt
candidate,16.2,20chol,4,-4.654,15.534,17.136,2.629,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,16.265,C:\TRKB_WP2\docking\results_batch\20chol\16.2_20chol_out.pdbqt
candidate,16.3,20chol,7,-4.94,13.03,14.861,2.456,3,SER20_chainA;TYR13_chainB;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,2,2,15.203,C:\TRKB_WP2\docking\results_batch\20chol\16.3_20chol_out.pdbqt
candidate,16.4,20chol,4,-5.103,13.027,14.923,2.327,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,16.005,C:\TRKB_WP2\docking\results_batch\20chol\16.4_20chol_out.pdbqt
candidate,17.1,20chol,9,-4.998,13.291,15.019,2.163,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,16.749,C:\TRKB_WP2\docking\results_batch\20chol\17.1_20chol_out.pdbqt
candidate,17.2,20chol,10,-4.983,16.669,18.381,2.282,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,16.698,C:\TRKB_WP2\docking\results_batch\20chol\17.2_20chol_out.pdbqt
candidate,17.3,20chol,8,-5.239,4.434,7.065,2.462,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,16.1,C:\TRKB_WP2\docking\results_batch\20chol\17.3_20chol_out.pdbqt
candidate,17.4,20chol,9,-5.01,13.388,15.375,2.351,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,2,2,16.105,C:\TRKB_WP2\docking\results_batch\20chol\17.4_20chol_out.pdbqt
candidate,18.1,20chol,1,-5.488,0.0,0.0,2.451,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,16.353,C:\TRKB_WP2\docking\results_batch\20chol\18.1_20chol_out.pdbqt
candidate,18.2,20chol,10,-5.112,13.09,14.695,2.089,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,16.085,C:\TRKB_WP2\docking\results_batch\20chol\18.2_20chol_out.pdbqt
candidate,18.3,20chol,4,-5.249,3.366,6.013,2.032,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,16.239,C:\TRKB_WP2\docking\results_batch\20chol\18.3_20chol_out.pdbqt
