group,ligand_id,system,best_affinity_kcal_mol,min_distance_to_key_residues_A,n_contacted_key_residues_4A,contacted_key_residues_4A,n_near_key_residues_6A,near_key_residues_6A,n_contacted_chains_4A,n_near_chains_6A,composite_score,pose_file
candidate,20.3,40chol,-5.565,2.917,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,1,2,13.690,C:\TRKB_WP2\docking\results_batch\40chol\20.3_40chol_out.pdbqt
candidate,20.4,40chol,-5.657,2.561,2,TYR13_chainA;VAL17_chainA,3,TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,13.289,C:\TRKB_WP2\docking\results_batch\40chol\20.4_40chol_out.pdbqt
candidate,3.1,40chol,-5.907,3.064,1,TYR13_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,12.588,C:\TRKB_WP2\docking\results_batch\40chol\3.1_40chol_out.pdbqt
candidate,3.2,40chol,-5.607,2.254,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,16.531,C:\TRKB_WP2\docking\results_batch\40chol\3.2_40chol_out.pdbqt
candidate,4.1,40chol,-5.776,2.478,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,11.833,C:\TRKB_WP2\docking\results_batch\40chol\4.1_40chol_out.pdbqt
candidate,4.2,40chol,-5.769,2.638,1,TYR13_chainA,3,TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,12.578,C:\TRKB_WP2\docking\results_batch\40chol\4.2_40chol_out.pdbqt
candidate,4.3,40chol,-5.615,2.490,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,13.268,C:\TRKB_WP2\docking\results_batch\40chol\4.3_40chol_out.pdbqt
candidate,4.4,40chol,-6.054,2.412,2,TYR13_chainA;VAL17_chainA,3,TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,13.730,C:\TRKB_WP2\docking\results_batch\40chol\4.4_40chol_out.pdbqt
candidate,5.1,40chol,-5.516,2.587,2,TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,1,2,14.340,C:\TRKB_WP2\docking\results_batch\40chol\5.1_40chol_out.pdbqt
candidate,5.2,40chol,-5.5,2.438,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,13.769,C:\TRKB_WP2\docking\results_batch\40chol\5.2_40chol_out.pdbqt
candidate,5.3,40chol,-5.295,1.891,1,TYR13_chainA,3,TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,12.328,C:\TRKB_WP2\docking\results_batch\40chol\5.3_40chol_out.pdbqt
candidate,5.4,40chol,-5.748,2.620,2,TYR13_chainA;VAL17_chainA,3,TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,13.362,C:\TRKB_WP2\docking\results_batch\40chol\5.4_40chol_out.pdbqt
candidate,6.1,40chol,-6.011,2.564,2,TYR13_chainA;VAL17_chainA,3,TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,13.642,C:\TRKB_WP2\docking\results_batch\40chol\6.1_40chol_out.pdbqt
candidate,6.2,40chol,-6.011,2.423,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,14.284,C:\TRKB_WP2\docking\results_batch\40chol\6.2_40chol_out.pdbqt
candidate,7.1,40chol,-5.684,2.929,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,13.205,C:\TRKB_WP2\docking\results_batch\40chol\7.1_40chol_out.pdbqt
candidate,7.2,40chol,-5.624,2.491,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,13.277,C:\TRKB_WP2\docking\results_batch\40chol\7.2_40chol_out.pdbqt
candidate,7.3,40chol,-5.427,2.790,1,TYR13_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,1,2,12.790,C:\TRKB_WP2\docking\results_batch\40chol\7.3_40chol_out.pdbqt
candidate,7.4,40chol,-5.463,2.270,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,13.182,C:\TRKB_WP2\docking\results_batch\40chol\7.4_40chol_out.pdbqt
candidate,8.1,40chol,-5.857,2.899,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,16.587,C:\TRKB_WP2\docking\results_batch\40chol\8.1_40chol_out.pdbqt
candidate,8.2,40chol,-5.742,2.909,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,13.869,C:\TRKB_WP2\docking\results_batch\40chol\8.2_40chol_out.pdbqt
candidate,8.3,40chol,-5.486,2.601,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,13.706,C:\TRKB_WP2\docking\results_batch\40chol\8.3_40chol_out.pdbqt
candidate,8.4,40chol,-5.894,1.884,1,TYR13_chainA,3,TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,12.929,C:\TRKB_WP2\docking\results_batch\40chol\8.4_40chol_out.pdbqt
candidate,9.1,40chol,-5.486,2.716,1,TYR13_chainA,2,TYR13_chainA;VAL17_chainA,1,1,10.671,C:\TRKB_WP2\docking\results_batch\40chol\9.1_40chol_out.pdbqt
candidate,9.2,40chol,-5.53,2.937,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,13.049,C:\TRKB_WP2\docking\results_batch\40chol\9.2_40chol_out.pdbqt
reference,CPZ,20chol,-4.93,2.545,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,10.966,C:\TRKB_WP2\docking\reference\results\20chol\CPZ_20chol_out.pdbqt
reference,DPH,20chol,-5.095,2.627,3,SER20_chainB;TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,15.307,C:\TRKB_WP2\docking\reference\results\20chol\DPH_20chol_out.pdbqt
reference,FLX_R,20chol,-5.763,2.092,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,13.535,C:\TRKB_WP2\docking\reference\results\20chol\FLX_R_20chol_out.pdbqt
reference,FLX_S,20chol,-5.574,2.293,3,SER20_chainB;TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,2,2,15.286,C:\TRKB_WP2\docking\reference\results\20chol\FLX_S_20chol_out.pdbqt
reference,HNK_RR,20chol,-5.553,2.054,1,TYR13_chainA,1,TYR13_chainA,1,1,10.337,C:\TRKB_WP2\docking\reference\results\20chol\HNK_RR_20chol_out.pdbqt
reference,HNK_SS,20chol,-4.814,1.450,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,12.779,C:\TRKB_WP2\docking\reference\results\20chol\HNK_SS_20chol_out.pdbqt
reference,IMI,20chol,-5.151,2.866,1,TYR13_chainA,2,TYR13_chainA;VAL17_chainA,1,1,10.291,C:\TRKB_WP2\docking\reference\results\20chol\IMI_20chol_out.pdbqt
reference,ISO,20chol,-4.334,2.594,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,11.956,C:\TRKB_WP2\docking\reference\results\20chol\ISO_20chol_out.pdbqt
reference,KET_R,20chol,-4.615,2.240,2,SER20_chainA;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,2,2,14.143,C:\TRKB_WP2\docking\reference\results\20chol\KET_R_20chol_out.pdbqt
reference,KET_S,20chol,-4.835,1.974,1,TYR13_chainA,2,TYR13_chainA;VAL17_chainA,1,1,10.243,C:\TRKB_WP2\docking\reference\results\20chol\KET_S_20chol_out.pdbqt
reference,MOC,20chol,-4.959,2.439,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,15.827,C:\TRKB_WP2\docking\reference\results\20chol\MOC_20chol_out.pdbqt
reference,VEN,20chol,-4.681,2.638,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,15.490,C:\TRKB_WP2\docking\reference\results\20chol\VEN_20chol_out.pdbqt
reference,CPZ,40chol,-5.214,2.759,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,15.986,C:\TRKB_WP2\docking\reference\results\40chol\CPZ_40chol_out.pdbqt
reference,DPH,40chol,-5.53,2.810,1,TYR13_chainA,3,TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,12.287,C:\TRKB_WP2\docking\reference\results\40chol\DPH_40chol_out.pdbqt
reference,FLX_R,40chol,-5.783,2.949,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,1,2,13.898,C:\TRKB_WP2\docking\reference\results\40chol\FLX_R_40chol_out.pdbqt
reference,FLX_S,40chol,-6.196,2.538,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,12.235,C:\TRKB_WP2\docking\reference\results\40chol\FLX_S_40chol_out.pdbqt
reference,HNK_RR,40chol,-5.091,2.594,1,TYR13_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,1,2,13.113,C:\TRKB_WP2\docking\reference\results\40chol\HNK_RR_40chol_out.pdbqt
reference,HNK_SS,40chol,-5.403,3.073,2,TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,1,2,14.081,C:\TRKB_WP2\docking\reference\results\40chol\HNK_SS_40chol_out.pdbqt
reference,IMI,40chol,-6.253,2.802,3,SER20_chainB;TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,16.412,C:\TRKB_WP2\docking\reference\results\40chol\IMI_40chol_out.pdbqt
reference,ISO,40chol,-4.659,2.225,2,TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,1,2,13.591,C:\TRKB_WP2\docking\reference\results\40chol\ISO_40chol_out.pdbqt
reference,KET_R,40chol,-5.333,2.619,1,TYR13_chainA,3,TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,12.147,C:\TRKB_WP2\docking\reference\results\40chol\KET_R_40chol_out.pdbqt
reference,KET_S,40chol,-5.209,2.626,1,TYR13_chainA,3,TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,12.021,C:\TRKB_WP2\docking\reference\results\40chol\KET_S_40chol_out.pdbqt
reference,MOC,40chol,-5.009,2.510,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,11.056,C:\TRKB_WP2\docking\reference\results\40chol\MOC_40chol_out.pdbqt
reference,VEN,40chol,-4.935,2.758,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,12.508,C:\TRKB_WP2\docking\reference\results\40chol\VEN_40chol_out.pdbqt
