group,ligand_id,system,best_affinity_kcal_mol,min_distance_to_key_residues_A,n_contacted_key_residues_4A,contacted_key_residues_4A,n_near_key_residues_6A,near_key_residues_6A,n_contacted_chains_4A,n_near_chains_6A,composite_score,pose_file
candidate,16.2,20chol,-5.033,2.347,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,11.129,C:\TRKB_WP2\docking\results_batch\20chol\16.2_20chol_out.pdbqt
candidate,16.3,20chol,-5.637,1.588,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,1,2,14.161,C:\TRKB_WP2\docking\results_batch\20chol\16.3_20chol_out.pdbqt
candidate,16.4,20chol,-5.36,2.528,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,13.002,C:\TRKB_WP2\docking\results_batch\20chol\16.4_20chol_out.pdbqt
candidate,17.1,20chol,-5.665,2.399,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,13.345,C:\TRKB_WP2\docking\results_batch\20chol\17.1_20chol_out.pdbqt
candidate,17.2,20chol,-5.382,2.862,1,TYR13_chainA,2,TYR13_chainA;VAL17_chainA,1,1,10.523,C:\TRKB_WP2\docking\results_batch\20chol\17.2_20chol_out.pdbqt
candidate,17.3,20chol,-5.696,2.500,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,13.346,C:\TRKB_WP2\docking\results_batch\20chol\17.3_20chol_out.pdbqt
candidate,17.4,20chol,-5.644,2.604,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,1,2,13.863,C:\TRKB_WP2\docking\results_batch\20chol\17.4_20chol_out.pdbqt
candidate,18.1,20chol,-5.488,2.451,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,16.353,C:\TRKB_WP2\docking\results_batch\20chol\18.1_20chol_out.pdbqt
candidate,18.2,20chol,-5.757,2.659,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,13.359,C:\TRKB_WP2\docking\results_batch\20chol\18.2_20chol_out.pdbqt
candidate,18.3,20chol,-5.626,2.243,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,11.753,C:\TRKB_WP2\docking\results_batch\20chol\18.3_20chol_out.pdbqt
candidate,18.4,20chol,-5.843,2.009,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,12.040,C:\TRKB_WP2\docking\results_batch\20chol\18.4_20chol_out.pdbqt
candidate,19.1,20chol,-5.52,2.772,3,SER20_chainB;TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,15.688,C:\TRKB_WP2\docking\results_batch\20chol\19.1_20chol_out.pdbqt
candidate,19.2,20chol,-5.658,2.393,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,13.340,C:\TRKB_WP2\docking\results_batch\20chol\19.2_20chol_out.pdbqt
candidate,2.1,20chol,-5.458,2.536,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,13.097,C:\TRKB_WP2\docking\results_batch\20chol\2.1_20chol_out.pdbqt
candidate,2.2,20chol,-5.584,2.475,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,13.241,C:\TRKB_WP2\docking\results_batch\20chol\2.2_20chol_out.pdbqt
candidate,2.3,20chol,-5.577,2.469,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,16.436,C:\TRKB_WP2\docking\results_batch\20chol\2.3_20chol_out.pdbqt
