group,ligand_id,system,mode,affinity_kcal_mol,rmsd_lb,rmsd_ub,min_distance_to_key_residues_A,n_contacted_key_residues_4A,contacted_key_residues_4A,n_near_key_residues_6A,near_key_residues_6A,n_contacted_chains_4A,n_near_chains_6A,composite_score,pose_file
candidate,10.1,20chol,4,-4.994,4.063,6.951,2.26,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,1,2,13.316,C:\TRKB_WP2\docking\results_batch\20chol\10.1_20chol_out.pdbqt
candidate,10.1,20chol,5,-4.833,4.531,7.016,2.583,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,12.458,C:\TRKB_WP2\docking\results_batch\20chol\10.1_20chol_out.pdbqt
candidate,10.1,20chol,6,-4.812,3.317,6.161,2.54,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,12.45,C:\TRKB_WP2\docking\results_batch\20chol\10.1_20chol_out.pdbqt
candidate,10.1,20chol,7,-4.759,4.655,7.259,2.08,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,12.535,C:\TRKB_WP2\docking\results_batch\20chol\10.1_20chol_out.pdbqt
candidate,10.1,20chol,8,-4.718,5.045,7.696,2.517,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,10.763,C:\TRKB_WP2\docking\results_batch\20chol\10.1_20chol_out.pdbqt
candidate,10.1,20chol,9,-4.716,3.394,5.096,2.63,3,SER20_chainB;TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,14.927,C:\TRKB_WP2\docking\results_batch\20chol\10.1_20chol_out.pdbqt
candidate,10.1,20chol,10,-4.692,11.509,13.742,2.765,2,SER20_chainB;VAL17_chainA,3,SER20_chainA;SER20_chainB;VAL17_chainA,2,2,13.463,C:\TRKB_WP2\docking\results_batch\20chol\10.1_20chol_out.pdbqt
candidate,10.2,20chol,1,-5.808,0.0,0.0,2.012,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,13.604,C:\TRKB_WP2\docking\results_batch\20chol\10.2_20chol_out.pdbqt
candidate,10.2,20chol,2,-5.703,4.227,6.858,2.377,1,TYR13_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,12.59,C:\TRKB_WP2\docking\results_batch\20chol\10.2_20chol_out.pdbqt
candidate,10.2,20chol,3,-5.509,2.506,4.446,1.697,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,11.8,C:\TRKB_WP2\docking\results_batch\20chol\10.2_20chol_out.pdbqt
candidate,10.2,20chol,4,-5.294,14.887,17.377,2.415,2,SER20_chainA;VAL17_chainB,3,SER20_chainA;SER20_chainB;VAL17_chainB,2,2,14.169,C:\TRKB_WP2\docking\results_batch\20chol\10.2_20chol_out.pdbqt
candidate,10.2,20chol,5,-5.282,13.095,14.194,2.36,3,SER20_chainA;TYR13_chainB;VAL17_chainB,4,SER20_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,15.574,C:\TRKB_WP2\docking\results_batch\20chol\10.2_20chol_out.pdbqt
candidate,10.2,20chol,6,-5.15,12.884,14.239,1.943,3,SER20_chainA;TYR13_chainB;VAL17_chainB,4,SER20_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,15.567,C:\TRKB_WP2\docking\results_batch\20chol\10.2_20chol_out.pdbqt
candidate,10.2,20chol,7,-5.145,12.965,14.691,2.318,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,16.05,C:\TRKB_WP2\docking\results_batch\20chol\10.2_20chol_out.pdbqt
candidate,10.2,20chol,8,-5.118,2.58,5.84,2.439,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,15.986,C:\TRKB_WP2\docking\results_batch\20chol\10.2_20chol_out.pdbqt
candidate,10.2,20chol,9,-5.069,13.331,14.813,2.419,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,15.943,C:\TRKB_WP2\docking\results_batch\20chol\10.2_20chol_out.pdbqt
candidate,10.2,20chol,10,-5.054,4.767,7.961,2.992,1,TYR13_chainA,1,TYR13_chainA,1,1,9.556,C:\TRKB_WP2\docking\results_batch\20chol\10.2_20chol_out.pdbqt
candidate,10.3,20chol,1,-5.317,0.0,0.0,2.099,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,11.487,C:\TRKB_WP2\docking\results_batch\20chol\10.3_20chol_out.pdbqt
candidate,10.3,20chol,2,-5.207,2.314,4.656,1.928,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,11.429,C:\TRKB_WP2\docking\results_batch\20chol\10.3_20chol_out.pdbqt
