ligand_id,final_score_100,priority_class,robustness_points_15,avg_system_score_85,min_system_score_85,score_20chol,score_20chol_85,mode_20chol,affinity_20chol,contact4A_20chol,near6A_20chol,nearChains_20chol,score_40chol,score_40chol_85,mode_40chol,affinity_40chol,contact4A_40chol,near6A_40chol,nearChains_40chol,best_system,best_mode,best_affinity
10.3,84.34,A_high_priority,15.00,69.34,67.14,71.53,71.53,4,-5.021,3,5,2,67.14,67.14,4,-5.171,3,5,2,20chol,4,-5.021
13.1,84.19,A_high_priority,15.00,69.19,68.51,69.87,69.87,10,-4.939,4,5,2,68.51,68.51,6,-5.24,3,5,2,20chol,10,-4.939
16.2,84.19,A_high_priority,15.00,69.19,60.91,60.91,60.91,4,-4.654,4,5,2,77.47,77.47,1,-5.443,3,4,2,40chol,1,-5.443
2.1,83.00,A_high_priority,15.00,68.00,64.06,64.06,64.06,10,-4.84,4,4,2,71.94,71.94,3,-5.311,3,4,2,40chol,3,-5.311
17.4,81.95,A_high_priority,15.00,66.95,63.31,70.60,70.60,9,-5.01,4,4,2,63.31,63.31,8,-5.147,3,5,2,20chol,9,-5.01
3.1,81.44,A_high_priority,15.00,66.44,65.83,67.06,67.06,7,-4.905,3,5,2,65.83,65.83,4,-5.162,3,5,2,20chol,7,-4.905
14.1,81.19,A_high_priority,12.00,69.19,59.88,78.50,78.50,4,-5.363,3,5,2,59.88,59.88,8,-5.076,3,4,2,20chol,4,-5.363
5.3,80.29,A_high_priority,12.00,68.29,54.98,81.60,81.60,3,-5.114,4,5,2,54.98,54.98,8,-4.875,3,5,2,20chol,3,-5.114
19.2,79.75,A_high_priority,12.00,67.75,57.99,77.50,77.50,6,-5.213,3,5,2,57.99,57.99,10,-5.021,3,5,2,20chol,6,-5.213
18.3,79.73,A_high_priority,12.00,67.73,56.96,78.50,78.50,4,-5.249,3,5,2,56.96,56.96,4,-4.991,3,4,2,20chol,4,-5.249
20.4,79.02,A_high_priority,15.00,64.02,63.36,64.68,64.68,2,-4.817,3,5,2,63.36,63.36,5,-5.09,3,5,2,20chol,2,-4.817
10.4,75.56,A_high_priority,12.00,63.55,52.39,74.72,74.72,2,-5.078,3,4,2,52.39,52.39,10,-4.916,3,4,2,20chol,2,-5.078
11.1,74.00,B_good,9.00,65.00,48.50,81.50,81.50,1,-5.421,3,5,2,48.50,48.50,6,-4.608,3,5,2,20chol,1,-5.421
12.1,73.90,B_good,9.00,64.90,50.50,79.30,79.30,1,-5.119,3,5,2,50.50,50.50,10,-4.571,3,5,2,20chol,1,-5.119
10.1,73.64,B_good,12.00,61.64,55.79,55.79,55.79,9,-4.716,3,4,2,67.48,67.48,4,-5.21,3,4,2,40chol,4,-5.21
14.4,73.62,B_good,12.00,61.62,52.75,52.75,52.75,9,-4.611,3,5,2,70.50,70.50,2,-5.298,3,4,2,40chol,2,-5.298
11.3,73.53,B_good,9.00,64.53,51.50,77.56,77.56,2,-5.1,3,5,2,51.50,51.50,5,-4.7,3,5,2,20chol,2,-5.1
13.2,73.52,B_good,9.00,64.52,49.03,80.00,80.00,6,-5.204,4,5,2,49.03,49.03,10,-4.76,3,5,2,20chol,6,-5.204
18.4,73.34,B_good,9.00,64.34,51.19,77.50,77.50,4,-5.191,3,5,2,51.19,51.19,9,-4.823,3,5,2,20chol,4,-5.191
20.1,72.90,B_good,12.00,60.90,52.58,69.22,69.22,2,-4.883,3,5,2,52.58,52.58,6,-4.805,3,5,2,20chol,2,-4.883
20.3,72.28,B_good,12.00,60.28,55.00,55.00,55.00,6,-4.477,4,5,2,65.56,65.56,4,-5.096,3,5,2,40chol,4,-5.096
5.4,70.91,B_good,9.00,61.91,47.00,76.83,76.83,1,-5.055,3,5,2,47.00,47.00,8,-4.742,3,5,2,20chol,1,-5.055
7.4,69.34,B_good,12.00,57.34,55.70,58.98,58.98,4,-4.669,3,5,2,55.70,55.70,9,-4.896,3,5,2,20chol,4,-4.669
16.1,69.28,B_good,12.00,57.27,56.48,56.48,56.48,10,-4.591,4,5,2,58.07,58.07,7,-4.936,3,5,2,40chol,7,-4.936
15.2,68.20,B_good,12.00,56.20,54.00,54.00,54.00,4,-4.408,4,4,2,58.41,58.41,9,-5.004,3,5,2,40chol,9,-5.004
15.1,64.35,C_check_manually,6.00,58.35,49.50,67.21,67.21,5,-4.792,4,5,2,49.50,49.50,9,-4.464,3,5,2,20chol,5,-4.792
5.1,64.15,C_check_manually,6.00,58.15,50.50,65.79,65.79,6,-4.807,4,5,2,50.50,50.50,7,-4.661,3,5,2,20chol,6,-4.807
7.3,63.45,C_check_manually,6.00,57.45,50.50,64.41,64.41,6,-4.862,3,5,2,50.50,50.50,7,-4.503,3,5,2,20chol,6,-4.862
1.2,60.96,C_check_manually,6.00,54.96,50.55,59.37,59.37,9,-4.731,3,5,2,50.55,50.55,7,-4.746,3,5,2,20chol,9,-4.731
