ligand_id,system,best_affinity_kcal_mol,log_file
11.1,40chol,-5.816,C:\TRKB_WP2\docking\logs_batch\11.1_40chol.log
11.2,40chol,-5.548,C:\TRKB_WP2\docking\logs_batch\11.2_40chol.log
11.3,40chol,-5.642,C:\TRKB_WP2\docking\logs_batch\11.3_40chol.log
11.4,40chol,-5.556,C:\TRKB_WP2\docking\logs_batch\11.4_40chol.log
12.1,40chol,-5.351,C:\TRKB_WP2\docking\logs_batch\12.1_40chol.log
12.2,40chol,-5.362,C:\TRKB_WP2\docking\logs_batch\12.2_40chol.log
13.1,40chol,-5.558,C:\TRKB_WP2\docking\logs_batch\13.1_40chol.log
13.2,40chol,-5.77,C:\TRKB_WP2\docking\logs_batch\13.2_40chol.log
13.3,40chol,-5.538,C:\TRKB_WP2\docking\logs_batch\13.3_40chol.log
13.4,40chol,-5.776,C:\TRKB_WP2\docking\logs_batch\13.4_40chol.log
14.1,40chol,-5.838,C:\TRKB_WP2\docking\logs_batch\14.1_40chol.log
14.2,40chol,-5.821,C:\TRKB_WP2\docking\logs_batch\14.2_40chol.log
14.3,40chol,-5.974,C:\TRKB_WP2\docking\logs_batch\14.3_40chol.log
14.4,40chol,-5.835,C:\TRKB_WP2\docking\logs_batch\14.4_40chol.log
15.1,40chol,-5.511,C:\TRKB_WP2\docking\logs_batch\15.1_40chol.log
15.2,40chol,-5.556,C:\TRKB_WP2\docking\logs_batch\15.2_40chol.log
16.1,40chol,-5.544,C:\TRKB_WP2\docking\logs_batch\16.1_40chol.log
16.2,40chol,-5.443,C:\TRKB_WP2\docking\logs_batch\16.2_40chol.log
16.3,40chol,-5.466,C:\TRKB_WP2\docking\logs_batch\16.3_40chol.log
16.4,40chol,-5.789,C:\TRKB_WP2\docking\logs_batch\16.4_40chol.log
17.1,40chol,-6.129,C:\TRKB_WP2\docking\logs_batch\17.1_40chol.log
17.2,40chol,-5.915,C:\TRKB_WP2\docking\logs_batch\17.2_40chol.log
17.3,40chol,-5.82,C:\TRKB_WP2\docking\logs_batch\17.3_40chol.log
17.4,40chol,-5.807,C:\TRKB_WP2\docking\logs_batch\17.4_40chol.log
18.1,40chol,-5.703,C:\TRKB_WP2\docking\logs_batch\18.1_40chol.log
18.2,40chol,-6.491,C:\TRKB_WP2\docking\logs_batch\18.2_40chol.log
18.3,40chol,-5.907,C:\TRKB_WP2\docking\logs_batch\18.3_40chol.log
18.4,40chol,-5.677,C:\TRKB_WP2\docking\logs_batch\18.4_40chol.log
19.1,40chol,-6.088,C:\TRKB_WP2\docking\logs_batch\19.1_40chol.log
19.2,40chol,-6.127,C:\TRKB_WP2\docking\logs_batch\19.2_40chol.log
2.1,40chol,-5.326,C:\TRKB_WP2\docking\logs_batch\2.1_40chol.log
2.2,40chol,-5.776,C:\TRKB_WP2\docking\logs_batch\2.2_40chol.log
2.3,40chol,-5.479,C:\TRKB_WP2\docking\logs_batch\2.3_40chol.log
2.4,40chol,-5.391,C:\TRKB_WP2\docking\logs_batch\2.4_40chol.log
20.1,40chol,-5.396,C:\TRKB_WP2\docking\logs_batch\20.1_40chol.log
20.2,40chol,-5.172,C:\TRKB_WP2\docking\logs_batch\20.2_40chol.log
20.3,40chol,-5.565,C:\TRKB_WP2\docking\logs_batch\20.3_40chol.log
20.4,40chol,-5.657,C:\TRKB_WP2\docking\logs_batch\20.4_40chol.log
3.1,40chol,-5.907,C:\TRKB_WP2\docking\logs_batch\3.1_40chol.log
3.2,40chol,-5.607,C:\TRKB_WP2\docking\logs_batch\3.2_40chol.log
4.1,40chol,-5.776,C:\TRKB_WP2\docking\logs_batch\4.1_40chol.log
4.2,40chol,-5.769,C:\TRKB_WP2\docking\logs_batch\4.2_40chol.log
4.3,40chol,-5.615,C:\TRKB_WP2\docking\logs_batch\4.3_40chol.log
4.4,40chol,-6.054,C:\TRKB_WP2\docking\logs_batch\4.4_40chol.log
5.1,40chol,-5.516,C:\TRKB_WP2\docking\logs_batch\5.1_40chol.log
5.2,40chol,-5.5,C:\TRKB_WP2\docking\logs_batch\5.2_40chol.log
5.3,40chol,-5.295,C:\TRKB_WP2\docking\logs_batch\5.3_40chol.log
5.4,40chol,-5.748,C:\TRKB_WP2\docking\logs_batch\5.4_40chol.log
6.1,40chol,-6.011,C:\TRKB_WP2\docking\logs_batch\6.1_40chol.log
6.2,40chol,-6.011,C:\TRKB_WP2\docking\logs_batch\6.2_40chol.log
7.1,40chol,-5.684,C:\TRKB_WP2\docking\logs_batch\7.1_40chol.log
7.2,40chol,-5.624,C:\TRKB_WP2\docking\logs_batch\7.2_40chol.log
7.3,40chol,-5.427,C:\TRKB_WP2\docking\logs_batch\7.3_40chol.log
7.4,40chol,-5.463,C:\TRKB_WP2\docking\logs_batch\7.4_40chol.log
8.1,40chol,-5.857,C:\TRKB_WP2\docking\logs_batch\8.1_40chol.log
8.2,40chol,-5.742,C:\TRKB_WP2\docking\logs_batch\8.2_40chol.log
8.3,40chol,-5.486,C:\TRKB_WP2\docking\logs_batch\8.3_40chol.log
8.4,40chol,-5.894,C:\TRKB_WP2\docking\logs_batch\8.4_40chol.log
9.1,40chol,-5.486,C:\TRKB_WP2\docking\logs_batch\9.1_40chol.log
9.2,40chol,-5.53,C:\TRKB_WP2\docking\logs_batch\9.2_40chol.log
