contact_type,distance_A,category,ligand_atom_name,ligand_serial,other_atom_name,other_serial,other_resname,other_segid,other_resid
severe_clash,0.084,lipid,C1,50980,C214,12696,POPC,MEMB,113
severe_clash,0.214,lipid,C9,50989,C28,12680,POPC,MEMB,113
severe_clash,0.486,lipid,N,50983,C212,12690,POPC,MEMB,113
severe_clash,0.842,lipid,C13,50993,C29,12683,POPC,MEMB,113
severe_clash,0.897,lipid,C2,50981,C213,12693,POPC,MEMB,113
close_contact,1.049,lipid,C5,50985,C211,12687,POPC,MEMB,113
close_contact,1.129,lipid,C5,50985,C210,12685,POPC,MEMB,113
close_contact,1.131,lipid,O,51000,C35,12718,POPC,MEMB,113
close_contact,1.170,lipid,C13,50993,C210,12685,POPC,MEMB,113
close_contact,1.244,lipid,C4,50984,C212,12690,POPC,MEMB,113
close_contact,1.258,lipid,C8,50988,C27,12677,POPC,MEMB,113
close_contact,1.273,lipid,N,50983,C213,12693,POPC,MEMB,113
close_contact,1.323,lipid,C4,50984,C211,12687,POPC,MEMB,113
close_contact,1.361,lipid,C2,50981,C212,12690,POPC,MEMB,113
close_contact,1.384,lipid,C13,50993,C28,12680,POPC,MEMB,113
close_contact,1.430,lipid,C10,50990,C28,12680,POPC,MEMB,113
close_contact,1.452,lipid,C1,50980,C213,12693,POPC,MEMB,113
