step,time_ps,temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,ligand_key_min_distance_A,ligand_near_chains_count,ligand_rmsd_A,severe_lt_1A,close_lt_1p5A,status
0,0,50.4991,-630015.783366,23652.0703125,3.43652,2,7.73205e-06,0,0,ok
100,0.005,35.1266,-622607.317546,16452.1289062,3.42215,2,0.0132399,0,0,ok
200,0.01,29.9804,-619296.73698,14041.8027344,3.41573,2,0.0209861,0,0,ok
300,0.015,29.8057,-618334.545085,13960.0029297,3.41496,2,0.0274927,0,0,ok
400,0.02,29.5654,-617250.500651,13847.4453125,3.41459,2,0.031589,0,0,ok
500,0.025,32.7902,-617875.946941,15357.8408203,3.41203,2,0.0342557,0,0,ok
600,0.03,32.3064,-616766.129069,15131.2128906,3.40505,2,0.037473,0,0,ok
700,0.035,33.5112,-616555.779948,15695.5078125,3.39985,2,0.0391152,0,0,ok
800,0.04,32.7822,-615458.809245,15354.0703125,3.40175,2,0.0396927,0,0,ok
900,0.045,34.2775,-615351.477214,16054.4257812,3.4169,2,0.0403963,0,0,ok
1000,0.05,34.386,-614617.314616,16105.2617188,3.43401,2,0.0404012,0,0,ok
1100,0.055,35.0088,-614169.7028,16396.9453125,3.44631,2,0.0398493,0,0,ok
1200,0.06,37.0941,-614538.784343,17373.6015625,3.45933,2,0.039179,0,0,ok
1300,0.065,36.7311,-613770.005046,17203.5859375,3.46521,2,0.0381538,0,0,ok
1400,0.07,37.7368,-613707.741862,17674.6601562,3.46762,2,0.0393472,0,0,ok
1500,0.075,37.654,-613073.628093,17635.8613281,3.47568,2,0.0412195,0,0,ok
1600,0.08,38.1035,-612761.944011,17846.3847656,3.48953,2,0.042283,0,0,ok
1700,0.085,38.2739,-612322.389323,17926.2109375,3.50235,2,0.0449573,0,0,ok
1800,0.09,39.1183,-612163.692058,18321.6738281,3.50944,2,0.048179,0,0,ok
1900,0.095,39.3934,-611835.116862,18450.5195312,3.51496,2,0.0512825,0,0,ok
2000,0.1,39.6059,-611487.736003,18550.0546875,3.52233,2,0.0539157,0,0,ok
2100,0.105,40.479,-611464.218913,18958.9960938,3.53503,2,0.0566169,0,0,ok
2200,0.11,40.7936,-611189.803386,19106.3300781,3.54569,2,0.0606322,0,0,ok
2300,0.115,41.8126,-611246.847331,19583.5996094,3.54772,2,0.0656837,0,0,ok
2400,0.12,41.6152,-610729.969401,19491.1640625,3.54575,2,0.0712408,0,0,ok
2500,0.125,42.313,-610653.431316,19817.9570312,3.54188,2,0.0769745,0,0,ok
2600,0.13,42.6643,-610469.723308,19982.5351562,3.53986,2,0.082095,0,0,ok
2700,0.135,42.4819,-610124.583659,19897.0859375,3.5404,2,0.0860677,0,0,ok
2800,0.14,43.2271,-610101.511394,20246.1171875,3.5365,2,0.0896252,0,0,ok
2900,0.145,43.3021,-609754.854167,20281.2265625,3.52498,2,0.0928397,0,0,ok
3000,0.15,43.8389,-609742.13737,20532.6757812,3.51454,2,0.096138,0,0,ok
3100,0.155,43.9125,-609379.843913,20567.1328125,3.51055,2,0.0982618,0,0,ok
3200,0.16,44.4646,-609377.164226,20825.7246094,3.50899,2,0.099916,0,0,ok
3300,0.165,44.9189,-609272.218913,21038.4726562,3.50325,2,0.102308,0,0,ok
3400,0.17,44.9796,-609087.163737,21066.9296875,3.49085,2,0.106106,0,0,ok
3500,0.175,45.4458,-609098.354167,21285.2929688,3.48048,2,0.111405,0,0,ok
3600,0.18,45.4167,-608792.708171,21271.625,3.48092,2,0.118229,0,0,ok
3700,0.185,45.8162,-608825.179362,21458.7773438,3.49378,2,0.126685,0,0,ok
3800,0.19,45.9938,-608734.904948,21541.9511719,3.50852,2,0.133011,0,0,ok
3900,0.195,46.1482,-608600.319499,21614.2558594,3.51724,2,0.138322,0,0,ok
4000,0.2,46.1506,-608436.944987,21615.3828125,3.5214,2,0.144061,0,0,ok
