step,time_ps,temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,total_energy_kJ_mol,ligand_distance_TYR13_A,ligand_distance_VAL17_A,ligand_distance_SER20_A,ligand_min_distance_to_key_residues_A,ligand_near_chains_count,ligand_heavy_rmsd_vs_100ps_input_A,ligand_heavy_rmsd_vs_R2_minimized_A,severe_lt_1A,close_lt_1p5A,status
102000,51,311.025,-445753.741235,141317.5,-304436.241235,3.90046,8.50185,7.25328,3.90046,2,1.46701,4.01659,0,0,ok
104000,52,309.47,-447737.402368,140610.9375,-307126.464868,3.43477,8.71831,8.00731,3.43477,2,1.92402,4.5042,0,0,ok
106000,53,310.376,-446891.890649,141022.5,-305869.390649,4.14469,8.98985,8.5779,4.14469,2,2.22755,4.93705,0,0,ok
108000,54,310.648,-446403.031274,141146.1875,-305256.843774,4.08598,8.87078,8.85273,4.08598,2,2.49792,5.03021,0,0,ok
110000,55,311.601,-445393.479516,141579.25,-303814.229516,3.57386,8.42963,8.81272,3.57386,2,2.62314,5.37048,0,0,ok
112000,56,311.432,-445534.058618,141502.46875,-304031.589868,3.44234,8.78106,8.67224,3.44234,2,2.63965,5.33216,0,0,ok
114000,57,311.104,-446910.207056,141353.375,-305556.832056,3.74475,8.21053,8.82808,3.74475,2,2.36719,5.04773,0,0,ok
116000,58,309.077,-447122.094751,140432.53125,-306689.563501,3.28978,8.34808,8.75949,3.28978,2,2.24663,4.98349,0,0,ok
118000,59,312.447,-447701.785181,141963.734375,-305738.050806,3.89715,7.87298,8.42694,3.89715,2,2.02808,4.73185,0,0,ok
120000,60,309.263,-446142.344751,140516.671875,-305625.672876,3.64573,8.91062,8.92494,3.64573,2,2.26867,4.85918,0,0,ok
122000,61,309.087,-446644.971704,140437,-306207.971704,3.13805,9.0387,8.53215,3.13805,2,2.35679,5.01373,0,0,ok
124000,62,310.148,-446038.896509,140918.8125,-305120.084009,3.48738,8.90181,8.60505,3.48738,2,2.14496,4.89804,0,0,ok
126000,63,308.501,-445088.298852,140170.84375,-304917.455102,3.21846,8.42492,8.75481,3.21846,2,2.11194,4.94207,0,0,ok
128000,64,309.606,-445067.351587,140672.5625,-304394.789087,3.14546,9.06403,8.85358,3.14546,2,2.61483,5.41897,0,0,ok
130000,65,314.195,-447322.832056,142757.8125,-304565.019556,3.18438,8.49971,8.95043,3.18438,2,2.44956,5.16267,0,0,ok
132000,66,311.009,-446606.26272,141310.109375,-305296.153345,3.56416,8.54049,8.7807,3.56416,2,2.12638,4.81013,0,0,ok
134000,67,310.318,-446249.35061,140996.34375,-305253.00686,3.20361,8.08275,8.08875,3.20361,2,1.86898,4.64913,0,0,ok
136000,68,310.364,-446512.196313,141017.28125,-305494.915063,3.72722,8.29016,8.60702,3.72722,2,2.31583,5.12106,0,0,ok
138000,69,310.008,-446581.451196,140855.59375,-305725.857446,3.8893,8.52746,8.67447,3.8893,2,2.47892,5.276,0,0,ok
140000,70,310.683,-446104.994165,141161.90625,-304943.087915,3.32062,8.54218,9.12137,3.32062,2,2.58421,5.35628,0,0,ok
142000,71,309.66,-446431.275415,140697.28125,-305733.994165,3.62547,8.80163,9.16933,3.62547,2,2.89387,5.7373,0,0,ok
144000,72,310.714,-446235.252954,141176.21875,-305059.034204,3.36824,8.71973,9.01654,3.36824,2,2.86238,5.66936,0,0,ok
146000,73,310.961,-447550.969751,141288.25,-306262.719751,3.9211,8.46281,8.87383,3.9211,2,2.79281,5.53671,0,0,ok
148000,74,312.348,-447066.544946,141918.484375,-305148.060571,5.5268,7.541,7.83731,5.5268,2,3.00028,5.72579,0,0,ok
150000,75,307.81,-446697.855493,139856.90625,-306840.949243,4.6401,7.64588,7.94801,4.6401,2,2.83806,5.59131,0,0,ok
152000,76,308.44,-446855.420923,140143,-306712.420923,3.97075,8.05994,8.7493,3.97075,2,2.27549,4.97578,0,0,ok
154000,77,310.249,-446248.874048,140964.9375,-305283.936548,3.57408,8.23687,7.65689,3.57408,2,1.50614,4.08668,0,0,ok
156000,78,310.932,-447155.237329,141275.0625,-305880.174829,3.31094,7.60209,7.65793,3.31094,2,1.25041,4.04457,0,0,ok
158000,79,309.695,-447065.766626,140713.171875,-306352.594751,3.60588,7.81895,8.03047,3.60588,2,1.65596,4.39235,0,0,ok
160000,80,311.498,-447051.141626,141532.4375,-305518.704126,3.58977,7.834,8.95974,3.58977,2,2.39188,5.09107,0,0,ok
162000,81,310.564,-446364.462915,141108.15625,-305256.306665,3.81526,8.0678,8.86688,3.81526,2,2.08868,4.85443,0,0,ok
164000,82,311.02,-447727.114282,141315.375,-306411.739282,3.64644,7.83383,8.82521,3.64644,2,2.09965,4.7869,0,0,ok
166000,83,309.007,-446849.677759,140400.75,-306448.927759,3.97036,7.82994,8.39114,3.97036,2,2.29934,5.01003,0,0,ok
168000,84,310.797,-446779.368188,141213.984375,-305565.383813,5.24829,7.98833,8.4256,5.24829,2,2.36877,5.13696,0,0,ok
170000,85,311.119,-447446.661157,141359.953125,-306086.708032,3.46718,7.60271,8.44099,3.46718,2,2.19565,4.67861,0,0,ok
172000,86,310.053,-445871.727563,140875.703125,-304996.024438,4.4693,7.41424,8.6137,4.4693,2,2.26882,4.85809,0,0,ok
174000,87,307.013,-446620.969751,139494.375,-307126.594751,3.73519,7.27015,7.61877,3.73519,2,1.73465,4.42337,0,0,ok
176000,88,309.942,-447528.806665,140825.15625,-306703.650415,4.10149,7.54719,7.6641,4.10149,2,1.48946,4.137,0,0,ok
178000,89,307.291,-447458.849634,139620.96875,-307837.880884,4.59679,7.74804,7.7658,4.59679,2,1.72087,4.24454,0,0,ok
180000,90,310.448,-448039.720727,141055.359375,-306984.361352,4.16718,7.77191,7.91888,4.16718,2,1.61952,4.17144,0,0,ok
182000,91,311.885,-445998.300806,141708.171875,-304290.128931,5.21655,7.92686,8.11883,5.21655,2,1.86292,4.63796,0,0,ok
184000,92,310.761,-446215.01272,141197.5,-305017.51272,4.75659,7.77039,8.69876,4.75659,2,2.30909,5.10444,0,0,ok
186000,93,310.498,-447685.154321,141077.984375,-306607.169946,5.14963,8.25968,8.58259,5.14963,2,2.00196,4.82715,0,0,ok
188000,94,308.86,-448029.533227,140333.734375,-307695.798852,4.85418,8.85898,8.512,4.85418,2,1.63067,4.35178,0,0,ok
190000,95,311.288,-449040.862329,141436.9375,-307603.924829,4.43735,8.01901,8.68289,4.43735,2,1.87426,4.32515,0,0,ok
192000,96,310.473,-447578.20022,141066.546875,-306511.653345,4.12822,8.15078,8.37841,4.12822,2,1.71434,4.37066,0,0,ok
194000,97,310.193,-448247.997583,140939.484375,-307308.513208,4.28741,8.23737,8.17162,4.28741,2,1.63881,4.17331,0,0,ok
196000,98,310.435,-446198.175806,141049.234375,-305148.941431,4.39211,7.85391,8.59691,4.39211,2,1.71347,4.36283,0,0,ok
198000,99,309.19,-447296.463891,140483.65625,-306812.807641,4.4859,8.27118,9.02962,4.4859,2,1.99997,4.46246,0,0,ok
200000,100,311.505,-447460.465845,141535.625,-305924.840845,4.47124,8.74193,7.98056,4.47124,2,1.55302,4.21166,0,0,ok
