step,time_ps,temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,total_energy_kJ_mol,ligand_distance_TYR13_A,ligand_distance_VAL17_A,ligand_distance_SER20_A,ligand_min_distance_to_key_residues_A,ligand_near_chains_count,ligand_heavy_rmsd_vs_100ps_input_A,ligand_heavy_rmsd_vs_original_R2_minimized_input_A,severe_lt_1A,close_lt_1p5A,status
2000,1,309.05,-457283.561736,144328.578125,-312954.983611,4.62984,3.68632,3.46316,3.46316,2,1.0577,4.39515,0,0,ok
4000,2,309.547,-455535.812713,144560.609375,-310975.203338,4.63607,3.90564,3.71133,3.71133,2,1.14923,4.32363,0,0,ok
6000,3,309.59,-456303.414275,144580.6875,-311722.726775,4.62717,3.83595,3.1388,3.1388,2,1.73688,4.56568,0,0,ok
8000,4,307.596,-455797.979705,143649.21875,-312148.760955,4.59104,3.62972,3.96206,3.62972,2,1.78864,4.45072,0,0,ok
10000,5,307.514,-456640.478728,143611.09375,-313029.384978,4.30468,3.90831,3.67262,3.67262,2,1.76727,4.66642,0,0,ok
12000,6,309.384,-455150.053924,144484.59375,-310665.460174,4.32592,3.95909,3.64637,3.64637,2,1.90846,4.7255,0,0,ok
14000,7,308.58,-456573.173064,144108.90625,-312464.266814,4.23063,4.01445,3.27082,3.27082,2,2.09956,4.32191,0,0,ok
16000,8,309.472,-455892.883025,144525.546875,-311367.33615,3.6868,3.62501,3.81931,3.62501,2,1.37926,4.04921,0,0,ok
18000,9,309.545,-455831.9924,144559.46875,-311272.52365,3.95086,3.5229,3.80183,3.5229,2,1.97986,4.64981,0,0,ok
20000,10,310.118,-455219.387908,144827.3125,-310392.075408,5.09972,3.59526,3.93893,3.59526,2,1.73551,4.63756,0,0,ok
22000,11,310.732,-456163.413299,145114.0625,-311049.350799,4.15971,3.93675,4.29269,3.93675,2,0.851872,4.19645,0,0,ok
24000,12,309.241,-455823.691619,144417.6875,-311406.004119,4.42359,4.00857,4.71998,4.00857,2,1.42005,4.19147,0,0,ok
26000,13,309.956,-456202.071502,144751.546875,-311450.524627,4.43629,4.77097,4.92299,4.43629,2,1.18162,3.93041,0,0,ok
28000,14,308.397,-456353.006072,144023.65625,-312329.349822,3.69745,4.21953,4.65308,3.69745,2,1.18388,3.59818,0,0,ok
30000,15,308.501,-455172.240447,144072.125,-311100.115447,3.38636,3.89783,4.86925,3.38636,2,1.38515,3.03916,0,0,ok
32000,16,310.054,-455873.662322,144797.4375,-311076.224822,3.57003,4.09762,3.58601,3.57003,2,0.862457,3.42626,0,0,ok
34000,17,310.35,-456833.619353,144935.609375,-311898.009978,4.25683,4.11124,4.29111,4.11124,2,1.05874,3.97429,0,0,ok
36000,18,310.862,-456231.93283,145174.8125,-311057.12033,4.10303,3.74584,4.53138,3.74584,2,1.00181,3.95779,0,0,ok
38000,19,310.786,-454897.936736,145139.265625,-309758.671111,4.35509,3.73281,4.91246,3.73281,2,1.53074,4.1442,0,0,ok
40000,20,311.464,-456445.264861,145455.84375,-310989.421111,4.29229,4.10299,4.82318,4.10299,2,1.15615,4.06427,0,0,ok
42000,21,309.146,-455333.077361,144373.0625,-310960.014861,4.36403,3.95898,5.1319,3.95898,2,1.66188,3.96238,0,0,ok
44000,22,311.163,-455298.801971,145315.34375,-309983.458221,4.02809,4.10414,5.92701,4.02809,2,1.92101,3.6638,0,0,ok
46000,23,309.643,-457171.162322,144605.4375,-312565.724822,4.73728,3.95935,5.75032,3.95935,2,1.719,4.34759,0,0,ok
48000,24,310.872,-456210.044158,145179.09375,-311030.950408,3.98409,4.24297,5.24335,3.98409,2,1.33036,3.80795,0,0,ok
50000,25,309.221,-455406.388885,144408.34375,-310998.045135,5.2729,3.9995,5.50687,3.9995,2,1.61423,3.6556,0,0,ok
52000,26,309.825,-456065.217986,144690.46875,-311374.749236,4.33172,4.0831,5.50947,4.0831,2,1.53381,3.87003,0,0,ok
54000,27,310.808,-456523.572478,145149.28125,-311374.291228,3.81829,3.75311,5.03093,3.75311,2,1.13921,3.40911,0,0,ok
56000,28,309.87,-456442.937224,144711.21875,-311731.718474,3.55912,4.01584,5.09496,3.55912,2,1.14759,3.91086,0,0,ok
58000,29,309.296,-456020.665252,144443.375,-311577.290252,3.9809,4.4027,5.10827,3.9809,2,1.21244,3.97987,0,0,ok
60000,30,309.266,-457370.18576,144429.53125,-312940.65451,3.63041,3.70887,5.08076,3.63041,2,1.15628,3.44587,0,0,ok
62000,31,312.624,-457139.289275,145997.484375,-311141.8049,3.41445,4.22137,5.1381,3.41445,2,1.27616,3.39484,0,0,ok
64000,32,310.398,-456785.255096,144958.1875,-311827.067596,3.39224,4.05771,5.9407,3.39224,2,1.69329,3.5266,0,0,ok
66000,33,310.691,-456859.546111,145094.78125,-311764.764861,3.36325,3.90154,4.99217,3.36325,2,1.34232,3.40749,0,0,ok
68000,34,311.455,-456884.315642,145451.4375,-311432.878142,3.44797,3.82032,5.24155,3.44797,2,1.5379,3.97477,0,0,ok
70000,35,309.441,-456814.18283,144510.953125,-312303.229705,3.28506,4.11097,5.00619,3.28506,2,0.915765,3.77576,0,0,ok
72000,36,311.578,-456985.105681,145508.90625,-311476.199431,4.01363,3.8288,4.60174,3.8288,2,1.16586,3.84493,0,0,ok
74000,37,310.542,-457889.593963,145025.09375,-312864.500213,3.37939,4.15044,5.00586,3.37939,2,1.21275,3.26071,0,0,ok
76000,38,311.773,-456931.195525,145600.21875,-311330.976775,3.27068,3.7933,4.96036,3.27068,2,1.31057,3.2872,0,0,ok
78000,39,312.548,-456000.067596,145962.125,-310037.942596,3.54625,3.90028,4.9873,3.54625,2,1.15712,3.50365,0,0,ok
80000,40,309.876,-456569.153533,144714.125,-311855.028533,3.50348,3.8572,4.62873,3.50348,2,1.15977,3.51431,0,0,ok
82000,41,310.645,-457381.291228,145073.359375,-312307.931853,3.61028,3.8858,4.92948,3.61028,2,1.1609,3.47396,0,0,ok
84000,42,311.807,-457090.578338,145615.78125,-311474.797088,3.25325,3.89775,5.16346,3.25325,2,1.36427,3.24398,0,0,ok
86000,43,308.659,-457347.074431,144146.0625,-313201.011931,4.04854,3.55366,4.97178,3.55366,2,1.10811,3.308,0,0,ok
88000,44,309.301,-456751.187713,144445.4375,-312305.750213,3.85995,4.11263,4.75038,3.85995,2,1.41571,3.77602,0,0,ok
90000,45,310.529,-458552.419158,145019.03125,-313533.387908,3.88602,3.95186,4.90765,3.88602,2,1.38976,3.22317,0,0,ok
92000,46,309.86,-456113.340056,144706.78125,-311406.558806,4.16393,3.75841,3.64483,3.64483,2,1.49734,2.96781,0,0,ok
94000,47,310.616,-457528.661346,145059.53125,-312469.130096,3.77975,3.41914,4.69853,3.41914,2,1.62498,2.80303,0,0,ok
96000,48,311.558,-457677.252166,145499.5625,-312177.689666,3.97694,3.45629,3.95168,3.45629,2,1.87758,2.53169,0,0,ok
98000,49,311.064,-456275.687713,145268.84375,-311006.843963,3.78498,3.248,4.51986,3.248,2,1.94746,2.42368,0,0,ok
100000,50,309.594,-457492.379119,144582.3125,-312910.066619,3.62819,3.31927,5.0661,3.31927,2,1.88294,2.5432,0,0,ok
102000,51,309.053,-457086.705291,144329.78125,-312756.924041,3.5071,3.39348,4.97316,3.39348,2,1.73192,2.62812,0,0,ok
104000,52,312.668,-456778.803924,146017.875,-310760.928924,3.49139,3.99427,4.74466,3.49139,2,1.34311,2.79876,0,0,ok
106000,53,310.181,-456401.458221,144856.84375,-311544.614471,3.59111,4.14393,5.3882,3.59111,2,1.41704,3.06164,0,0,ok
108000,54,310.874,-456416.99826,145180.265625,-311236.732635,4.17177,3.81563,5.14326,3.81563,2,1.14027,3.5049,0,0,ok
110000,55,311.192,-457853.254119,145328.75,-312524.504119,4.30525,3.87924,4.57422,3.87924,2,1.17505,3.90505,0,0,ok
112000,56,311.232,-458232.39865,145347.421875,-312884.976775,4.19245,3.99875,5.22241,3.99875,2,1.08915,3.3835,0,0,ok
114000,57,309.711,-457560.02658,144637.03125,-312922.99533,4.17711,4.41932,5.65926,4.17711,2,1.75453,3.80068,0,0,ok
116000,58,311.131,-456918.55783,145300.203125,-311618.354705,4.13211,4.10631,6.00033,4.10631,2,2.16455,3.94162,0,0,ok
118000,59,310.938,-456760.159881,145210.125,-311550.034881,4.05674,4.30499,5.36626,4.05674,2,1.98096,3.8106,0,0,ok
120000,60,310.869,-458994.172576,145177.921875,-313816.250701,3.52397,4.17717,4.92056,3.52397,2,2.12714,3.29116,0,0,ok
122000,61,309.386,-458519.876189,144485.46875,-314034.407439,3.49697,4.34191,5.82589,3.49697,2,2.36109,3.17377,0,0,ok
124000,62,313.012,-456695.412322,146178.859375,-310516.552947,3.9802,4.10069,6.48965,3.9802,2,2.63139,3.05837,0,0,ok
126000,63,310.204,-457511.290252,144867.1875,-312644.102752,3.55525,3.72152,6.07098,3.55525,2,2.4402,2.90788,0,0,ok
128000,64,312.684,-457414.359588,146025.65625,-311388.703338,3.74663,3.87584,5.96112,3.74663,2,2.1984,3.06747,0,0,ok
130000,65,311.517,-456153.753142,145480.5,-310673.253142,3.67521,4.27604,6.15063,3.67521,2,2.44366,3.06145,0,0,ok
132000,66,309.257,-457329.913299,144425,-312904.913299,3.67049,4.23456,5.95757,3.67049,2,2.3135,3.03568,0,0,ok
134000,67,308.865,-457151.535369,144241.84375,-312909.691619,3.55307,4.19683,5.75078,3.55307,2,2.15399,3.06309,0,0,ok
136000,68,308.71,-456962.064666,144169.84375,-312792.220916,3.99989,4.44408,6.07492,3.99989,2,2.36939,3.18342,0,0,ok
138000,69,310.649,-458204.925994,145074.96875,-313129.957244,3.53932,3.7191,4.96963,3.53932,2,2.22097,3.02999,0,0,ok
140000,70,310.626,-456634.732635,145064.328125,-311570.40451,3.84061,3.90374,5.56917,3.84061,2,2.49449,3.24965,0,0,ok
142000,71,312.511,-458663.835174,145944.703125,-312719.132049,3.22645,4.04064,6.09319,3.22645,2,2.59092,3.36087,0,0,ok
144000,72,308.824,-457625.191619,144222.703125,-313402.488494,3.52359,4.05464,6.22632,3.52359,2,2.54214,3.09671,0,0,ok
146000,73,311.326,-458574.958221,145391.1875,-313183.770721,3.48564,4.26873,5.99375,3.48564,2,2.07679,3.12463,0,0,ok
148000,74,309.745,-457982.287322,144652.8125,-313329.474822,3.7067,3.83226,6.00703,3.7067,2,2.11155,3.20375,0,0,ok
150000,75,309.326,-457574.631072,144457.4375,-313117.193572,3.71063,4.5928,6.36879,3.71063,2,2.2765,3.33106,0,0,ok
152000,76,310.165,-456710.828338,144849.078125,-311861.750213,4.13381,4.51171,6.25786,4.13381,2,2.15101,3.40776,0,0,ok
154000,77,310.019,-457451.402556,144781.03125,-312670.371306,4.04797,3.85875,4.82838,3.85875,2,1.72857,3.29265,0,0,ok
156000,78,310.238,-456123.816619,144883.0625,-311240.754119,4.12018,4.44736,5.64566,4.12018,2,2.14122,3.01924,0,0,ok
158000,79,311.92,-456683.960174,145668.65625,-311015.303924,3.56911,4.28138,5.88637,3.56911,2,2.00325,2.84608,0,0,ok
160000,80,311.815,-457782.582732,145619.84375,-312162.738982,3.6576,3.83937,5.9357,3.6576,2,2.16204,3.08614,0,0,ok
162000,81,308.839,-457677.459197,144230.125,-313447.334197,3.59723,3.752,5.9978,3.59723,2,2.19621,3.24504,0,0,ok
164000,82,311.331,-457865.090545,145393.640625,-312471.44992,3.78651,4.9946,5.88436,3.78651,2,2.07993,3.31461,0,0,ok
166000,83,310.51,-458108.982146,145010.1875,-313098.794646,3.84113,3.65032,6.48633,3.65032,2,2.44482,3.21605,0,0,ok
168000,84,308.739,-457057.293181,144183.3125,-312873.980681,4.03432,4.36831,6.27022,4.03432,2,2.26419,3.38368,0,0,ok
170000,85,311.644,-457081.12326,145540.046875,-311541.076385,3.55765,3.88986,6.02424,3.55765,2,2.03533,3.19381,0,0,ok
172000,86,309.871,-458144.046111,144711.796875,-313432.249236,3.5478,3.78333,5.24297,3.5478,2,1.70895,2.84068,0,0,ok
174000,87,309.607,-455510.385955,144588.46875,-310921.917205,3.79574,3.92781,6.08833,3.79574,2,1.974,3.26835,0,0,ok
176000,88,310.27,-457152.891814,144898.296875,-312254.594939,3.49535,3.79484,5.30483,3.49535,2,1.7409,2.97135,0,0,ok
178000,89,309.171,-457038.9299,144384.9375,-312653.9924,3.59062,3.67859,5.22191,3.59062,2,1.80006,2.89698,0,0,ok
180000,90,309.441,-458024.421111,144510.890625,-313513.530486,3.62862,3.79752,5.91508,3.62862,2,1.78494,2.93481,0,0,ok
182000,91,309.043,-455442.223846,144325.234375,-311116.989471,3.45761,3.83024,5.76226,3.45761,2,1.76058,3.14594,0,0,ok
184000,92,308.168,-456899.031463,143916.640625,-312982.390838,4.14638,3.69071,5.18976,3.69071,2,1.35428,3.2726,0,0,ok
186000,93,310.675,-456810.762908,145087.34375,-311723.419158,4.34139,4.13373,5.25704,4.13373,2,1.31918,3.77988,0,0,ok
188000,94,309.375,-457742.358611,144480,-313262.358611,4.07857,3.9903,6.19134,3.9903,2,1.59268,3.57952,0,0,ok
190000,95,311.491,-456975.352752,145468.296875,-311507.055877,4.05478,3.76541,5.27739,3.76541,2,1.60086,3.49898,0,0,ok
192000,96,309.655,-457389.434783,144611.0625,-312778.372283,3.95977,3.86437,5.22299,3.86437,2,1.26619,3.39924,0,0,ok
194000,97,309.72,-457765.413299,144641.296875,-313124.116424,4.36112,3.82705,4.67004,3.82705,2,1.35001,3.30748,0,0,ok
196000,98,306.879,-457521.731658,143314.78125,-314206.950408,4.35687,3.92101,5.13899,3.92101,2,1.27737,3.26649,0,0,ok
198000,99,310.794,-457205.817596,145142.8125,-312063.005096,3.84856,3.69936,4.90128,3.69936,2,1.44133,3.01502,0,0,ok
200000,100,309.277,-457908.861541,144434.359375,-313474.502166,4.08762,3.69957,4.17884,3.69957,2,1.00458,3.40547,0,0,ok
