step,time_ps,temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,total_energy_kJ_mol,ligand_distance_TYR13_A,ligand_distance_VAL17_A,ligand_distance_SER20_A,ligand_min_distance_to_key_residues_A,ligand_near_chains_count,ligand_heavy_rmsd_vs_50ps_input_A,severe_lt_1A,close_lt_1p5A,status
1000,0.5,310.701,-454268.815949,145112.171875,-309156.644074,3.83019,3.20948,3.68595,3.20948,2,0.576986,0,0,ok
2000,1,310.407,-454078.558624,144974.875,-309103.683624,3.78151,3.88902,3.39513,3.39513,2,0.755636,0,0,ok
3000,1.5,309.688,-453250.41214,144639.171875,-308611.240265,3.84165,3.23213,3.74483,3.23213,2,0.844818,0,0,ok
4000,2,310.386,-452427.726593,144965.1875,-307462.539093,3.60006,3.65906,3.71247,3.60006,2,0.884,0,0,ok
5000,2.5,310.389,-452673.917511,144966.5,-307707.417511,3.8593,3.51936,3.89955,3.51936,2,1.07981,0,0,ok
6000,3,309.737,-452014.343781,144662.046875,-307352.296906,3.35,3.82983,3.56621,3.35,2,1.09271,0,0,ok
7000,3.5,308.77,-453060.842804,144210.71875,-308850.124054,3.84387,3.25544,3.56199,3.25544,2,1.0164,0,0,ok
8000,4,309.984,-452203.881867,144777.5625,-307426.319367,3.75246,3.39141,4.23367,3.39141,2,1.21457,0,0,ok
9000,4.5,312.583,-453884.936554,145991.5,-307893.436554,3.78379,3.38252,3.56281,3.38252,2,1.54435,0,0,ok
10000,5,310.221,-452337.647492,144888.25,-307449.397492,3.84767,3.33735,3.43193,3.33735,2,1.53355,0,0,ok
11000,5.5,309.641,-452962.786164,144617.375,-308345.411164,3.72563,3.69064,3.8082,3.69064,2,1.74851,0,0,ok
12000,6,309.254,-454508.228058,144436.53125,-310071.696808,3.80404,3.90069,3.07837,3.07837,2,1.53709,0,0,ok
13000,6.5,310.5,-453606.809601,145018.375,-308588.434601,3.86764,3.92726,4.00864,3.86764,2,1.61141,0,0,ok
14000,7,307.371,-452852.707062,143557.0625,-309295.644562,3.9898,3.51323,3.5008,3.5008,2,1.33037,0,0,ok
15000,7.5,310.796,-452916.44632,145156.78125,-307759.66507,3.67771,3.90335,3.12776,3.12776,2,1.2155,0,0,ok
16000,8,308.187,-452722.584992,143938.375,-308784.209992,4.46045,3.26162,3.15959,3.15959,2,1.12645,0,0,ok
17000,8.5,312.478,-452870.029328,145942.53125,-306927.498078,3.99485,4.06847,3.67024,3.67024,2,0.99993,0,0,ok
18000,9,310.359,-452999.919953,144952.421875,-308047.498078,3.49379,4.00971,3.65616,3.49379,2,1.01368,0,0,ok
19000,9.5,311.557,-453174.87796,145512.375,-307662.50296,3.76484,3.4431,3.57153,3.4431,2,0.911203,0,0,ok
20000,10,310.149,-453377.00589,144854.375,-308522.63089,4.02557,3.27425,3.27277,3.27277,2,0.727596,0,0,ok
21000,10.5,310.324,-454035.368195,144936.453125,-309098.91507,3.8596,2.95859,3.89647,2.95859,2,0.706941,0,0,ok
22000,11,306.69,-453338.305695,143238.96875,-310099.336945,3.66063,3.56876,3.05273,3.05273,2,0.995474,0,0,ok
23000,11.5,307.564,-453920.10257,143647.1875,-310272.91507,3.93443,3.42153,3.47641,3.42153,2,0.957915,0,0,ok
24000,12,309.115,-452821.699249,144371.46875,-308450.230499,3.84777,3.63636,3.79552,3.63636,2,1.24361,0,0,ok
25000,12.5,310.094,-453029.530304,144828.921875,-308200.608429,3.90291,4.2078,3.54762,3.54762,2,1.58435,0,0,ok
26000,13,308.993,-453225.054718,144314.640625,-308910.414093,3.71488,3.82966,3.89777,3.71488,2,1.59192,0,0,ok
27000,13.5,310.246,-453086.416046,144899.859375,-308186.556671,3.77015,3.84976,3.42704,3.42704,2,1.553,0,0,ok
28000,14,311.053,-452969.174835,145276.90625,-307692.268585,3.63655,3.82344,3.53164,3.53164,2,1.43019,0,0,ok
29000,14.5,310.791,-453364.636749,145154.609375,-308210.027374,4.14478,3.47336,3.28376,3.28376,2,1.3859,0,0,ok
30000,15,310.349,-454186.234406,144948.0625,-309238.171906,3.89833,3.36747,3.34699,3.34699,2,1.09237,0,0,ok
31000,15.5,309.984,-453253.375519,144777.4375,-308475.938019,3.78595,3.3923,3.00849,3.00849,2,1.06996,0,0,ok
32000,16,312.067,-452787.03714,145750.34375,-307036.69339,3.84022,3.92351,3.54741,3.54741,2,1.19354,0,0,ok
33000,16.5,311.765,-454232.65921,145609.515625,-308623.143585,3.47579,3.89838,3.75424,3.47579,2,1.29496,0,0,ok
34000,17,310.602,-453511.911164,145066.109375,-308445.801789,3.54955,3.85139,3.35104,3.35104,2,1.10859,0,0,ok
35000,17.5,311.54,-454181.328156,145504.328125,-308677.000031,3.53388,3.65688,3.28009,3.28009,2,1.34078,0,0,ok
36000,18,306.66,-453091.266632,143225.09375,-309866.172882,3.76927,3.60132,4.01148,3.60132,2,0.906957,0,0,ok
