step,time_ps,temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,total_energy_kJ_mol,ligand_distance_TYR13_A,ligand_distance_VAL17_A,ligand_distance_SER20_A,ligand_min_distance_to_key_residues_A,ligand_near_chains_count,ligand_heavy_rmsd_vs_100ps_input_A,ligand_heavy_rmsd_vs_original_R2_minimized_input_A,severe_lt_1A,close_lt_1p5A,status
2000,1,310.025,-445010.143871,140863.3125,-304146.831371,3.74405,5.5132,6.31445,3.74405,2,0.540049,2.92386,0,0,ok
4000,2,309.271,-447089.356761,140520.59375,-306568.763011,3.63683,5.70572,5.81113,3.63683,2,0.488502,2.88656,0,0,ok
6000,3,310.205,-445236.463207,140944.859375,-304291.603832,3.49554,5.61876,6.26446,3.49554,2,0.711201,2.87221,0,0,ok
8000,4,312.575,-446334.64973,142021.84375,-304312.80598,3.55688,6.70151,6.22402,3.55688,2,1.05222,3.3487,0,0,ok
10000,5,310.635,-446588.441722,141140.390625,-305448.051097,3.49633,6.40968,6.45799,3.49633,2,1.0121,3.28562,0,0,ok
12000,6,309.691,-445978.93391,140711.53125,-305267.40266,3.98066,7.01263,6.27869,3.98066,2,1.47561,3.68929,0,0,ok
14000,7,312.302,-445473.287425,141897.75,-303575.537425,3.89352,6.97215,7.12644,3.89352,2,1.47595,3.64361,0,0,ok
16000,8,311.822,-446681.398753,141679.515625,-305001.883128,3.55929,6.74158,6.89947,3.55929,2,1.13498,3.41241,0,0,ok
18000,9,308.194,-445828.507152,140031.1875,-305797.319652,3.96024,6.16964,6.42439,3.96024,2,1.12635,3.55223,0,0,ok
20000,10,309.929,-445586.528636,140819.40625,-304767.122386,3.533,6.23242,6.40044,3.533,2,1.27159,3.5666,0,0,ok
22000,11,311.611,-446130.180003,141583.53125,-304546.648753,3.69015,6.11153,6.90815,3.69015,2,1.62731,3.82609,0,0,ok
24000,12,309.187,-447259.817699,140482.375,-306777.442699,3.76067,6.48954,7.74437,3.76067,2,1.84507,3.97641,0,0,ok
26000,13,312.03,-447796.382152,141774.25,-306022.132152,3.32758,5.92035,7.07439,3.32758,2,1.4411,3.6138,0,0,ok
28000,14,312.595,-445280.872386,142030.75,-303250.122386,3.5274,6.13673,6.34113,3.5274,2,1.61466,3.72194,0,0,ok
30000,15,308.767,-445659.660472,140291.46875,-305368.191722,3.47765,5.56274,6.71687,3.47765,2,0.908287,3.2871,0,0,ok
32000,16,311.184,-447116.070628,141389.828125,-305726.242503,3.44397,6.76054,6.85061,3.44397,2,1.58079,3.95457,0,0,ok
34000,17,311.474,-446484.670238,141521.328125,-304963.342113,3.61231,6.75205,6.30997,3.61231,2,1.44132,3.69792,0,0,ok
36000,18,311.954,-447868.159496,141739.75,-306128.409496,3.88658,6.79562,6.94696,3.88658,2,1.52367,3.94508,0,0,ok
38000,19,311.425,-446232.044261,141499.25,-304732.794261,3.6088,6.28366,6.77538,3.6088,2,1.21298,3.54489,0,0,ok
40000,20,311.457,-447895.324535,141513.78125,-306381.543285,3.24967,6.09905,5.62818,3.24967,2,0.908975,3.2161,0,0,ok
42000,21,309.486,-446927.836253,140618.125,-306309.711253,3.45174,6.21821,6.45113,3.45174,2,1.07667,3.4026,0,0,ok
44000,22,311.864,-445465.214183,141698.75,-303766.464183,3.51185,6.77358,6.28731,3.51185,2,1.25561,3.65281,0,0,ok
46000,23,309.631,-445312.478832,140684.109375,-304628.369457,3.5092,6.0627,5.95398,3.5092,2,0.995312,3.28459,0,0,ok
48000,24,309.504,-445630.172191,140626.546875,-305003.625316,3.83605,6.10482,6.2821,3.83605,2,0.928112,3.2971,0,0,ok
50000,25,310.64,-446728.339183,141142.625,-305585.714183,3.72053,5.83445,6.19156,3.72053,2,0.899726,3.25739,0,0,ok
52000,26,310.698,-448163.306468,141168.921875,-306994.384593,3.6315,5.61654,6.43846,3.6315,2,1.20576,3.29625,0,0,ok
54000,27,310.089,-447064.157542,140892.28125,-306171.876292,3.40199,5.5129,5.71828,3.40199,2,0.922643,3.13106,0,0,ok
56000,28,310.933,-447625.416332,141275.5,-306349.916332,3.57599,5.99786,6.39141,3.57599,2,1.04292,3.33544,0,0,ok
58000,29,312.782,-447000.456371,142115.96875,-304884.487621,3.29437,5.99011,6.85223,3.29437,2,1.12283,3.22529,0,0,ok
60000,30,310.777,-447656.257152,141204.84375,-306451.413402,3.17433,5.81969,6.64156,3.17433,2,1.57407,3.34286,0,0,ok
62000,31,309.202,-446434.186351,140488.9375,-305945.248851,3.49919,6.33852,7.15946,3.49919,2,1.4668,3.64504,0,0,ok
64000,32,310.286,-446936.747386,140981.75,-305954.997386,3.49801,6.31669,6.95324,3.49801,2,1.15715,3.47601,0,0,ok
66000,33,309.605,-446464.860667,140672.21875,-305792.641917,3.53708,6.70129,7.26609,3.53708,2,1.24868,3.58906,0,0,ok
68000,34,309.876,-446282.999339,140795.171875,-305487.827464,3.5873,6.20678,6.3879,3.5873,2,1.20097,3.56164,0,0,ok
70000,35,310.859,-446159.622874,141242.15625,-304917.466624,3.60878,6.01111,6.41427,3.60878,2,1.23218,3.48763,0,0,ok
72000,36,313.187,-448093.289378,142299.90625,-305793.383128,3.52259,7.05824,5.51066,3.52259,2,1.44832,3.73064,0,0,ok
74000,37,310.118,-447447.210277,140905.125,-306542.085277,3.85036,6.93383,6.08508,3.85036,2,1.42085,3.75912,0,0,ok
76000,38,310.005,-447897.032542,140854.0625,-307042.970042,3.51474,6.57362,6.65075,3.51474,2,1.30742,3.48893,0,0,ok
78000,39,311.15,-446492.701488,141374.40625,-305118.295238,3.59316,6.18856,6.38778,3.59316,2,1.31596,3.46393,0,0,ok
80000,40,309.422,-447237.681957,140589,-306648.681957,3.62508,6.67782,6.48183,3.62508,2,1.92747,4.01195,0,0,ok
82000,41,310.808,-447388.357738,141218.78125,-306169.576488,3.66632,6.4163,6.30086,3.66632,2,1.81408,3.72718,0,0,ok
84000,42,310.635,-446360.126292,141140.046875,-305220.079417,3.63747,6.89352,6.77298,3.63747,2,1.5406,3.64668,0,0,ok
86000,43,311.672,-446338.417308,141611.375,-304727.042308,3.72464,6.89254,6.94361,3.72464,2,1.67564,3.65337,0,0,ok
88000,44,310.576,-446423.116039,141113.28125,-305309.834789,3.86575,6.79134,6.72392,3.86575,2,1.71401,3.78994,0,0,ok
90000,45,311.591,-448490.948558,141574.5625,-306916.386058,4.06799,6.67457,6.71379,4.06799,2,1.78958,3.99223,0,0,ok
92000,46,312.533,-446332.293285,142002.625,-304329.668285,3.42652,6.02966,6.44894,3.42652,2,1.76501,3.59305,0,0,ok
94000,47,314.11,-446473.605785,142719.375,-303754.230785,3.53872,6.41784,6.64008,3.53872,2,1.76615,3.72131,0,0,ok
96000,48,310.703,-447644.156566,141171.125,-306473.031566,3.55503,6.70617,6.36849,3.55503,2,1.48391,3.60267,0,0,ok
98000,49,311.386,-447237.530589,141481.6875,-305755.843089,3.67226,6.88737,6.50393,3.67226,2,1.71556,3.79948,0,0,ok
100000,50,310.5,-447680.731761,141078.84375,-306601.888011,3.53939,6.07033,6.38285,3.53939,2,1.26608,3.41682,0,0,ok
102000,51,310.505,-445572.939769,141081.1875,-304491.752269,3.29876,5.6923,6.50538,3.29876,2,1.41385,3.5196,0,0,ok
104000,52,309.28,-446237.196605,140524.8125,-305712.384105,3.91385,6.46132,6.96156,3.91385,2,1.39326,3.49452,0,0,ok
106000,53,308.512,-445756.737621,140175.78125,-305580.956371,3.33913,6.7059,7.31942,3.33913,2,1.86424,3.88827,0,0,ok
108000,54,309.726,-445198.870921,140727.375,-304471.495921,3.12979,6.27006,7.40711,3.12979,2,1.48306,3.59756,0,0,ok
110000,55,311.844,-446563.013988,141689.359375,-304873.654613,3.36563,5.71162,6.35334,3.36563,2,0.935974,3.0262,0,0,ok
112000,56,309.617,-447919.701488,140677.90625,-307241.795238,3.41454,6.23126,6.49587,3.41454,2,1.15793,3.51628,0,0,ok
114000,57,310.309,-446634.721507,140992,-305642.721507,3.76604,6.00235,6.33788,3.76604,2,1.24088,3.41136,0,0,ok
116000,58,310.937,-448073.711253,141277.6875,-306796.023753,3.55872,5.82689,5.65125,3.55872,2,0.55985,2.88661,0,0,ok
118000,59,308.733,-448294.858714,140276.09375,-308018.764964,3.46118,6.15275,7.27615,3.46118,2,1.15145,3.28939,0,0,ok
120000,60,312.32,-446706.888988,141906.0625,-304800.826488,3.6774,5.90012,6.61993,3.6774,2,0.858587,3.15522,0,0,ok
122000,61,312.255,-446903.181957,141876.1875,-305026.994457,3.59335,6.35925,6.55818,3.59335,2,1.01837,3.35053,0,0,ok
124000,62,307.357,-447910.606761,139650.84375,-308259.763011,3.39968,6.11475,6.78557,3.39968,2,1.01928,3.20497,0,0,ok
126000,63,310.181,-446401.474925,140933.9375,-305467.537425,3.56574,6.6096,6.86494,3.56574,2,1.27136,3.75964,0,0,ok
128000,64,308.445,-448060.710765,140145.078125,-307915.63264,3.41763,6.26371,6.36078,3.41763,2,1.26713,3.54275,0,0,ok
