stage,restraint_atom_count,initial_restrained_energy_kJ_mol,final_restrained_energy_kJ_mol,physical_energy_kJ_mol,energy_finite,restrained_max_force_atom,restrained_max_force_kJ_mol_nm,physical_max_force_atom,physical_max_force_kJ_mol_nm,force_nan,severe_lt_1A,close_lt_1p5A,h9_h11_popc_severe_lt_1A,h9_h11_popc_close_lt_1p5A,ligand_key_min_distance_A,ligand_near_chains_count,ligand_rmsd_vs_branchB_start_A,ligand_retained_near_key_residues,ligand_retained_near_two_chains,ligand_image_translation_A,output_pdb
1,7438,8020005310.92,489587.254154,-218465.80151,1,C3 POPC MEMB:127 index=16437,6883.9162927,C25 POPC MEMB:36 index=5292,8497.43511634,0,0,0,0,0,3.42301,2,1.57033,1,1,"0.0000,0.0000,109.6174",C:\TRKB_WP2\ligand_bound_MD\pilot_build\14.2_20chol\branchB_relaxation\outputs\branchB_stage1_minimized.pdb
2,7438,7998590898.14,623309.305912,-143535.160885,1,C25 POPC MEMB:91 index=11762,9351.10302163,C25 POPC MEMB:91 index=11762,9832.88889798,0,0,0,0,0,2.93018,2,1.31672,1,1,"0.0000,0.0000,109.6174",C:\TRKB_WP2\ligand_bound_MD\pilot_build\14.2_20chol\branchB_relaxation\outputs\branchB_stage2_minimized.pdb
3,7438,1602603694.21,1602603683.62,-143534.455807,1,C214 POPC MEMB:96 index=12323,32013.4109437,C25 POPC MEMB:91 index=11762,9832.85925369,0,0,0,0,0,2.93018,2,1.31672,1,1,"0.0000,0.0000,0.0000",C:\TRKB_WP2\ligand_bound_MD\pilot_build\14.2_20chol\branchB_relaxation\outputs\branchB_stage3_minimized.pdb
4,7411,1602476602.78,1602476568.2,-143534.610104,1,C214 POPC MEMB:96 index=12323,32013.3168874,C25 POPC MEMB:91 index=11762,9832.85543741,0,0,0,0,0,2.93018,2,1.31672,1,1,"0.0000,0.0000,0.0000",C:\TRKB_WP2\ligand_bound_MD\pilot_build\14.2_20chol\branchB_relaxation\outputs\branchB_stage4_minimized.pdb
