final_energy_kJ_mol,energy_finite,force_nan,coordinate_nan,max_force_kJ_mol_nm,top_force_atom,MEMB49_max_force_kJ_mol_nm,MEMB49_max_force_atom,PROA437_438_max_force_kJ_mol_nm,PROA437_438_max_force_atom,ligand_key_min_distance_A,ligand_near_chains_count,ligand_rmsd_vs_BranchB_start_A,severe_lt_1A,close_lt_1p5A,branch,restraint_atom_count,initial_energy_kJ_mol,output_pdb
-604351.86694,1,0,0,2438.54048764,OH2 TIP3 TIP3:7718 index=42769,279.790370882,C12 POPC MEMB:49 index=6985,363.473054469,HG12 VAL PROA:438 index=261,3.29666205834,1,3.24019156608,0,0,R1,383,-143520.547116,C:\TRKB_WP2\ligand_bound_MD\pilot_build\14.2_20chol\restraint_strategy_fix\outputs\R1_pbcaware_minimized.pdb
-601401.197018,1,0,0,2438.89312781,OH2 TIP3 TIP3:4391 index=32788,368.749201497,C12 POPC MEMB:49 index=6985,237.200192171,CG2 VAL PROA:438 index=263,3.62569172881,2,2.01382186488,0,0,R2,7411,-143520.576413,C:\TRKB_WP2\ligand_bound_MD\pilot_build\14.2_20chol\restraint_strategy_fix\outputs\R2_pbcaware_minimized.pdb
