step,temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,max_force_kJ_mol_nm,top_force_atom,severe_lt_1A,close_lt_1p5A,ligand_key_min_distance_A,ligand_near_chains_count,ligand_rmsd_A,status
1400,37.7553,-588711.626706,17633.5703125,2452.31619621,OH2 TIP3 TIP3:4391 index=32788,0,0,3.72404,2,0.064422,ok
1500,37.4077,-588013.982174,17471.2050781,2506.15121873,OH2 TIP3 TIP3:7474 index=42037,0,0,3.71563,2,0.0656722,ok
1600,38.44,-587929.829831,17953.359375,2507.83829494,OH2 TIP3 TIP3:7474 index=42037,0,0,3.70474,2,0.0677079,ok
1700,38.4935,-587426.830807,17978.328125,2519.72115892,OH2 TIP3 TIP3:6920 index=40375,0,0,3.70184,2,0.0706796,ok
1800,39.214,-587251.002682,18314.8320312,2518.04071559,OH2 TIP3 TIP3:6920 index=40375,0,0,3.70692,2,0.0727524,ok
1900,39.8629,-587078.185788,18617.8847656,2474.0245456,OH2 TIP3 TIP3:7139 index=41032,0,0,3.70648,2,0.0753717,ok
2000,40.0496,-586715.135495,18705.0800781,2454.26542724,OH2 TIP3 TIP3:7139 index=41032,0,0,3.69761,2,0.0787002,ok
2100,40.9927,-586697.341549,19145.5917969,2462.22925823,OH2 TIP3 TIP3:7840 index=43135,0,0,3.69504,2,0.0823554,ok
2200,40.949,-586260.173092,19125.1464844,2456.62218516,OH2 TIP3 TIP3:7840 index=43135,0,0,3.69896,2,0.0862036,ok
2300,41.7046,-586322.300534,19478.0859375,2435.4452924,OH2 TIP3 TIP3:4968 index=34519,0,0,3.70789,2,0.0890042,ok
2400,41.5039,-585804.455807,19384.3164062,2499.85641569,OH2 TIP3 TIP3:4968 index=34519,0,0,3.7154,2,0.0909899,ok
2500,42.2113,-585777.292233,19714.7382812,2531.25364663,OH2 TIP3 TIP3:4968 index=34519,0,0,3.70981,2,0.0926983,ok
2600,42.7032,-585636.386959,19944.4765625,2520.38516776,OH2 TIP3 TIP3:4968 index=34519,0,0,3.69412,2,0.0935639,ok
2700,42.9173,-585425.699459,20044.4375,2518.19176748,OH2 TIP3 TIP3:7718 index=42769,0,0,3.67922,2,0.0946917,ok
2800,43.6129,-585430.609127,20369.3359375,2489.85825842,OH2 TIP3 TIP3:7718 index=42769,0,0,3.67096,2,0.0967423,ok
2900,43.3233,-585036.382565,20234.0703125,2457.38048402,OH2 TIP3 TIP3:2401 index=26818,0,0,3.66539,2,0.0989218,ok
3000,44.0905,-585113.02026,20592.3867188,2458.76702967,OH2 TIP3 TIP3:2401 index=26818,0,0,3.65831,2,0.0992824,ok
3100,44.1798,-584810.09985,20634.0859375,2465.54198684,OH2 TIP3 TIP3:7546 index=42253,0,0,3.64769,2,0.0991646,ok
3200,44.7059,-584793.806393,20879.828125,2542.60225774,OH2 TIP3 TIP3:7546 index=42253,0,0,3.64093,2,0.100401,ok
3300,45.0567,-584690.809811,21043.6328125,2574.19666201,OH2 TIP3 TIP3:7546 index=42253,0,0,3.64585,2,0.102824,ok
3400,45.055,-584462.918698,21042.8808594,2540.86706651,OH2 TIP3 TIP3:7546 index=42253,0,0,3.66011,2,0.105131,ok
3500,45.7055,-584531.143307,21346.6601562,2598.36636485,OH2 TIP3 TIP3:566 index=21313,0,0,3.67056,2,0.106667,ok
3600,45.4346,-584143.091549,21220.1347656,2727.07983092,OH2 TIP3 TIP3:566 index=21313,0,0,3.66838,2,0.108702,ok
3700,46.1408,-584251.336666,21549.9804688,2701.96466098,OH2 TIP3 TIP3:566 index=21313,0,0,3.66424,2,0.111099,ok
3800,46.1492,-584048.294674,21553.8925781,2523.20341112,OH2 TIP3 TIP3:7718 index=42769,0,0,3.67368,2,0.113372,ok
3900,46.2934,-583918.175045,21621.2675781,2598.46596837,OH2 TIP3 TIP3:7718 index=42769,0,0,3.69275,2,0.11521,ok
4000,46.5284,-583887.245846,21731.0273438,2569.57740642,OH2 TIP3 TIP3:7718 index=42769,0,0,3.69824,2,0.116841,ok
