step,time_ps,temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,total_energy_kJ_mol,ligand_distance_TYR13_A,ligand_distance_VAL17_A,ligand_distance_SER20_A,ligand_min_distance_to_key_residues_A,ligand_near_chains_count,ligand_heavy_rmsd_vs_100ps_input_A,ligand_heavy_rmsd_vs_original_R2_minimized_input_A,severe_lt_1A,close_lt_1p5A,status
2000,1,312.913,-455924.522993,146145.28125,-309779.241743,4.14219,5.94911,4.03959,4.03959,2,0.654458,3.56056,0,0,ok
4000,2,307.972,-454502.020552,143837.625,-310664.395552,4.6441,5.49824,3.66567,3.66567,2,0.584776,3.7513,0,0,ok
6000,3,311.363,-455414.036177,145421.34375,-309992.692427,4.02917,5.52392,4.96546,4.02917,2,0.883027,4.02411,0,0,ok
8000,4,309.441,-455790.424849,144523.890625,-311266.534224,4.30441,5.40965,4.32813,4.30441,2,0.776998,3.88023,0,0,ok
10000,5,309.211,-455565.863325,144416.28125,-311149.582075,4.02496,5.25264,3.80901,3.80901,2,0.682932,3.70076,0,0,ok
12000,6,309.022,-456423.385786,144328.109375,-312095.276411,3.79019,4.9443,3.77718,3.77718,2,0.73233,3.18194,0,0,ok
14000,7,308.574,-454550.943892,144118.84375,-310432.100142,3.88281,5.43911,3.73091,3.73091,2,0.584115,3.32413,0,0,ok
16000,8,309.936,-455591.108442,144755.09375,-310836.014692,4.14673,4.33123,3.44248,3.44248,2,0.855908,3.52638,0,0,ok
18000,9,310.762,-454719.229536,145141.03125,-309578.198286,3.70519,4.67027,4.19224,3.70519,2,0.959257,3.91992,0,0,ok
20000,10,310.318,-454488.808638,144933.484375,-309555.324263,3.74299,4.72552,4.29161,3.74299,2,1.02717,4.20874,0,0,ok
22000,11,310.545,-455787.969771,145039.328125,-310748.641646,3.61863,4.91847,3.79015,3.61863,2,1.03404,3.73015,0,0,ok
24000,12,309.294,-454158.223677,144455.25,-309702.973677,4.32687,5.09102,3.48618,3.48618,2,0.952437,4.01915,0,0,ok
26000,13,308.159,-456510.533735,143925.28125,-312585.252485,4.08995,4.76375,3.29505,3.29505,2,1.23936,4.31726,0,0,ok
28000,14,311.83,-455287.000044,145639.46875,-309647.531294,3.72449,4.1484,3.77444,3.72449,2,1.13983,4.05938,0,0,ok
30000,15,310.691,-455841.252974,145107.875,-310733.377974,3.63019,4.96466,3.50054,3.50054,2,0.829476,3.86021,0,0,ok
32000,16,308.204,-457246.400435,143946.21875,-313300.181685,3.36199,5.07758,3.78947,3.36199,2,1.07057,3.9035,0,0,ok
34000,17,311.491,-454944.832075,145481.34375,-309463.488325,3.82873,5.05388,3.87381,3.82873,2,1.40694,4.24941,0,0,ok
36000,18,309.065,-456551.221724,144348.5,-312202.721724,4.24457,5.33981,3.66283,3.66283,2,1.11923,4.03986,0,0,ok
38000,19,309.576,-457189.724653,144586.75,-312602.974653,4.13175,5.51946,3.99643,3.99643,2,1.68964,4.67797,0,0,ok
40000,20,308.697,-455572.234419,144176.375,-311395.859419,3.42301,5.03015,3.90031,3.42301,2,2.22091,4.96663,0,0,ok
42000,21,310.128,-455679.480513,144844.53125,-310834.949263,4.0826,5.10582,3.68755,3.68755,2,1.37255,4.45112,0,0,ok
44000,22,310.401,-455242.114302,144972.46875,-310269.645552,3.53257,3.77848,3.69369,3.53257,2,1.60017,4.23131,0,0,ok
46000,23,310.921,-457055.44145,145214.9375,-311840.50395,3.89132,4.01181,3.78293,3.78293,2,1.6524,4.73044,0,0,ok
48000,24,311.374,-455023.306685,145426.921875,-309596.38481,4.47288,4.13571,3.20376,3.20376,2,1.76652,4.80844,0,0,ok
50000,25,311.119,-456527.155317,145307.53125,-311219.624067,4.11986,4.09768,3.31878,3.31878,2,1.47882,4.25617,0,0,ok
52000,26,310.962,-456214.369185,145234.25,-310980.119185,3.94092,4.76152,4.4245,3.94092,2,1.2399,4.49583,0,0,ok
54000,27,310.741,-456934.122114,145131.0625,-311803.059614,4.46508,4.85437,3.96277,3.96277,2,1.26181,4.50232,0,0,ok
56000,28,310.527,-457018.793013,145031.078125,-311987.714888,3.53728,4.04026,3.60764,3.53728,2,1.39124,4.00184,0,0,ok
58000,29,311.708,-455403.501021,145582.625,-309820.876021,3.45308,4.02333,4.07578,3.45308,2,1.24579,3.83573,0,0,ok
60000,30,308.584,-454756.394575,144123.84375,-310632.550825,3.77501,4.07549,3.63842,3.63842,2,1.34181,4.03319,0,0,ok
62000,31,311.869,-456027.129927,145658.078125,-310369.051802,3.68746,3.80777,3.69843,3.68746,2,1.6884,4.25283,0,0,ok
64000,32,311.215,-457477.874067,145352.59375,-312125.280317,3.5775,4.7336,4.1855,3.5775,2,1.39608,4.09844,0,0,ok
66000,33,311.058,-456592.782271,145279.21875,-311313.563521,3.75117,4.59195,3.50267,3.50267,2,1.77305,4.33072,0,0,ok
68000,34,309.919,-457336.427778,144747.09375,-312589.334028,3.59453,3.93755,3.55124,3.55124,2,2.11133,4.8137,0,0,ok
70000,35,311.525,-455834.938521,145497.4375,-310337.501021,3.69306,4.46448,3.70632,3.69306,2,1.59268,4.41931,0,0,ok
72000,36,312.448,-456348.505903,145928.375,-310420.130903,3.3776,4.24761,3.89499,3.3776,2,1.60312,4.39783,0,0,ok
74000,37,311.87,-455149.433638,145658.484375,-309490.949263,4.13103,4.31663,3.32711,3.32711,2,1.39541,4.34002,0,0,ok
76000,38,310.295,-454908.06938,144922.953125,-309985.116255,3.92599,5.39174,3.30304,3.30304,2,1.56421,4.6963,0,0,ok
78000,39,312.003,-457460.476607,145720.5625,-311739.914107,3.9421,4.40202,3.51223,3.51223,2,1.73321,4.71087,0,0,ok
80000,40,310.758,-457157.698286,145139.203125,-312018.495161,3.79187,4.70779,3.46217,3.46217,2,1.09455,4.19947,0,0,ok
82000,41,310.245,-457611.223677,144899.59375,-312711.629927,4.06913,4.45423,3.4631,3.4631,2,1.44473,4.28082,0,0,ok
84000,42,309.768,-456292.4102,144676.765625,-311615.644575,3.48877,4.61244,3.78859,3.48877,2,1.05702,3.99231,0,0,ok
86000,43,309.564,-455870.936567,144581.328125,-311289.608442,3.36797,4.75235,3.60366,3.36797,2,1.34324,3.89484,0,0,ok
88000,44,312.623,-455797.919966,146010.171875,-309787.748091,3.52932,5.07127,4.05003,3.52932,2,0.982943,4.0807,0,0,ok
90000,45,309.623,-457073.046919,144609.09375,-312463.953169,3.36412,4.85872,3.28268,3.28268,2,1.45049,4.25832,0,0,ok
92000,46,309.828,-456644.567915,144704.5625,-311940.005415,4.13769,4.66281,3.37581,3.37581,2,1.7058,4.37542,0,0,ok
94000,47,310.387,-456534.318403,144965.90625,-311568.412153,3.88114,4.15183,3.81533,3.81533,2,1.5002,4.34854,0,0,ok
96000,48,308.821,-456260.0352,144234.375,-312025.6602,4.44352,4.69232,3.4733,3.4733,2,1.81458,4.63775,0,0,ok
98000,49,311.579,-456838.730513,145522.46875,-311316.261763,4.58539,5.59107,3.64024,3.64024,2,1.55859,4.89494,0,0,ok
100000,50,311.19,-455472.561567,145340.6875,-310131.874067,4.53895,5.45565,3.9977,3.9977,2,1.60179,4.7711,0,0,ok
102000,51,309.935,-455978.071333,144754.46875,-311223.602583,5.03961,4.94751,3.92598,3.92598,2,1.65574,4.76733,0,0,ok
104000,52,310.817,-456807.672896,145166.4375,-311641.235396,3.7806,4.91318,3.58967,3.58967,2,1.39594,4.36534,0,0,ok
106000,53,310.161,-456673.293989,144860.046875,-311813.247114,4.13034,4.58979,3.25378,3.25378,2,2.26569,4.99615,0,0,ok
108000,54,308.057,-456327.404341,143877.625,-312449.779341,4.36146,4.27441,3.89286,3.89286,2,2.13386,4.93977,0,0,ok
110000,55,310.445,-456595.710005,144992.59375,-311603.116255,3.62485,4.72785,4.12317,3.62485,2,2.25175,5.06445,0,0,ok
112000,56,310.073,-455994.389692,144819.09375,-311175.295942,4.04299,4.87629,3.59184,3.59184,2,1.84848,4.80296,0,0,ok
114000,57,310.489,-456295.665083,145013.140625,-311282.524458,3.85452,5.08832,3.54006,3.54006,2,1.61406,4.48721,0,0,ok
116000,58,311.55,-455247.969771,145509.078125,-309738.891646,3.74495,4.82558,4.21279,3.74495,2,1.55025,4.40793,0,0,ok
118000,59,310.188,-456159.698286,144872.96875,-311286.729536,3.45642,4.96293,3.5906,3.45642,2,1.53008,4.45426,0,0,ok
