step,time_ps,temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,total_energy_kJ_mol,ligand_distance_TYR13_A,ligand_distance_VAL17_A,ligand_distance_SER20_A,ligand_min_distance_to_key_residues_A,ligand_near_chains_count,ligand_heavy_rmsd_vs_100ps_input_A,ligand_heavy_rmsd_vs_original_R2_minimized_input_A,severe_lt_1A,close_lt_1p5A,status
2000,1,308.366,-446846.796689,140109.125,-306737.671689,4.3977,4.30323,3.74522,3.74522,2,1.09496,2.75423,0,0,ok
4000,2,310.062,-445773.757139,140879.90625,-304893.850889,4.09028,3.89033,3.81333,3.81333,2,0.964328,2.73759,0,0,ok
6000,3,307.472,-447030.062803,139702.9375,-307327.125303,4.465,4.01088,3.37828,3.37828,2,0.988822,2.70855,0,0,ok
8000,4,309.307,-445711.012998,140536.65625,-305174.356748,4.82692,3.78479,3.57996,3.57996,2,1.28555,2.67492,0,0,ok
10000,5,310.426,-444904.102842,141045.40625,-303858.696592,4.37854,4.11855,3.70114,3.70114,2,1.28064,2.9261,0,0,ok
12000,6,309.832,-446487.209287,140775.625,-305711.584287,3.67599,3.75269,3.82125,3.67599,2,1.04494,3.00096,0,0,ok
14000,7,310.327,-446139.713193,141000.171875,-305139.541318,3.66281,3.84896,3.64347,3.64347,2,1.52391,3.10031,0,0,ok
16000,8,309.254,-446999.309873,140513,-306486.309873,4.41523,3.64254,3.64463,3.64254,2,1.85232,2.96485,0,0,ok
18000,9,309.133,-447870.913389,140457.59375,-307413.319639,3.61692,3.57545,3.35013,3.35013,2,1.6068,3.10299,0,0,ok
20000,10,313.78,-445789.135068,142569.375,-303219.760068,4.68445,4.1167,3.92667,3.92667,2,1.80574,3.25195,0,0,ok
22000,11,309.313,-446204.329892,140539.609375,-305664.720517,4.27919,3.83721,3.60063,3.60063,2,1.13162,2.71851,0,0,ok
24000,12,310.248,-445470.502256,140964.625,-304505.877256,4.10779,4.04342,3.72949,3.72949,2,1.22454,2.90722,0,0,ok
26000,13,310.444,-445931.266904,141053.34375,-304877.923154,4.03863,3.79814,3.71038,3.71038,2,1.31785,2.99825,0,0,ok
28000,14,310.981,-446123.18292,141297.609375,-304825.573545,4.2968,4.06995,3.32905,3.32905,2,1.62454,3.25887,0,0,ok
30000,15,310.534,-445979.883115,141094.5625,-304885.320615,4.27789,3.71531,3.39549,3.39549,2,0.931122,2.51567,0,0,ok
32000,16,309.611,-445418.317685,140674.8125,-304743.505185,4.03738,3.91226,4.33935,3.91226,2,1.01799,2.82278,0,0,ok
34000,17,310.421,-445552.764951,141043.09375,-304509.671201,3.93365,3.50475,3.40528,3.40528,2,0.950479,2.46753,0,0,ok
36000,18,311.323,-447243.856748,141453,-305790.856748,4.65861,3.74899,3.78113,3.74899,2,1.34505,2.79665,0,0,ok
38000,19,308.766,-447021.028623,140290.9375,-306730.091123,4.0798,3.84245,3.66612,3.66612,2,1.2353,2.68886,0,0,ok
40000,20,309.077,-446713.162412,140432.21875,-306280.943662,4.08049,3.7213,3.76119,3.7213,2,1.55025,3.17156,0,0,ok
42000,21,311.909,-447635.602842,141719.234375,-305916.368467,3.84093,3.87876,3.59427,3.59427,2,1.48385,3.17284,0,0,ok
44000,22,310.637,-446649.647764,141140.96875,-305508.679014,3.62717,3.46759,3.80202,3.46759,2,1.42738,2.75738,0,0,ok
46000,23,309.144,-445777.037412,140462.71875,-305314.318662,4.41326,3.57358,3.80124,3.57358,2,1.54104,3.06049,0,0,ok
48000,24,310.294,-446186.886045,140985.3125,-305201.573545,5.44908,3.47829,3.76777,3.47829,2,1.9283,2.97293,0,0,ok
50000,25,311.326,-445671.137021,141454.03125,-304217.105771,4.54532,4.12556,3.52871,3.52871,2,1.64267,3.15138,0,0,ok
52000,26,309.54,-446734.018369,140642.859375,-306091.158994,3.93244,3.978,3.67272,3.67272,2,1.65081,3.00347,0,0,ok
54000,27,310.293,-446502.746396,140984.75,-305517.996396,3.9615,3.98659,3.69044,3.69044,2,1.59945,2.66825,0,0,ok
56000,28,309.994,-446263.195615,140848.96875,-305414.226865,4.60104,3.69857,3.56152,3.56152,2,1.48779,2.46554,0,0,ok
58000,29,308.646,-446256.883115,140236.40625,-306020.476865,4.23852,3.78793,3.69632,3.69632,2,1.60172,3.03266,0,0,ok
60000,30,309.496,-446949.840146,140622.625,-306327.215146,4.09762,4.15572,3.82172,3.82172,2,1.74964,3.40307,0,0,ok
62000,31,311.424,-446798.45831,141498.53125,-305299.92706,3.87601,3.66839,3.2567,3.2567,2,1.40165,2.70903,0,0,ok
64000,32,309.556,-446091.798154,140649.9375,-305441.860654,3.45182,3.88333,3.74218,3.45182,2,1.07313,2.94324,0,0,ok
66000,33,308.764,-445152.303037,140290.09375,-304862.209287,4.02217,4.05387,3.44565,3.44565,2,1.24388,2.84268,0,0,ok
68000,34,309.829,-446458.104795,140773.96875,-305684.136045,3.98964,3.64438,3.73728,3.64438,2,0.949198,2.68062,0,0,ok
70000,35,309.129,-447092.80792,140456.03125,-306636.77667,3.90775,3.9555,3.60374,3.60374,2,1.15592,2.94198,0,0,ok
72000,36,309.775,-448005.200498,140749.6875,-307255.512998,3.8877,4.03973,3.66635,3.66635,2,1.08159,2.78341,0,0,ok
74000,37,308.741,-447098.103818,140279.84375,-306818.260068,3.7456,3.87546,3.74627,3.7456,2,0.955116,2.5691,0,0,ok
76000,38,311.951,-447249.354795,141738.03125,-305511.323545,3.93986,3.97933,3.72997,3.72997,2,0.965396,2.74602,0,0,ok
78000,39,311.621,-445483.748349,141588.140625,-303895.607724,3.39786,4.03285,3.38639,3.38639,2,1.22942,2.20792,0,0,ok
80000,40,309.667,-447655.826474,140700.28125,-306955.545224,3.87661,4.01284,3.31305,3.31305,2,1.35581,2.9438,0,0,ok
82000,41,310.89,-447115.719053,141255.984375,-305859.734678,3.99229,3.79225,3.5423,3.5423,2,1.53402,2.95551,0,0,ok
84000,42,309.706,-447040.417295,140718.125,-306322.292295,3.53525,3.71402,3.43681,3.43681,2,1.74465,3.09611,0,0,ok
86000,43,310.448,-445796.766904,141055.15625,-304741.610654,3.52438,4.1563,3.5735,3.52438,2,2.44408,3.53187,0,0,ok
88000,44,309.349,-447359.96124,140555.9375,-306804.02374,3.84857,4.16135,4.08773,3.84857,2,2.33266,3.85232,0,0,ok
90000,45,309.261,-447332.133603,140515.90625,-306816.227353,3.65061,3.89448,3.38283,3.38283,2,2.17261,3.64048,0,0,ok
92000,46,309.609,-447840.019834,140674.171875,-307165.847959,3.36458,4.22421,3.42734,3.36458,2,2.38838,4.0735,0,0,ok
94000,47,312.102,-445644.375303,141806.84375,-303837.531553,3.41364,3.99675,3.53378,3.41364,2,2.38275,3.78419,0,0,ok
96000,48,310.482,-446395.152646,141070.609375,-305324.543271,3.25597,3.57437,3.56939,3.25597,2,2.15981,3.65127,0,0,ok
98000,49,309.289,-448346.976865,140528.84375,-307818.133115,3.61273,3.5426,4.08085,3.5426,2,2.44218,3.92394,0,0,ok
100000,50,309.149,-446488.276181,140465.03125,-306023.244931,3.91322,3.53821,4.04224,3.53821,2,1.77934,3.23531,0,0,ok
102000,51,310.722,-447638.80792,141179.9375,-306458.87042,3.26773,4.07529,3.93808,3.26773,2,1.44293,3.03912,0,0,ok
104000,52,310.987,-445861.518369,141300.21875,-304561.299619,3.62399,4.30643,3.80781,3.62399,2,1.06447,2.85026,0,0,ok
106000,53,310.17,-445317.847471,140928.890625,-304388.956846,3.5663,4.2597,3.17617,3.17617,2,1.90625,3.33239,0,0,ok
108000,54,309.24,-447138.141416,140506.5625,-306631.578916,3.71232,3.97303,3.5892,3.5892,2,2.05533,3.50151,0,0,ok
110000,55,312.093,-446960.584287,141802.8125,-305157.771787,4.06084,3.41715,3.47651,3.41715,2,1.12155,3.09669,0,0,ok
112000,56,311.049,-446609.393857,141328.5625,-305280.831357,3.90126,3.4333,3.17446,3.17446,2,1.19059,2.72047,0,0,ok
114000,57,308.57,-447410.30499,140201.90625,-307208.39874,4.22058,3.857,3.43318,3.43318,2,1.00213,2.84861,0,0,ok
116000,58,311.074,-446515.872373,141339.71875,-305176.153623,3.92358,4.00559,3.54185,3.54185,2,1.23938,3.01095,0,0,ok
