step,time_ps,temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,ligand_key_min_distance_A,ligand_near_chains_count,ligand_rmsd_A,severe_lt_1A,close_lt_1p5A,status
0,0,50.3872,-616483.291146,22893.3125,3.74859,2,5.6701e-06,0,0,ok
100,0.005,35.1732,-609299.305794,15980.8583984,3.75073,2,0.0135935,0,0,ok
200,0.01,29.8252,-606011.598275,13551.0400391,3.74949,2,0.0207728,0,0,ok
300,0.015,29.8212,-605147.232552,13549.2167969,3.74851,2,0.0284458,0,0,ok
400,0.02,29.5648,-604094.751107,13432.6875,3.7501,2,0.0355275,0,0,ok
500,0.025,32.6195,-604636.54847,14820.5830078,3.75324,2,0.040716,0,0,ok
600,0.03,32.0455,-603505.885873,14559.8300781,3.76687,2,0.0468237,0,0,ok
700,0.035,33.732,-603453.15931,15326.0761719,3.7839,2,0.0545607,0,0,ok
800,0.04,32.9337,-602319.872201,14963.34375,3.7921,2,0.062595,0,0,ok
900,0.045,34.3202,-602146.951302,15593.3105469,3.78739,2,0.0686278,0,0,ok
1000,0.05,34.4267,-601451.157357,15641.6884766,3.77606,2,0.0732713,0,0,ok
1100,0.055,35.0175,-601069.425912,15910.1230469,3.76329,2,0.0778172,0,0,ok
1200,0.06,37.0497,-601354.150521,16833.4765625,3.75862,2,0.08315,0,0,ok
1300,0.065,36.9241,-600686.577767,16776.3789062,3.75787,2,0.0879416,0,0,ok
1400,0.07,38.1331,-600744.690072,17325.7128906,3.74891,2,0.0919269,0,0,ok
1500,0.075,37.6247,-600008.916146,17094.7089844,3.73725,2,0.0960599,0,0,ok
1600,0.08,38.3581,-599767.950326,17427.9453125,3.72485,2,0.101474,0,0,ok
1700,0.085,38.4639,-599220.289681,17475.9746094,3.71737,2,0.106363,0,0,ok
1800,0.09,38.945,-598970.803353,17694.5800781,3.72653,2,0.11116,0,0,ok
1900,0.095,39.6751,-598847.12806,18026.3007812,3.74681,2,0.115497,0,0,ok
2000,0.1,39.6977,-598361.914193,18036.5664062,3.77077,2,0.119386,0,0,ok
2100,0.105,40.923,-598471.829232,18593.296875,3.78618,2,0.123485,0,0,ok
2200,0.11,41.1156,-598098.376107,18680.8046875,3.78091,2,0.128438,0,0,ok
2300,0.115,42.0943,-598095.832162,19125.4375,3.76461,2,0.133338,0,0,ok
2400,0.12,41.6495,-597575.478646,18923.34375,3.74525,2,0.138108,0,0,ok
2500,0.125,42.3074,-597523.529916,19222.2597656,3.7384,2,0.141063,0,0,ok
2600,0.13,42.6939,-597372.103646,19397.8828125,3.74604,2,0.142355,0,0,ok
2700,0.135,42.8971,-597072.654916,19490.2304688,3.75731,2,0.143966,0,0,ok
2800,0.14,43.1941,-596902.638802,19625.1679688,3.76278,2,0.145424,0,0,ok
2900,0.145,43.4419,-596731.477669,19737.7265625,3.76154,2,0.145673,0,0,ok
3000,0.15,44.0296,-596670.109017,20004.7460938,3.7581,2,0.146179,0,0,ok
3100,0.155,44.1349,-596480.188607,20052.6074219,3.75549,2,0.147656,0,0,ok
3200,0.16,44.5685,-596436.740365,20249.6289062,3.75907,2,0.148294,0,0,ok
3300,0.165,44.6578,-596268.882455,20290.1875,3.76532,2,0.148572,0,0,ok
3400,0.17,44.6282,-596064.291146,20276.7460938,3.76535,2,0.148824,0,0,ok
3500,0.175,45.3532,-596144.505013,20606.1289062,3.75927,2,0.14918,0,0,ok
3600,0.18,45.0754,-595871.060677,20479.9140625,3.75184,2,0.150467,0,0,ok
3700,0.185,45.4401,-595846.922005,20645.6054688,3.74464,2,0.152441,0,0,ok
3800,0.19,45.6252,-595768.527474,20729.703125,3.74256,2,0.153315,0,0,ok
3900,0.195,45.984,-595747.120736,20892.7402344,3.75168,2,0.15378,0,0,ok
4000,0.2,46.1513,-595703.773568,20968.75,3.76771,2,0.1551,0,0,ok
