step,time_ps,temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,total_energy_kJ_mol,ligand_distance_TYR13_A,ligand_distance_VAL17_A,ligand_distance_SER20_A,ligand_min_distance_to_key_residues_A,ligand_near_chains_count,ligand_heavy_rmsd_vs_100ps_input_A,ligand_heavy_rmsd_vs_original_R2_minimized_input_A,severe_lt_1A,close_lt_1p5A,status
2000,1,308.556,-446038.149544,140191.71875,-305846.430794,3.72347,4.33477,5.95041,3.72347,2,1.01087,3.56399,0,0,ok
4000,2,310.271,-447650.547982,140971,-306679.547982,3.39612,4.83834,6.30403,3.39612,2,1.70398,3.98416,0,0,ok
6000,3,312.206,-446122.658334,141850.15625,-304272.502084,3.52049,4.11109,6.25676,3.52049,2,1.75759,4.21602,0,0,ok
8000,4,309.589,-445229.59388,140660.90625,-304568.68763,3.39016,4.72506,6.51894,3.39016,2,1.54434,3.77464,0,0,ok
10000,5,310.18,-446103.754037,140929.75,-305174.004037,3.63433,4.71419,6.41367,3.63433,2,1.38885,3.65979,0,0,ok
12000,6,309.589,-446564.021615,140660.96875,-305903.052865,4.06468,3.34962,5.90633,3.34962,2,1.41413,3.94639,0,0,ok
14000,7,309.873,-445784.267709,140790.109375,-304994.158334,3.42027,4.2806,7.02708,3.42027,2,1.70969,4.3476,0,0,ok
16000,8,307.565,-446374.063119,139741.34375,-306632.719369,3.8622,3.9074,6.84611,3.8622,2,1.07462,3.90991,0,0,ok
18000,9,310.212,-446049.078255,140944.1875,-305104.890755,3.56652,4.63424,7.5669,3.56652,2,1.6275,4.25997,0,0,ok
20000,10,310.345,-447028.94349,141004.828125,-306024.115365,3.59672,4.93989,6.72269,3.59672,2,1.87134,4.46815,0,0,ok
22000,11,310.421,-446578.419076,141038.953125,-305539.465951,3.37922,4.16709,6.92351,3.37922,2,1.81426,4.20019,0,0,ok
24000,12,310.6,-449000.576302,141120.671875,-307879.904427,3.64095,3.83819,6.78674,3.64095,2,1.35336,3.60413,0,0,ok
26000,13,307.699,-446780.868294,139802.375,-306978.493294,3.51862,5.03957,7.42447,3.51862,2,1.58329,3.8176,0,0,ok
28000,14,312.233,-446876.13099,141862.25,-305013.88099,2.94422,3.44158,6.38191,2.94422,2,1.19881,3.40891,0,0,ok
30000,15,311.927,-447821.082162,141723.5625,-306097.519662,3.30372,4.16978,7.49947,3.30372,2,1.4891,4.19077,0,0,ok
32000,16,309.809,-446905.68763,140761.03125,-306144.65638,3.3153,4.47172,6.29119,3.3153,2,1.16707,3.60051,0,0,ok
34000,17,308.338,-447715.473763,140092.578125,-307622.895638,3.52045,4.00629,6.23124,3.52045,2,1.34161,3.80279,0,0,ok
36000,18,312.287,-448136.435677,141886.890625,-306249.545052,3.7978,4.82831,7.36765,3.7978,2,1.63029,3.75372,0,0,ok
38000,19,308.26,-446699.026498,140057.3125,-306641.713998,3.57419,4.79959,6.094,3.57419,2,1.42206,3.55292,0,0,ok
40000,20,312.639,-446835.09388,142046.796875,-304788.297005,3.42244,5.01297,7.61412,3.42244,2,1.54833,3.72068,0,0,ok
42000,21,312.721,-447474.891732,142083.96875,-305390.922982,3.48443,5.47758,7.4433,3.48443,2,1.81397,3.74736,0,0,ok
44000,22,313.055,-446751.844857,142235.71875,-304516.126107,3.69862,4.20777,7.07106,3.69862,2,1.64542,3.75951,0,0,ok
46000,23,309.459,-446656.72181,140602.140625,-306054.581185,3.59813,4.99313,7.37108,3.59813,2,1.66252,3.34549,0,0,ok
48000,24,311.173,-446486.741341,141380.90625,-305105.835091,3.55086,5.64421,7.38428,3.55086,2,1.73957,3.90103,0,0,ok
50000,25,310.08,-448232.543099,140884.015625,-307348.527474,3.85345,5.82679,7.82193,3.85345,2,1.69366,3.84834,0,0,ok
52000,26,311.416,-447256.743294,141491.015625,-305765.727669,3.6286,5.85927,6.72634,3.6286,2,1.65335,3.71046,0,0,ok
54000,27,310.756,-446428.384896,141191.515625,-305236.869271,3.34824,5.47804,6.82427,3.34824,2,1.44788,3.35939,0,0,ok
56000,28,312.558,-447205.97474,142009.96875,-305196.00599,3.18693,5.85595,6.75685,3.18693,2,1.22006,3.49,0,0,ok
58000,29,307.905,-447570.319466,139896.0625,-307674.256966,3.40111,6.15997,7.15109,3.40111,2,1.68968,3.62327,0,0,ok
60000,30,309.384,-446559.577279,140568.078125,-305991.499154,4.12284,5.59386,6.99379,4.12284,2,1.60526,3.70306,0,0,ok
62000,31,310.917,-447776.705209,141264.359375,-306512.345834,3.33077,6.83733,7.57603,3.33077,2,1.8507,3.478,0,0,ok
64000,32,311.804,-447218.916146,141667.6875,-305551.228646,3.43568,4.76473,6.31657,3.43568,2,1.51216,3.18409,0,0,ok
66000,33,308.776,-447643.164193,140291.921875,-307351.242318,3.76843,5.05341,6.70473,3.76843,2,1.72821,3.44948,0,0,ok
68000,34,309.734,-447814.75306,140727.15625,-307087.59681,3.69583,6.313,7.23485,3.69583,2,1.89133,3.89127,0,0,ok
70000,35,307.393,-446178.810677,139663.28125,-306515.529427,3.60123,5.89179,7.22312,3.60123,2,2.16062,3.89188,0,0,ok
72000,36,310.335,-446756.572396,140999.953125,-305756.619271,3.81402,6.38868,7.53996,3.81402,2,2.13435,3.98909,0,0,ok
74000,37,308.935,-447011.609505,140364.046875,-306647.56263,3.82063,6.59214,8.03557,3.82063,2,1.93233,4.09799,0,0,ok
76000,38,311.808,-447341.304818,141669.453125,-305671.851693,3.85027,5.78755,7.78731,3.85027,2,1.69911,4.00401,0,0,ok
78000,39,310.639,-447323.357064,141138.15625,-306185.200814,3.91482,4.61464,6.93794,3.91482,2,1.61723,4.08991,0,0,ok
80000,40,310.882,-448189.573373,141248.78125,-306940.792123,3.80135,4.50765,6.1838,3.80135,2,1.65247,4.01326,0,0,ok
82000,41,310.227,-448321.381966,140950.828125,-307370.553841,3.45486,4.22818,5.85327,3.45486,2,1.39172,3.69212,0,0,ok
84000,42,308.684,-447083.354623,140250.046875,-306833.307748,3.81388,4.37637,5.85851,3.81388,2,1.46497,3.64989,0,0,ok
86000,43,312.456,-447185.414193,141963.59375,-305221.820443,3.42357,4.52478,6.79656,3.42357,2,1.55635,3.61606,0,0,ok
88000,44,309.575,-446608.417123,140654.890625,-305953.526498,3.79727,4.07943,6.64011,3.79727,2,1.52084,3.79246,0,0,ok
90000,45,308.839,-448340.479623,140320.515625,-308019.963998,3.76084,3.92127,6.56445,3.76084,2,1.54513,4.06796,0,0,ok
92000,46,309.698,-448148.361459,140710.53125,-307437.830209,3.33075,3.66529,6.50177,3.33075,2,1.40635,3.68024,0,0,ok
94000,47,312.324,-448416.320931,141903.75,-306512.570931,3.82971,3.85172,6.45706,3.82971,2,1.43282,3.57599,0,0,ok
96000,48,311.658,-447351.28724,141601.0625,-305750.22474,3.73369,4.75904,6.78838,3.73369,2,1.77222,4.30894,0,0,ok
98000,49,311.522,-449201.255013,141539.28125,-307661.973763,3.99362,4.1947,6.90246,3.99362,2,1.62972,4.15441,0,0,ok
100000,50,309.574,-447651.138802,140654.296875,-306996.841927,3.65892,4.24325,6.81964,3.65892,2,1.8861,3.90814,0,0,ok
102000,51,310.677,-446940.97474,141155.375,-305785.59974,3.79603,4.36937,6.44886,3.79603,2,1.56731,3.87502,0,0,ok
104000,52,312.852,-447945.47181,142143.453125,-305802.018685,3.41944,3.99674,6.13482,3.41944,2,1.53964,3.48104,0,0,ok
106000,53,310.073,-448877.514779,140881.0625,-307996.452279,3.301,4.80867,6.36455,3.301,2,2.09976,3.48132,0,0,ok
108000,54,310.491,-446429.536263,141070.984375,-305358.551888,3.37685,4.77657,6.27305,3.37685,2,2.0906,3.08679,0,0,ok
110000,55,311.175,-447191.672982,141381.5625,-305810.110482,3.62391,5.08891,5.38757,3.62391,2,2.03794,2.98409,0,0,ok
112000,56,310.387,-448318.842904,141023.84375,-307294.999154,3.32588,3.92722,5.09899,3.32588,2,1.79654,2.98591,0,0,ok
114000,57,309.915,-448468.320443,140809.453125,-307658.867318,3.79093,3.78189,5.19733,3.78189,2,2.27603,3.30185,0,0,ok
116000,58,313.232,-447609.448373,142316.125,-305293.323373,4.09328,3.84202,5.63426,3.84202,2,1.89781,3.51752,0,0,ok
118000,59,310.597,-447747.088998,141118.953125,-306628.135873,3.56119,4.44879,6.87969,3.56119,2,2.07256,4.08302,0,0,ok
120000,60,309.943,-448057.869759,140821.84375,-307236.026009,3.57569,4.04098,6.3973,3.57569,2,1.96035,3.78016,0,0,ok
122000,61,310.181,-448113.479623,140930.1875,-307183.292123,3.71867,4.82376,7.26299,3.71867,2,2.17308,4.18093,0,0,ok
124000,62,307.775,-447581.964974,139837.0625,-307744.902474,3.76571,4.88193,7.46428,3.76571,2,2.11368,4.46433,0,0,ok
126000,63,309.669,-448030.823373,140697.5625,-307333.260873,4.04445,5.18495,7.30557,4.04445,2,2.17159,4.41671,0,0,ok
128000,64,311.788,-448311.94349,141660.046875,-306651.896615,3.74299,4.22532,6.67068,3.74299,2,1.85887,3.73705,0,0,ok
130000,65,309.469,-445945.013802,140606.8125,-305338.201302,3.64722,4.48631,6.68071,3.64722,2,1.99208,3.93463,0,0,ok
132000,66,312.614,-448245.793099,142035.640625,-306210.152474,3.47282,4.95543,6.38347,3.47282,2,1.80144,3.75606,0,0,ok
134000,67,311.776,-447566.800912,141654.8125,-305911.988412,3.36667,4.77075,5.81397,3.36667,2,1.96664,3.16935,0,0,ok
136000,68,308.732,-447299.324837,140271.953125,-307027.371712,3.57647,5.64303,6.06984,3.57647,2,1.91548,3.23432,0,0,ok
138000,69,311.237,-448450.888802,141410.09375,-307040.795052,3.51517,6.09827,6.12131,3.51517,2,2.00046,3.13008,0,0,ok
140000,70,310.334,-447787.564584,140999.59375,-306787.970834,3.55884,5.74934,6.38799,3.55884,2,2.17214,3.47553,0,0,ok
142000,71,309.495,-446519.410287,140618.28125,-305901.129037,3.52283,6.22842,6.26555,3.52283,2,2.02635,3.28486,0,0,ok
144000,72,310.975,-447392.581185,141290.703125,-306101.87806,3.39982,5.10396,5.67309,3.39982,2,1.81175,3.27267,0,0,ok
146000,73,310.853,-446150.145638,141235.640625,-304914.505013,3.5943,5.7787,5.77847,3.5943,2,1.81134,2.97222,0,0,ok
148000,74,311.987,-448744.333138,141750.484375,-306993.848763,3.77943,6.0178,6.43944,3.77943,2,1.80268,3.27186,0,0,ok
150000,75,312.115,-448508.936654,141808.734375,-306700.202279,3.58633,4.68446,5.64905,3.58633,2,1.57229,3.36946,0,0,ok
152000,76,310.721,-448114.71888,141175.265625,-306939.453255,3.5369,5.28069,6.28501,3.5369,2,1.63325,3.39911,0,0,ok
