step,time_ps,temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,total_energy_kJ_mol,ligand_distance_TYR13_A,ligand_distance_VAL17_A,ligand_distance_SER20_A,ligand_min_distance_to_key_residues_A,ligand_near_chains_count,ligand_heavy_rmsd_vs_50ps_input_A,severe_lt_1A,close_lt_1p5A,status
1000,0.5,310.797,-445148.302815,141211.375,-303936.927815,3.89904,3.8814,4.74028,3.8814,2,0.435182,0,0,ok
2000,1,312.102,-444390.036213,141804.3125,-302585.723713,3.68843,3.71414,3.81651,3.68843,2,0.750838,0,0,ok
3000,1.5,310.914,-444979.107502,141264.53125,-303714.576252,3.55402,3.67192,3.93205,3.55402,2,1.1258,0,0,ok
4000,2,310.494,-444399.801838,141073.40625,-303326.395588,3.97734,3.89216,4.86698,3.89216,2,1.10336,0,0,ok
5000,2.5,307.998,-444633.369221,139939.625,-304693.744221,3.86928,4.06264,4.34114,3.86928,2,0.500719,0,0,ok
6000,3,311.598,-444346.619221,141575.28125,-302771.337971,3.67149,4.03069,5.13537,3.67149,2,0.473319,0,0,ok
7000,3.5,309.993,-444377.306721,140845.875,-303531.431721,3.51457,4.26322,5.14916,3.51457,2,0.660943,0,0,ok
8000,4,309.413,-445261.913166,140582.390625,-304679.522541,3.80594,4.0691,4.89905,3.80594,2,0.605521,0,0,ok
9000,4.5,309.649,-444789.648518,140689.546875,-304100.101643,3.60703,4.78432,4.96159,3.60703,2,1.13856,0,0,ok
10000,5,309.617,-444749.461994,140675.03125,-304074.430744,3.76701,4.9001,5.06804,3.76701,2,1.34103,0,0,ok
11000,5.5,308.824,-445869.214924,140314.8125,-305554.402424,3.59584,4.89752,5.22688,3.59584,2,1.65389,0,0,ok
12000,6,310.404,-446106.445393,141032.84375,-305073.601643,4.14079,3.82769,4.65774,3.82769,2,1.44335,0,0,ok
13000,6.5,310.062,-445836.06551,140877.25,-304958.81551,3.7119,3.84149,4.42542,3.7119,2,1.0112,0,0,ok
14000,7,309.401,-444966.948811,140576.875,-304390.073811,4.3124,4.42618,5.37479,4.3124,2,1.44319,0,0,ok
