step,time_ps,stage,target_temperature_K,actual_temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,total_energy_kJ_mol,ligand_key_min_distance_A,ligand_near_chains_count,ligand_heavy_rmsd_A,severe_lt_1A,close_lt_1p5A,status
19500,9.75,310K_50ps,310,310.572,-453004.217526,145052.125,-307952.092526,3.33939,2,1.38568,0,0,ok
20000,10,310K_50ps,310,310.208,-453714.568112,144881.96875,-308832.599362,3.35633,2,1.08714,0,0,ok
20500,10.25,310K_50ps,310,313.507,-451829.686276,146423.078125,-305406.608151,3.54534,2,1.11927,0,0,ok
21000,10.5,310K_50ps,310,310.182,-452593.609127,144870.203125,-307723.406002,3.3806,2,1.20541,0,0,ok
21500,10.75,310K_50ps,310,309.942,-451952.579831,144757.78125,-307194.798581,3.55165,2,1.16163,0,0,ok
22000,11,310K_50ps,310,308.98,-452876.010495,144308.40625,-308567.604245,3.77441,2,1.13102,0,0,ok
22500,11.25,310K_50ps,310,307.956,-452633.753659,143830.375,-308803.378659,3.3708,2,1.10264,0,0,ok
23000,11.5,310K_50ps,310,309.264,-452416.395749,144441.09375,-307975.301999,3.49473,2,1.2534,0,0,ok
23500,11.75,310K_50ps,310,309.805,-452003.064206,144694.125,-307308.939206,3.52429,2,1.26748,0,0,ok
24000,12,310K_50ps,310,309.223,-452685.868405,144422.09375,-308263.774655,3.55135,2,1.27223,0,0,ok
24500,12.25,310K_50ps,310,309.068,-452796.239987,144349.46875,-308446.771237,3.61252,2,1.38885,0,0,ok
25000,12.5,310K_50ps,310,311.761,-452090.796627,145607.21875,-306483.577877,3.47674,2,1.40139,0,0,ok
25500,12.75,310K_50ps,310,311.847,-452309.841549,145647.65625,-306662.185299,3.54185,2,1.55711,0,0,ok
26000,13,310K_50ps,310,313.43,-453445.86401,146386.875,-307058.98901,3.65701,2,1.63257,0,0,ok
26500,13.25,310K_50ps,310,310.267,-452999.67651,144909.84375,-308089.83276,3.71206,2,1.64723,0,0,ok
27000,13.5,310K_50ps,310,310.028,-452906.717526,144798.28125,-308108.436276,3.93418,2,1.7428,0,0,ok
27500,13.75,310K_50ps,310,309.703,-452524.617916,144646.46875,-307878.149166,3.80839,2,1.54652,0,0,ok
28000,14,310K_50ps,310,312.464,-453659.630612,145935.90625,-307723.724362,3.57231,2,1.5818,0,0,ok
28500,14.25,310K_50ps,310,309.352,-452732.262448,144482.515625,-308249.746823,3.51723,2,1.65783,0,0,ok
29000,14.5,310K_50ps,310,310.358,-451862.183346,144952.15625,-306910.027096,3.43203,2,1.46211,0,0,ok
29500,14.75,310K_50ps,310,309.798,-453499.474362,144690.671875,-308808.802487,3.30173,2,1.37137,0,0,ok
30000,15,310K_50ps,310,310.495,-452474.28442,145016.1875,-307458.09692,3.32529,2,1.26211,0,0,ok
30500,15.25,310K_50ps,310,308.47,-452781.608639,144070.28125,-308711.327389,3.29215,2,1.21086,0,0,ok
31000,15.5,310K_50ps,310,310.549,-453380.377682,145041.1875,-308339.190182,3.55156,2,1.31099,0,0,ok
31500,15.75,310K_50ps,310,311.581,-451722.974362,145523.3125,-306199.661862,3.39045,2,1.44595,0,0,ok
32000,16,310K_50ps,310,310.389,-452900.824459,144966.625,-307934.199459,3.59209,2,1.52082,0,0,ok
32500,16.25,310K_50ps,310,311.918,-452802.916745,145680.90625,-307122.010495,3.40458,2,1.54333,0,0,ok
33000,16.5,310K_50ps,310,310.465,-452632.008541,145002.3125,-307629.696041,3.56267,2,1.44064,0,0,ok
33500,16.75,310K_50ps,310,310.078,-453500.411862,144821.5,-308678.911862,3.56666,2,1.43806,0,0,ok
34000,17,310K_50ps,310,310.15,-452811.094479,144855.265625,-307955.828854,3.56991,2,1.36318,0,0,ok
34500,17.25,310K_50ps,310,307.945,-452324.368893,143825,-308499.368893,3.56997,2,1.50732,0,0,ok
35000,17.5,310K_50ps,310,312.915,-453590.059323,146146.40625,-307443.653073,3.89169,2,1.40007,0,0,ok
35500,17.75,310K_50ps,310,307.18,-453426.46362,143467.828125,-309958.635495,3.44067,2,1.32398,0,0,ok
36000,18,310K_50ps,310,310.294,-453337.997799,144922.1875,-308415.810299,3.64654,2,1.27651,0,0,ok
36500,18.25,310K_50ps,310,311.63,-453264.771237,145546.03125,-307718.739987,3.53576,2,1.33473,0,0,ok
37000,18.5,310K_50ps,310,310.067,-452267.368893,144816.5,-307450.868893,3.69536,2,1.40077,0,0,ok
37500,18.75,310K_50ps,310,311.239,-452981.715573,145363.75,-307617.965573,3.45577,2,1.47339,0,0,ok
38000,19,310K_50ps,310,311.951,-452359.110104,145696.296875,-306662.813229,3.34711,2,1.54407,0,0,ok
38500,19.25,310K_50ps,310,310.727,-452021.408444,145124.375,-306897.033444,3.23002,2,1.49099,0,0,ok
39000,19.5,310K_50ps,310,313.3,-452719.959713,146326.171875,-306393.787838,3.62651,2,1.34899,0,0,ok
39500,19.75,310K_50ps,310,311.153,-451791.437252,145323.5,-306467.937252,3.34635,2,1.536,0,0,ok
40000,20,310K_50ps,310,310.198,-453597.30151,144877.578125,-308719.723385,3.43515,2,1.35333,0,0,ok
40500,20.25,310K_50ps,310,308.545,-451813.095456,144105.453125,-307707.642331,3.45352,2,1.26806,0,0,ok
41000,20.5,310K_50ps,310,309.76,-452853.875729,144672.9375,-308180.938229,3.64507,2,1.37731,0,0,ok
41500,20.75,310K_50ps,310,309.437,-452374.909909,144522.078125,-307852.831784,3.61382,2,1.28929,0,0,ok
42000,21,310K_50ps,310,310.524,-451731.600338,145029.5625,-306702.037838,3.22249,2,1.4837,0,0,ok
42500,21.25,310K_50ps,310,311.346,-452375.702877,145413.6875,-306962.015377,3.62131,2,1.41692,0,0,ok
43000,21.5,310K_50ps,310,309.546,-452078.655514,144572.78125,-307505.874264,3.74892,2,1.47029,0,0,ok
43500,21.75,310K_50ps,310,310.016,-451495.857174,144792.28125,-306703.575924,3.63774,2,1.36382,0,0,ok
44000,22,310K_50ps,310,312.58,-452191.223385,145989.84375,-306201.379635,3.45948,2,1.5348,0,0,ok
44500,22.25,310K_50ps,310,308.013,-453015.65112,143856.75,-309158.90112,3.38508,2,1.41336,0,0,ok
45000,22.5,310K_50ps,310,309.693,-453023.420651,144641.5,-308381.920651,3.35991,2,1.53712,0,0,ok
45500,22.75,310K_50ps,310,311.995,-451814.993893,145716.8125,-306098.181393,3.50808,2,1.46126,0,0,ok
46000,23,310K_50ps,310,309.903,-452570.334713,144739.5625,-307830.772213,3.57895,2,1.43295,0,0,ok
46500,23.25,310K_50ps,310,310.874,-451588.681881,145193.0625,-306395.619381,3.2867,2,1.37171,0,0,ok
47000,23.5,310K_50ps,310,309.971,-452075.188229,144771.359375,-307303.828854,3.50561,2,1.27571,0,0,ok
47500,23.75,310K_50ps,310,309.986,-452144.060299,144778.234375,-307365.825924,3.52074,2,1.2731,0,0,ok
48000,24,310K_50ps,310,311.289,-452154.202877,145387.109375,-306767.093502,3.56423,2,1.26909,0,0,ok
48500,24.25,310K_50ps,310,307.207,-452310.470456,143480.625,-308829.845456,3.54843,2,1.36382,0,0,ok
49000,24.5,310K_50ps,310,309.673,-451464.415768,144632.203125,-306832.212643,3.50026,2,1.4307,0,0,ok
49500,24.75,310K_50ps,310,308.739,-452531.938717,144196.109375,-308335.829342,3.69749,2,1.50308,0,0,ok
50000,25,310K_50ps,310,308.846,-452119.627682,144246.09375,-307873.533932,3.82652,2,1.53912,0,0,ok
50500,25.25,310K_50ps,310,309.029,-452042.697995,144331.53125,-307711.166745,3.93623,2,1.51812,0,0,ok
51000,25.5,310K_50ps,310,311.496,-452267.755612,145483.75,-306784.005612,3.93048,2,1.47258,0,0,ok
51500,25.75,310K_50ps,310,310.072,-452011.758541,144818.796875,-307192.961666,3.72792,2,1.67878,0,0,ok
52000,26,310K_50ps,310,308.327,-452763.414791,144003.578125,-308759.836666,3.59458,2,1.64323,0,0,ok
52500,26.25,310K_50ps,310,308.392,-452046.589596,144034,-308012.589596,3.56844,2,1.59348,0,0,ok
53000,26.5,310K_50ps,310,307.351,-451842.240963,143547.78125,-308294.459713,3.52287,2,1.58436,0,0,ok
53500,26.75,310K_50ps,310,311.536,-453012.673581,145502.296875,-307510.376706,3.69552,2,1.60733,0,0,ok
54000,27,310K_50ps,310,308.493,-452865.084713,144081.34375,-308783.740963,3.55302,2,1.3286,0,0,ok
54500,27.25,310K_50ps,310,311.576,-451305.456784,145520.921875,-305784.534909,3.85818,2,1.20237,0,0,ok
55000,27.5,310K_50ps,310,310.327,-450851.893307,144937.71875,-305914.174557,3.55179,2,1.23797,0,0,ok
55500,27.75,310K_50ps,310,310.496,-451375.638424,145016.59375,-306359.044674,3.52448,2,1.22782,0,0,ok
56000,28,310K_50ps,310,308.221,-450576.868893,143954.203125,-306622.665768,3.36207,2,1.56035,0,0,ok
56500,28.25,310K_50ps,310,310.688,-450941.721432,145106.125,-305835.596432,3.64456,2,1.43475,0,0,ok
57000,28.5,310K_50ps,310,309.108,-451214.096432,144368.3125,-306845.783932,3.4518,2,1.51435,0,0,ok
57500,28.75,310K_50ps,310,308.216,-451414.486081,143951.53125,-307462.954831,3.40608,2,1.67131,0,0,ok
58000,29,310K_50ps,310,312.845,-452204.542721,146113.6875,-306090.855221,3.60637,2,1.66652,0,0,ok
58500,29.25,310K_50ps,310,308.18,-452916.717526,143934.75,-308981.967526,3.64114,2,1.46496,0,0,ok
59000,29.5,310K_50ps,310,308.994,-452727.814206,144315.1875,-308412.626706,3.68312,2,1.45001,0,0,ok
59500,29.75,310K_50ps,310,310.173,-453205.52026,144865.65625,-308339.86401,3.52543,2,1.62262,0,0,ok
60000,30,310K_50ps,310,309.434,-452532.933346,144520.4375,-308012.495846,3.51131,2,1.48117,0,0,ok
60500,30.25,310K_50ps,310,310.793,-452872.799557,145155.5625,-307717.237057,3.43442,2,1.62016,0,0,ok
61000,30.5,310K_50ps,310,309.865,-452040.586666,144722.09375,-307318.492916,3.22382,2,1.58319,0,0,ok
61500,30.75,310K_50ps,310,312.703,-450903.653561,146047.25,-304856.403561,3.65996,2,1.37245,0,0,ok
62000,31,310K_50ps,310,309.397,-451727.657956,144503.34375,-307224.314206,3.31155,2,1.35282,0,0,ok
62500,31.25,310K_50ps,310,311.052,-453291.42944,145276.25,-308015.17944,3.45438,2,1.4706,0,0,ok
63000,31.5,310K_50ps,310,312.127,-452381.690182,145778.375,-306603.315182,3.3567,2,1.5399,0,0,ok
63500,31.75,310K_50ps,310,309.974,-451813.127682,144772.984375,-307040.143307,3.50179,2,1.7221,0,0,ok
64000,32,310K_50ps,310,311.598,-451008.459713,145531.1875,-305477.272213,3.29364,2,1.6584,0,0,ok
64500,32.25,310K_50ps,310,307.839,-453215.785397,143775.59375,-309440.191647,3.39878,2,1.60448,0,0,ok
65000,32.5,310K_50ps,310,309.57,-452363.317135,144584.15625,-307779.160885,3.20549,2,1.41152,0,0,ok
65500,32.75,310K_50ps,310,308.964,-452494.161862,144301.078125,-308193.083737,3.76788,2,1.2229,0,0,ok
66000,33,310K_50ps,310,310.539,-452024.169674,145036.625,-306987.544674,3.67065,2,1.33548,0,0,ok
66500,33.25,310K_50ps,310,310.011,-452970.326901,144789.96875,-308180.358151,3.71711,2,1.524,0,0,ok
67000,33.5,310K_50ps,310,312.136,-452258.808346,145782.578125,-306476.230221,3.86614,2,1.35718,0,0,ok
67500,33.75,310K_50ps,310,313.128,-452521.538815,146245.90625,-306275.632565,3.90074,2,1.32583,0,0,ok
68000,34,310K_50ps,310,310.73,-452307.84985,145126.03125,-307181.8186,3.79266,2,1.21303,0,0,ok
68500,34.25,310K_50ps,310,309.527,-451289.986569,144563.90625,-306726.080319,3.8793,2,1.35135,0,0,ok
69000,34.5,310K_50ps,310,312.548,-450798.263424,145975.03125,-304823.232174,3.93,2,1.37076,0,0,ok
69500,34.75,310K_50ps,310,311.431,-450841.686276,145453.25,-305388.436276,4.13374,2,1.42245,0,0,ok
70000,35,310K_50ps,310,310.377,-452205.880124,144961.09375,-307244.786374,3.70848,2,1.25028,0,0,ok
70500,35.25,310K_50ps,310,311.842,-451202.450924,145645.5,-305556.950924,3.46729,2,1.22758,0,0,ok
71000,35.5,310K_50ps,310,310.902,-451578.906979,145206.125,-306372.781979,3.75354,2,1.36957,0,0,ok
71500,35.75,310K_50ps,310,310.406,-452690.956784,144974.71875,-307716.238034,3.31515,2,1.33523,0,0,ok
72000,36,310K_50ps,310,310.49,-452389.330807,145013.890625,-307375.440182,3.42453,2,1.18958,0,0,ok
72500,36.25,310K_50ps,310,309.284,-452523.037838,144450.65625,-308072.381588,3.61431,2,1.3124,0,0,ok
73000,36.5,310K_50ps,310,310.224,-452027.435299,144889.71875,-307137.716549,3.16545,2,1.33993,0,0,ok
73500,36.75,310K_50ps,310,308.04,-452973.383541,143869.40625,-309103.977291,3.62109,2,1.31698,0,0,ok
74000,37,310K_50ps,310,311.384,-453104.808346,145431.25,-307673.558346,3.55438,2,1.45931,0,0,ok
74500,37.25,310K_50ps,310,308.91,-451980.931393,144276.09375,-307704.837643,3.66407,2,1.54432,0,0,ok
75000,37.5,310K_50ps,310,308.077,-452222.415768,143886.625,-308335.790768,3.78905,2,1.50407,0,0,ok
75500,37.75,310K_50ps,310,309.893,-454268.924557,144735.09375,-309533.830807,3.58985,2,1.66586,0,0,ok
76000,38,310K_50ps,310,309.455,-452657.83569,144530.5625,-308127.27319,3.4877,2,1.6586,0,0,ok
76500,38.25,310K_50ps,310,309.79,-452126.342038,144686.890625,-307439.451413,3.76334,2,1.46587,0,0,ok
77000,38.5,310K_50ps,310,310.459,-451725.208737,144999.296875,-306725.911862,3.27587,2,1.43866,0,0,ok
77500,38.75,310K_50ps,310,310.78,-452196.810299,145149.140625,-307047.669674,3.6638,2,1.32432,0,0,ok
78000,39,310K_50ps,310,309.904,-453719.943112,144740.125,-308979.818112,4.01697,2,1.4247,0,0,ok
78500,39.25,310K_50ps,310,310.053,-452146.216549,144809.90625,-307336.310299,3.97648,2,1.46439,0,0,ok
79000,39.5,310K_50ps,310,311.01,-452833.187252,145256.78125,-307576.406002,3.65579,2,1.31176,0,0,ok
79500,39.75,310K_50ps,310,308.99,-451105.911862,144313.125,-306792.786862,3.39162,2,1.42656,0,0,ok
80000,40,310K_50ps,310,308.924,-452172.312252,144282.40625,-307889.906002,4.11231,2,1.37162,0,0,ok
80500,40.25,310K_50ps,310,310.847,-452993.064206,145180.375,-307812.689206,3.75054,2,1.39244,0,0,ok
81000,40.5,310K_50ps,310,312.475,-452766.662838,145940.8125,-306825.850338,3.61544,2,1.48766,0,0,ok
81500,40.75,310K_50ps,310,307.77,-453271.130612,143743.4375,-309527.693112,3.83391,2,1.47113,0,0,ok
82000,41,310K_50ps,310,309.314,-453078.047604,144464.46875,-308613.578854,3.50607,2,1.52987,0,0,ok
82500,41.25,310K_50ps,310,310.004,-451965.001706,144786.90625,-307178.095456,3.85645,2,1.5146,0,0,ok
83000,41.5,310K_50ps,310,310.038,-453009.560299,144802.75,-308206.810299,3.61724,2,1.67556,0,0,ok
83500,41.75,310K_50ps,310,310.942,-452365.661862,145224.75,-307140.911862,3.69967,2,1.45353,0,0,ok
84000,42,310K_50ps,310,308.983,-451396.644772,144309.78125,-307086.863522,3.58612,2,1.39264,0,0,ok
84500,42.25,310K_50ps,310,310.247,-452626.506588,144900.46875,-307726.037838,3.64663,2,1.33966,0,0,ok
85000,42.5,310K_50ps,310,309.417,-453397.727291,144512.6875,-308885.039791,3.60632,2,1.26985,0,0,ok
85500,42.75,310K_50ps,310,308.841,-452884.319088,144243.765625,-308640.553463,3.47957,2,1.28347,0,0,ok
86000,43,310K_50ps,310,308.884,-451984.225338,144263.609375,-307720.615963,3.47212,2,1.35142,0,0,ok
86500,43.25,310K_50ps,310,311.067,-451827.415768,145283.15625,-306544.259518,3.72018,2,1.35684,0,0,ok
87000,43.5,310K_50ps,310,310.768,-449971.274166,145143.671875,-304827.602291,3.46284,2,1.19294,0,0,ok
87500,43.75,310K_50ps,310,308.18,-450577.318112,143935.03125,-306642.286862,3.66019,2,1.2056,0,0,ok
88000,44,310K_50ps,310,310.628,-451629.750729,145078.34375,-306551.406979,3.44732,2,1.3628,0,0,ok
88500,44.25,310K_50ps,310,312.534,-452063.239987,145968.6875,-306094.552487,3.82722,2,1.51658,0,0,ok
89000,44.5,310K_50ps,310,309.799,-450967.004635,144690.875,-306276.129635,3.83919,2,1.28295,0,0,ok
89500,44.75,310K_50ps,310,309.482,-451774.007565,144543.25,-307230.757565,3.71572,2,1.26439,0,0,ok
90000,45,310K_50ps,310,311.108,-452537.355221,145302.25,-307235.105221,3.97993,2,1.1941,0,0,ok
90500,45.25,310K_50ps,310,309.711,-451730.196041,144650.140625,-307080.055416,3.73243,2,1.33806,0,0,ok
91000,45.5,310K_50ps,310,310.623,-451557.249752,145075.828125,-306481.421627,3.47285,2,1.26509,0,0,ok
91500,45.75,310K_50ps,310,308.779,-451568.399166,144214.78125,-307353.617916,3.98746,2,1.30666,0,0,ok
92000,46,310K_50ps,310,311.971,-451784.745846,145705.546875,-306079.198971,4.10642,2,1.45211,0,0,ok
92500,46.25,310K_50ps,310,309.843,-452110.05151,144711.625,-307398.42651,3.89706,2,1.40433,0,0,ok
93000,46.5,310K_50ps,310,308.357,-452866.129635,144017.5625,-308848.567135,3.89948,2,1.39124,0,0,ok
93500,46.75,310K_50ps,310,311.162,-452970.894284,145327.84375,-307643.050534,4.50632,2,1.40655,0,0,ok
94000,47,310K_50ps,310,310.759,-452837.577877,145139.265625,-307698.312252,4.15828,2,1.26381,0,0,ok
94500,47.25,310K_50ps,310,308.689,-453685.079831,144172.53125,-309512.548581,4.00598,2,1.48672,0,0,ok
95000,47.5,310K_50ps,310,309.75,-452245.675534,144668.15625,-307577.519284,3.83954,2,1.42528,0,0,ok
95500,47.75,310K_50ps,310,309.997,-452361.086666,144783.671875,-307577.414791,3.99964,2,1.55972,0,0,ok
96000,48,310K_50ps,310,310.921,-451758.247799,145215.328125,-306542.919674,3.83912,2,1.58885,0,0,ok
96500,48.25,310K_50ps,310,311.576,-451827.265377,145521,-306306.265377,3.70512,2,1.47359,0,0,ok
97000,48.5,310K_50ps,310,309.079,-451820.294674,144354.6875,-307465.607174,4.20327,2,1.40605,0,0,ok
97500,48.75,310K_50ps,310,310.311,-451919.89819,144930.046875,-306989.851315,4.15066,2,1.40413,0,0,ok
98000,49,310K_50ps,310,310.351,-452658.683346,144949,-307709.683346,4.42682,2,1.30945,0,0,ok
98500,49.25,310K_50ps,310,309.515,-452634.326901,144558.4375,-308075.889401,4.14855,2,1.37162,0,0,ok
99000,49.5,310K_50ps,310,310.199,-451882.415768,144878,-307004.415768,4.338,2,1.36283,0,0,ok
99500,49.75,310K_50ps,310,310.935,-453476.060299,145221.5,-308254.560299,3.96915,2,1.1846,0,0,ok
100000,50,310K_50ps,310,309.929,-453981.220456,144751.625,-309229.595456,3.70177,2,1.26568,0,0,ok
