step,time_ps,temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,ligand_key_min_distance_A,ligand_near_chains_count,ligand_rmsd_A,severe_lt_1A,close_lt_1p5A,status
0,0,50.501,-630420.178267,23586.421875,3.36668,2,5.49531e-06,0,0,ok
100,0.005,35.1753,-623056.303755,16428.5839844,3.36298,2,0.0151773,0,0,ok
200,0.01,29.8193,-619742.814985,13927.0761719,3.37422,2,0.0244967,0,0,ok
300,0.015,29.7501,-618853.673872,13894.7167969,3.3859,2,0.0296392,0,0,ok
400,0.02,29.3375,-617699.436567,13702.0224609,3.39079,2,0.0330416,0,0,ok
500,0.025,32.4734,-618220.263716,15166.6552734,3.39251,2,0.0377417,0,0,ok
600,0.03,31.9103,-617095.576704,14903.6728516,3.39408,2,0.0430272,0,0,ok
700,0.035,33.3878,-617004.185103,15593.7001953,3.39725,2,0.0492917,0,0,ok
800,0.04,32.7729,-615902.793013,15306.5214844,3.39712,2,0.0555624,0,0,ok
900,0.045,34.1528,-615786.460982,15951.0068359,3.39622,2,0.0589268,0,0,ok
1000,0.05,34.1659,-615041.078657,15957.1132812,3.39296,2,0.0601004,0,0,ok
1100,0.055,34.7032,-614582.918989,16208.0566406,3.39001,2,0.0618823,0,0,ok
1200,0.06,36.7793,-614927.865278,17177.7226562,3.39425,2,0.0644289,0,0,ok
1300,0.065,36.8235,-614283.647017,17198.3496094,3.40246,2,0.0665682,0,0,ok
1400,0.07,37.851,-614216.745649,17678.2617188,3.40233,2,0.068143,0,0,ok
1500,0.075,37.5871,-613534.123091,17554.9726562,3.39586,2,0.0697199,0,0,ok
1600,0.08,38.3816,-613397.604048,17926.0644531,3.39667,2,0.0713608,0,0,ok
1700,0.085,38.306,-612781.049849,17890.7363281,3.40551,2,0.073365,0,0,ok
1800,0.09,38.8367,-612563.210005,18138.6074219,3.41501,2,0.0751353,0,0,ok
1900,0.095,39.4973,-612367.210982,18447.1367188,3.41959,2,0.077238,0,0,ok
2000,0.1,39.5664,-611932.277388,18479.4414062,3.42358,2,0.0794304,0,0,ok
2100,0.105,40.6371,-611953.523482,18979.4921875,3.4303,2,0.0810298,0,0,ok
2200,0.11,41.0561,-611654.690474,19175.203125,3.43351,2,0.0827785,0,0,ok
2300,0.115,42.051,-611743.073774,19639.8261719,3.42583,2,0.0842105,0,0,ok
2400,0.12,41.7247,-611200.74272,19487.4296875,3.41489,2,0.0848629,0,0,ok
2500,0.125,42.1008,-611077.909224,19663.1132812,3.40815,2,0.0862375,0,0,ok
2600,0.13,42.4031,-610836.557661,19804.3007812,3.40889,2,0.0872556,0,0,ok
2700,0.135,42.4556,-610627.82231,19828.8027344,3.40811,2,0.0880427,0,0,ok
2800,0.14,43.2659,-610590.583052,20207.2421875,3.40382,2,0.0879439,0,0,ok
2900,0.145,42.9837,-610106.860884,20075.4765625,3.40607,2,0.0874987,0,0,ok
3000,0.15,43.9375,-610174.526899,20520.953125,3.41837,2,0.0866864,0,0,ok
3100,0.155,43.8414,-609888.340864,20476.0585938,3.43124,2,0.0871947,0,0,ok
3200,0.16,44.3238,-609877.838423,20701.375,3.4381,2,0.0893634,0,0,ok
3300,0.165,44.5641,-609758.88481,20813.5664062,3.44188,2,0.0922259,0,0,ok
3400,0.17,44.5066,-609453.815474,20786.7089844,3.45066,2,0.0943748,0,0,ok
3500,0.175,45.3652,-609632.649458,21187.7265625,3.45998,2,0.0972976,0,0,ok
3600,0.18,45.3516,-609372.413618,21181.3789062,3.46576,2,0.100786,0,0,ok
3700,0.185,45.7482,-609345.939009,21366.6367188,3.46834,2,0.104751,0,0,ok
3800,0.19,45.9081,-609162.821333,21441.28125,3.46946,2,0.107893,0,0,ok
3900,0.195,46.089,-609076.142134,21525.7734375,3.47205,2,0.110242,0,0,ok
4000,0.2,46.1684,-608896.996138,21562.859375,3.46996,2,0.111901,0,0,ok
