label,system,receptor_pdb,ligand_pdbqt,ligand_pdb,group,ligand_id,mode,affinity_kcal_mol,composite_score
reference_VEN_40chol_mode4,40chol,C:/TRKB_WP2/docking/receptors/40chol/TRKB_40chol_protein.pdb,C:/TRKB_WP2/docking/best_pose_review_pdbqt/reference_VEN_40chol_mode4.pdbqt,C:/TRKB_WP2/docking/best_pose_review_pdb/reference_VEN_40chol_mode4.pdb,reference,VEN,4,-4.617,15.423
candidate_5.3_20chol_mode3,20chol,C:/TRKB_WP2/docking/receptors/20chol/TRKB_20chol_protein.pdb,C:/TRKB_WP2/docking/best_pose_review_pdbqt/candidate_5.3_20chol_mode3.pdbqt,C:/TRKB_WP2/docking/best_pose_review_pdb/candidate_5.3_20chol_mode3.pdb,candidate,5.3,3,-5.114,16.978
candidate_13.2_20chol_mode6,20chol,C:/TRKB_WP2/docking/receptors/20chol/TRKB_20chol_protein.pdb,C:/TRKB_WP2/docking/best_pose_review_pdbqt/candidate_13.2_20chol_mode6.pdbqt,C:/TRKB_WP2/docking/best_pose_review_pdb/candidate_13.2_20chol_mode6.pdb,candidate,13.2,6,-5.204,16.962
candidate_8.3_20chol_mode2,20chol,C:/TRKB_WP2/docking/receptors/20chol/TRKB_20chol_protein.pdb,C:/TRKB_WP2/docking/best_pose_review_pdbqt/candidate_8.3_20chol_mode2.pdbqt,C:/TRKB_WP2/docking/best_pose_review_pdb/candidate_8.3_20chol_mode2.pdb,candidate,8.3,2,-5.296,16.962
candidate_8.1_20chol_mode4,20chol,C:/TRKB_WP2/docking/receptors/20chol/TRKB_20chol_protein.pdb,C:/TRKB_WP2/docking/best_pose_review_pdbqt/candidate_8.1_20chol_mode4.pdbqt,C:/TRKB_WP2/docking/best_pose_review_pdb/candidate_8.1_20chol_mode4.pdb,candidate,8.1,4,-5.245,16.924
candidate_19.1_20chol_mode5,20chol,C:/TRKB_WP2/docking/receptors/20chol/TRKB_20chol_protein.pdb,C:/TRKB_WP2/docking/best_pose_review_pdbqt/candidate_19.1_20chol_mode5.pdbqt,C:/TRKB_WP2/docking/best_pose_review_pdb/candidate_19.1_20chol_mode5.pdb,candidate,19.1,5,-5.225,16.898
candidate_17.1_20chol_mode9,20chol,C:/TRKB_WP2/docking/receptors/20chol/TRKB_20chol_protein.pdb,C:/TRKB_WP2/docking/best_pose_review_pdbqt/candidate_17.1_20chol_mode9.pdbqt,C:/TRKB_WP2/docking/best_pose_review_pdb/candidate_17.1_20chol_mode9.pdb,candidate,17.1,9,-4.998,16.749
candidate_17.2_20chol_mode10,20chol,C:/TRKB_WP2/docking/receptors/20chol/TRKB_20chol_protein.pdb,C:/TRKB_WP2/docking/best_pose_review_pdbqt/candidate_17.2_20chol_mode10.pdbqt,C:/TRKB_WP2/docking/best_pose_review_pdb/candidate_17.2_20chol_mode10.pdb,candidate,17.2,10,-4.983,16.698
candidate_13.1_20chol_mode10,20chol,C:/TRKB_WP2/docking/receptors/20chol/TRKB_20chol_protein.pdb,C:/TRKB_WP2/docking/best_pose_review_pdbqt/candidate_13.1_20chol_mode10.pdbqt,C:/TRKB_WP2/docking/best_pose_review_pdb/candidate_13.1_20chol_mode10.pdb,candidate,13.1,10,-4.939,16.686
candidate_5.1_20chol_mode6,20chol,C:/TRKB_WP2/docking/receptors/20chol/TRKB_20chol_protein.pdb,C:/TRKB_WP2/docking/best_pose_review_pdbqt/candidate_5.1_20chol_mode6.pdbqt,C:/TRKB_WP2/docking/best_pose_review_pdb/candidate_5.1_20chol_mode6.pdb,candidate,5.1,6,-4.807,16.648
