step,time_ps,temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,ligand_key_min_distance_A,ligand_near_chains_count,ligand_rmsd_A,severe_lt_1A,close_lt_1p5A,status
0,0,49.8852,-629125.656281,23298.8046875,3.50614,2,6.09811e-06,0,0,ok
100,0.005,34.6051,-621762.907257,16162.2470703,3.50994,2,0.014253,0,0,ok
200,0.01,29.3896,-618437.558624,13726.3496094,3.49885,2,0.0215917,0,0,ok
300,0.015,29.6637,-617594.076203,13854.3886719,3.47687,2,0.0265267,0,0,ok
400,0.02,29.4151,-616543.858429,13738.2910156,3.45355,2,0.0315321,0,0,ok
500,0.025,32.4475,-617116.309601,15154.5429688,3.44168,2,0.0363278,0,0,ok
600,0.03,31.9874,-616071.15091,14939.6660156,3.44121,2,0.0403998,0,0,ok
700,0.035,33.4394,-615909.472687,15617.8300781,3.45053,2,0.0430712,0,0,ok
800,0.04,32.5613,-614728.169953,15207.7109375,3.46159,2,0.0468645,0,0,ok
900,0.045,33.9058,-614588.763703,15835.65625,3.45377,2,0.0515317,0,0,ok
1000,0.05,33.9831,-613899.984406,15871.7441406,3.44648,2,0.0558339,0,0,ok
1100,0.055,34.8985,-613636.142609,16299.28125,3.44008,2,0.0600419,0,0,ok
1200,0.06,36.6656,-613798.82132,17124.5859375,3.43303,2,0.0641765,0,0,ok
1300,0.065,36.5646,-613087.280792,17077.4511719,3.42701,2,0.068724,0,0,ok
1400,0.07,37.9634,-613083.489777,17730.7324219,3.42902,2,0.0730908,0,0,ok
1500,0.075,37.6604,-612342.80423,17589.21875,3.42902,2,0.0763966,0,0,ok
1600,0.08,38.4185,-612147.59964,17943.2832031,3.4279,2,0.0796776,0,0,ok
1700,0.085,38.2512,-611531.545929,17865.1484375,3.42666,2,0.0829991,0,0,ok
1800,0.09,38.9835,-611337.511261,18207.1757812,3.42356,2,0.0869507,0,0,ok
1900,0.095,39.498,-611066.831574,18447.4765625,3.41843,2,0.0909777,0,0,ok
2000,0.1,39.6478,-610658.66507,18517.4375,3.41148,2,0.0944214,0,0,ok
2100,0.105,40.8158,-610725.578644,19062.9492188,3.40169,2,0.0978891,0,0,ok
2200,0.11,41.0211,-610335.006378,19158.8203125,3.38809,2,0.102047,0,0,ok
2300,0.115,41.9304,-610373.359406,19583.5117188,3.38178,2,0.10546,0,0,ok
2400,0.12,41.5889,-609850.922882,19424.015625,3.38967,2,0.108851,0,0,ok
2500,0.125,42.2515,-609717.148957,19733.4726562,3.40239,2,0.111142,0,0,ok
2600,0.13,42.6694,-609569.66507,19928.6738281,3.41479,2,0.113604,0,0,ok
2700,0.135,42.8057,-609282.642121,19992.34375,3.42237,2,0.116891,0,0,ok
2800,0.14,43.4292,-609234.913117,20283.5390625,3.42357,2,0.119647,0,0,ok
2900,0.145,43.4038,-608918.024933,20271.6640625,3.4211,2,0.122051,0,0,ok
3000,0.15,44.0252,-608905.168976,20561.9101562,3.41565,2,0.12403,0,0,ok
3100,0.155,44.1753,-608651.531281,20631.984375,3.41532,2,0.125782,0,0,ok
3200,0.16,44.9179,-608693.908234,20978.8125,3.41804,2,0.128035,0,0,ok
3300,0.165,44.7754,-608427.216828,20912.265625,3.42114,2,0.129662,0,0,ok
3400,0.17,44.7676,-608236.022492,20908.6289062,3.41978,2,0.129768,0,0,ok
3500,0.175,45.5232,-608353.018585,21261.5332031,3.4129,2,0.129656,0,0,ok
3600,0.18,45.4128,-608112.109894,21209.9648438,3.40541,2,0.13033,0,0,ok
3700,0.185,45.8415,-608092.080109,21410.2070312,3.40138,2,0.131438,0,0,ok
3800,0.19,45.896,-607897.776398,21435.6679688,3.40256,2,0.131534,0,0,ok
3900,0.195,45.9241,-607772.689484,21448.7578125,3.39547,2,0.131508,0,0,ok
4000,0.2,46.5134,-607823.467316,21724.0136719,3.38649,2,0.132194,0,0,ok
