contact_type,distance_A,category,ligand_atom_name,ligand_serial,other_atom_name,other_serial,other_resname,other_segid,other_resid
severe_clash,0.220,lipid,C9,52366,C39,12224,POPC,MEMB,94
severe_clash,0.505,cholesterol,C3,52360,C26,2481,CHL1,MEMB,14
severe_clash,0.508,lipid,C10,52368,C37,12218,POPC,MEMB,94
severe_clash,0.576,lipid,C12,52370,C36,12215,POPC,MEMB,94
severe_clash,0.801,lipid,C7,52364,C311,12230,POPC,MEMB,94
severe_clash,0.957,lipid,N,52367,C38,12221,POPC,MEMB,94
close_contact,1.146,lipid,C8,52365,C311,12230,POPC,MEMB,94
close_contact,1.150,lipid,C13,52371,C37,12218,POPC,MEMB,94
close_contact,1.160,lipid,C11,52369,C36,12215,POPC,MEMB,94
close_contact,1.171,lipid,C12,52370,C35,12212,POPC,MEMB,94
close_contact,1.226,lipid,C8,52365,C310,12227,POPC,MEMB,94
close_contact,1.262,lipid,C10,52368,C38,12221,POPC,MEMB,94
close_contact,1.282,lipid,C13,52371,C36,12215,POPC,MEMB,94
close_contact,1.294,lipid,C7,52364,C310,12227,POPC,MEMB,94
close_contact,1.349,lipid,N,52367,C39,12224,POPC,MEMB,94
close_contact,1.444,lipid,N,52367,C37,12218,POPC,MEMB,94
close_contact,1.465,lipid,C9,52366,C310,12227,POPC,MEMB,94
