branch,popc94_deleted,initial_input_energy_kJ_mol,initial_after_constraints_energy_kJ_mol,final_energy_kJ_mol,energy_finite,initial_severe_lt_1A,initial_close_lt_1p5A,final_severe_lt_1A,final_close_lt_1p5A,final_h9_h11_popc_severe_lt_1A,final_h9_h11_popc_close_lt_1p5A,ligand_key_min_distance_A,ligand_near_chains_count,ligand_rmsd_A,ligand_retained_near_key_residues,ligand_retained_near_two_chains,output_pdb
branch_A_no_deletion,0,1.95412781324e+13,1.95686678524e+13,1.95686678272e+13,1,27,81,27,81,1,3,3.02229,2,0.109691,1,1,C:\TRKB_WP2\ligand_bound_MD\pilot_build\14.2_20chol\targeted_clash_cleanup\outputs\branch_A_no_deletion\branch_A_minimized.pdb
branch_B_remove_POPC94,1,25071137219.1,2805010204.39,212021.732669,1,5,18,0,0,0,0,3.24676,2,1.31314,1,1,C:\TRKB_WP2\ligand_bound_MD\pilot_build\14.2_20chol\targeted_clash_cleanup\outputs\branch_B_remove_POPC94\branch_B_minimized.pdb
