step,time_ps,temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,total_energy_kJ_mol,ligand_distance_TYR13_A,ligand_distance_VAL17_A,ligand_distance_SER20_A,ligand_min_distance_to_key_residues_A,ligand_near_chains_count,ligand_heavy_rmsd_vs_50ps_input_A,ligand_heavy_rmsd_vs_R2_minimized_A,severe_lt_1A,close_lt_1p5A,status
0,0,309.543,-444540.540063,140643.953125,-303896.586938,3.78204,4.80769,6.65544,3.78204,2,0.000440667,1.21958,0,0,ok
1000,0.5,311.206,-443765.530298,141399.53125,-302365.999048,3.60532,4.66262,7.55172,3.60532,2,0.848945,1.3702,0,0,ok
2000,1,308.253,-443567.900415,140057.8125,-303510.087915,3.74817,4.57741,6.12361,3.74817,2,0.768788,1.48365,0,0,ok
3000,1.5,309.284,-443234.310571,140526.375,-302707.935571,3.44249,5.80912,7.24665,3.44249,2,0.988244,1.84485,0,0,ok
4000,2,311.863,-444388.246118,141698.1875,-302690.058618,3.664,5.08954,6.05695,3.664,2,0.879324,1.70375,0,0,ok
5000,2.5,306.787,-442803.807641,139391.65625,-303412.151391,3.60787,5.98825,7.12355,3.60787,2,1.16854,1.91988,0,0,ok
6000,3,311.732,-443185.675806,141638.875,-301546.800806,3.8076,6.02742,7.42566,3.8076,2,1.29457,2.17473,0,0,ok
7000,3.5,308.989,-443684.346704,140392.375,-303291.971704,3.56008,6.49536,7.29408,3.56008,2,1.0911,1.91944,0,0,ok
8000,4,309.906,-443760.10354,140809.015625,-302951.087915,3.5694,6.27688,7.76657,3.5694,2,1.36561,1.90977,0,0,ok
9000,4.5,310.337,-443898.682641,141004.78125,-302893.901391,3.38563,6.62434,7.17343,3.38563,2,1.45643,1.89756,0,0,ok
10000,5,310.409,-444923.710962,141037.46875,-303886.242212,3.46858,6.41467,6.83921,3.46858,2,1.353,1.77276,0,0,ok
11000,5.5,309.888,-444557.176782,140800.84375,-303756.333032,3.6737,6.8542,7.26182,3.6737,2,1.39707,1.93928,0,0,ok
12000,6,310.714,-446596.798852,141176.3125,-305420.486352,3.6139,6.27976,6.98771,3.6139,2,1.1985,1.75579,0,0,ok
13000,6.5,310.855,-444312.996118,141240.375,-303072.621118,3.42699,6.75565,7.15922,3.42699,2,1.36196,1.97431,0,0,ok
14000,7,310.996,-443772.002954,141304.09375,-302467.909204,3.56808,7.0338,7.54466,3.56808,2,1.48331,2.14502,0,0,ok
15000,7.5,311.121,-445074.35061,141361.203125,-303713.147485,3.59267,6.93852,7.63402,3.59267,2,1.51201,2.22726,0,0,ok
16000,8,311.11,-443456.500024,141356.234375,-302100.265649,3.77403,7.43406,8.02943,3.77403,2,1.89375,2.68047,0,0,ok
17000,8.5,310.904,-444678.532251,141262.515625,-303416.016626,3.2443,7.68318,7.89765,3.2443,2,1.94133,2.72718,0,0,ok
18000,9,311.243,-445876.838891,141416.6875,-304460.151391,3.59063,7.07977,7.18294,3.59063,2,1.60759,2.34572,0,0,ok
19000,9.5,310.944,-444824.955102,141280.75,-303544.205102,3.60012,7.41152,7.29925,3.60012,2,1.63836,2.33913,0,0,ok
20000,10,310.532,-444116.26272,141093.625,-303022.63772,3.19635,7.02464,7.74054,3.19635,2,1.83727,2.47788,0,0,ok
21000,10.5,311.514,-444768.786157,141539.703125,-303229.083032,3.49045,7.13635,7.95565,3.49045,2,1.87012,2.51134,0,0,ok
22000,11,305.997,-445544.937524,139033.078125,-306511.859399,3.38039,6.49509,6.67463,3.38039,2,1.88537,2.30747,0,0,ok
23000,11.5,309.51,-444722.628931,140629.015625,-304093.613306,3.13271,7.24799,7.30995,3.13271,2,2.12964,2.68051,0,0,ok
24000,12,309.994,-444624.555688,140849.0625,-303775.493188,3.15592,6.77861,7.28744,3.15592,2,1.92953,2.55291,0,0,ok
25000,12.5,307.778,-444712.919946,139841.9375,-304870.982446,3.64599,5.87774,7.30466,3.64599,2,1.462,2.08818,0,0,ok
26000,13,308.225,-444208.093774,140045.203125,-304162.890649,3.39366,4.99242,6.7364,3.39366,2,1.17837,1.81401,0,0,ok
27000,13.5,310.233,-445305.732446,140957.546875,-304348.185571,3.71393,5.59866,7.10655,3.71393,2,1.16548,1.85732,0,0,ok
28000,14,309.442,-445179.192407,140598.3125,-304580.879907,3.62424,6.42119,6.95429,3.62424,2,1.31442,1.96174,0,0,ok
29000,14.5,309.651,-445113.908716,140693.34375,-304420.564966,3.43041,6.64025,7.92847,3.43041,2,1.58873,2.10656,0,0,ok
30000,15,309.724,-444520.623071,140726.40625,-303794.216821,3.46736,7.09601,8.31692,3.46736,2,1.6741,2.34051,0,0,ok
31000,15.5,310.654,-444548.935571,141149.03125,-303399.904321,3.71997,7.10389,8.23306,3.71997,2,1.7124,2.38389,0,0,ok
32000,16,309.087,-443263.373071,140437.03125,-302826.341821,3.2762,7.25522,7.93537,3.2762,2,1.87956,2.47956,0,0,ok
33000,16.5,309.533,-444290.451196,140639.53125,-303650.919946,3.12865,7.70161,8.9971,3.12865,2,2.10342,2.70982,0,0,ok
34000,17,308.088,-446098.900415,139982.890625,-306116.00979,3.22858,7.34446,8.24584,3.22858,2,1.95505,2.50021,0,0,ok
35000,17.5,309.89,-444159.566431,140801.90625,-303357.660181,3.55615,7.90584,9.08633,3.55615,2,2.38366,2.96806,0,0,ok
36000,18,310.54,-443649.996118,141097.265625,-302552.730493,3.27686,7.78658,9.09501,3.27686,2,2.22305,2.81832,0,0,ok
37000,18.5,310.313,-442725.842798,140994.125,-301731.717798,3.4101,7.59214,8.31029,3.4101,2,2.03145,2.6215,0,0,ok
38000,19,311.195,-442412.866235,141394.90625,-301017.959985,3.39121,6.67257,7.85861,3.39121,2,1.84465,2.4505,0,0,ok
39000,19.5,311.641,-445010.052759,141597.515625,-303412.537134,3.37778,6.56916,6.76141,3.37778,2,1.47459,2.08072,0,0,ok
40000,20,309.785,-445230.456079,140754,-304476.456079,3.90268,7.12677,7.62458,3.90268,2,1.57206,2.22977,0,0,ok
41000,20.5,310.436,-445544.065454,141049.921875,-304494.143579,3.50255,7.16412,8.12695,3.50255,2,1.65884,2.30346,0,0,ok
42000,21,310.614,-444204.235376,141130.625,-303073.610376,3.6148,7.85049,8.22194,3.6148,2,2.23837,2.92609,0,0,ok
43000,21.5,308.762,-445019.973657,140289.3125,-304730.661157,4.07138,8.34466,8.58824,4.07138,2,2.60974,3.28655,0,0,ok
44000,22,311.955,-443899.626001,141740.234375,-302159.391626,3.76592,8.50548,9.27324,3.76592,2,2.52195,3.24998,0,0,ok
45000,22.5,311.143,-444458.522485,141371.015625,-303087.50686,3.82757,7.89213,8.75842,3.82757,2,2.07983,2.8442,0,0,ok
46000,23,312.679,-443504.28811,142069.015625,-301435.272485,3.72463,7.69667,8.49574,3.72463,2,2.04196,2.74369,0,0,ok
47000,23.5,310.285,-444563.532251,140981.375,-303582.157251,3.40898,8.3055,8.6577,3.40898,2,2.28841,3.01346,0,0,ok
48000,24,309.293,-444213.641626,140530.5625,-303683.079126,3.52176,8.23171,7.9814,3.52176,2,2.14986,2.7711,0,0,ok
49000,24.5,309.853,-443089.895532,140784.921875,-302304.973657,3.92156,7.83188,8.24978,3.92156,2,1.89464,2.68377,0,0,ok
50000,25,308.983,-445101.905298,140389.59375,-304712.311548,3.7369,7.99585,8.43852,3.7369,2,1.95358,2.68586,0,0,ok
51000,25.5,310.276,-444739.04397,140976.984375,-303762.059595,3.80248,7.37884,7.96262,3.80248,2,1.63475,2.38582,0,0,ok
52000,26,310.762,-444362.501977,141197.734375,-303164.767602,3.71223,7.29049,7.87528,3.71223,2,1.59777,2.2968,0,0,ok
53000,26.5,313.026,-444733.107446,142226.6875,-302506.419946,3.31073,7.64811,7.5617,3.31073,2,1.81103,2.45756,0,0,ok
54000,27,309.56,-444812.57522,140651.828125,-304160.747095,3.87317,7.31593,7.14629,3.87317,2,1.97281,2.64482,0,0,ok
55000,27.5,310.101,-444707.718774,140897.609375,-303810.109399,3.47084,7.48528,6.32227,3.47084,2,2.21366,2.7875,0,0,ok
56000,28,310.377,-445379.20852,141022.90625,-304356.30227,3.52791,8.08784,7.12842,3.52791,2,2.24397,2.91621,0,0,ok
57000,28.5,309.41,-445074.718286,140583.59375,-304491.124536,3.66333,8.06137,7.68235,3.66333,2,2.2995,2.96618,0,0,ok
58000,29,309.56,-445107.32229,140651.625,-304455.69729,3.95686,7.91634,8.21076,3.95686,2,2.44087,3.06783,0,0,ok
59000,29.5,310.42,-444602.939477,141042.71875,-303560.220727,3.61669,7.76928,7.58262,3.61669,2,2.21595,2.92109,0,0,ok
60000,30,311.695,-444690.809595,141621.703125,-303069.10647,3.73397,7.81187,7.25526,3.73397,2,2.0768,2.72248,0,0,ok
61000,30.5,310.149,-445068.288598,140919.65625,-304148.632348,3.27763,7.77877,6.86672,3.27763,2,1.92358,2.54829,0,0,ok
62000,31,310.844,-445449.234399,141235.21875,-304214.015649,3.60295,7.78307,7.53835,3.60295,2,1.95752,2.54645,0,0,ok
63000,31.5,311.21,-445550.60354,141401.421875,-304149.181665,3.61939,7.97241,8.15627,3.61939,2,2.16162,2.80342,0,0,ok
64000,32,311.708,-444870.687524,141627.59375,-303243.093774,3.44603,8.31713,8.34259,3.44603,2,2.14395,2.83507,0,0,ok
65000,32.5,312.106,-445509.369165,141808.53125,-303700.837915,3.74308,8.36447,8.01309,3.74308,2,2.25951,2.99869,0,0,ok
66000,33,311.297,-444615.109399,141440.90625,-303174.203149,3.49458,7.57852,8.17953,3.49458,2,1.78233,2.52505,0,0,ok
67000,33.5,307.958,-444580.618188,139923.875,-304656.743188,3.3692,7.23394,7.81969,3.3692,2,1.60635,2.22102,0,0,ok
68000,34,310.721,-445074.933618,141179.328125,-303895.605493,3.46201,7.84807,8.11543,3.46201,2,1.71505,2.51594,0,0,ok
69000,34.5,310.301,-445027.708032,140988.53125,-304039.176782,3.9093,7.94668,8.36894,3.9093,2,2.0409,2.76268,0,0,ok
70000,35,309.895,-445061.376977,140803.828125,-304257.548852,3.64771,7.7128,8.20386,3.64771,2,1.98287,2.65555,0,0,ok
71000,35.5,310.384,-445408.658227,141026.4375,-304382.220727,3.47678,7.50851,8.02711,3.47678,2,1.92964,2.64267,0,0,ok
72000,36,308.605,-444539.029321,140217.84375,-304321.185571,3.60054,7.60916,7.95518,3.60054,2,1.84108,2.49756,0,0,ok
73000,36.5,308.477,-445327.219751,140159.8125,-305167.407251,3.29209,7.8658,7.39806,3.29209,2,2.08641,2.74149,0,0,ok
74000,37,308.861,-446644.627954,140334.125,-306310.502954,3.45433,7.71869,7.59581,3.45433,2,2.03941,2.73521,0,0,ok
75000,37.5,307.666,-444753.51272,139791.125,-304962.38772,3.19048,7.45758,7.19909,3.19048,2,2.19348,2.81076,0,0,ok
76000,38,309.148,-444936.766626,140464.625,-304472.141626,3.60288,8.06331,7.32189,3.60288,2,2.39197,3.10911,0,0,ok
77000,38.5,309.822,-445952.656274,140770.96875,-305181.687524,4.10192,8.54701,8.06325,4.10192,2,2.69623,3.29678,0,0,ok
78000,39,308.986,-444740.542016,140390.921875,-304349.620141,3.89454,8.67961,8.1979,3.89454,2,2.90759,3.56869,0,0,ok
79000,39.5,311.185,-445804.311548,141390.3125,-304413.999048,3.94182,8.75018,8.18207,3.94182,2,2.8753,3.55339,0,0,ok
80000,40,310.016,-445864.671899,140859.203125,-305005.468774,3.49102,8.2234,8.11306,3.49102,2,2.766,3.40987,0,0,ok
81000,40.5,309.005,-446566.036157,140399.59375,-306166.442407,3.85539,8.59831,7.36642,3.85539,2,2.86145,3.45717,0,0,ok
82000,41,309.186,-445059.335962,140481.875,-304577.460962,3.64306,8.67877,8.14157,3.64306,2,2.75371,3.40209,0,0,ok
83000,41.5,311.345,-445610.005884,141462.703125,-304147.302759,3.29593,8.68972,7.81718,3.29593,2,2.68007,3.31078,0,0,ok
84000,42,311.303,-444642.268091,141443.828125,-303198.439966,3.72469,7.89067,7.85198,3.72469,2,2.75881,3.35754,0,0,ok
85000,42.5,312.21,-445668.04104,141855.859375,-303812.181665,3.22768,8.21839,7.12909,3.22768,2,2.55139,3.06394,0,0,ok
86000,43,309.982,-444181.943384,140843.734375,-303338.209009,3.3697,7.98494,7.16885,3.3697,2,2.4362,2.9356,0,0,ok
87000,43.5,309.949,-444939.727563,140828.734375,-304110.993188,3.53439,8.14826,7.43324,3.53439,2,2.42863,2.94448,0,0,ok
88000,44,310.114,-445179.839868,140903.34375,-304276.496118,3.82234,7.83316,7.12626,3.82234,2,2.66678,3.16362,0,0,ok
89000,44.5,309.368,-444994.134302,140564.5625,-304429.571802,3.68081,7.83241,7.0383,3.68081,2,2.42096,2.93805,0,0,ok
90000,45,310.298,-444975.212915,140986.921875,-303988.29104,3.92926,8.14876,7.51278,3.92926,2,2.52518,3.0909,0,0,ok
91000,45.5,311.565,-443883.938501,141562.984375,-302320.954126,3.54888,8.39641,7.48461,3.54888,2,2.41916,3.04228,0,0,ok
92000,46,311.184,-443432.118188,141389.703125,-302042.415063,3.65203,8.45222,6.7242,3.65203,2,2.37599,2.9847,0,0,ok
93000,46.5,311.692,-444357.626001,141620.625,-302737.001001,3.54205,7.95046,7.63861,3.54205,2,2.32414,2.93294,0,0,ok
94000,47,309.714,-445208.589868,140721.78125,-304486.808618,3.53057,8.1494,7.28189,3.53057,2,2.65877,3.2219,0,0,ok
95000,47.5,310.574,-445418.329126,141112.4375,-304305.891626,3.44319,8.4396,7.17583,3.44319,2,2.94562,3.50302,0,0,ok
96000,48,309.414,-445584.867212,140585.4375,-304999.429712,3.69951,8.092,7.38599,3.69951,2,2.72461,3.25155,0,0,ok
97000,48.5,309.526,-445568.33645,140636.203125,-304932.133325,3.47829,7.78536,7.2975,3.47829,2,2.76656,3.30572,0,0,ok
98000,49,309.945,-443690.875024,140826.875,-302864.000024,3.1971,7.58178,6.81711,3.1971,2,2.71225,3.1332,0,0,ok
99000,49.5,309.885,-444960.218774,140799.6875,-304160.531274,3.66919,7.80333,7.09092,3.66919,2,2.57712,3.10286,0,0,ok
