step,time_ps,temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,total_energy_kJ_mol,ligand_distance_TYR13_A,ligand_distance_VAL17_A,ligand_distance_SER20_A,ligand_min_distance_to_key_residues_A,ligand_near_chains_count,ligand_heavy_rmsd_vs_50ps_input_A,severe_lt_1A,close_lt_1p5A,status
1000,0.5,309.814,-445616.532357,140763.578125,-304852.954232,3.52963,3.75926,4.11084,3.52963,2,0.627241,0,0,ok
2000,1,308.987,-446161.964974,140387.6875,-305774.277474,3.53933,3.95912,3.7032,3.53933,2,0.713149,0,0,ok
3000,1.5,310.973,-445433.505013,141289.734375,-304143.770638,3.35824,3.80938,4.17266,3.35824,2,1.29397,0,0,ok
4000,2,309.376,-443731.793099,140564.21875,-303167.574349,3.37337,3.70107,3.89559,3.37337,2,1.30153,0,0,ok
5000,2.5,309.966,-444174.347787,140832.640625,-303341.707162,3.16944,3.99815,3.88173,3.16944,2,1.52989,0,0,ok
6000,3,311.426,-444371.587044,141495.96875,-302875.618294,3.14343,4.25842,4.47139,3.14343,2,1.20566,0,0,ok
7000,3.5,310.014,-444820.950326,140854.078125,-303966.872201,3.52981,3.7043,4.74119,3.52981,2,1.18941,0,0,ok
8000,4,309.403,-444387.382943,140576.53125,-303810.851693,3.75246,4.06213,4.43254,3.75246,2,1.30875,0,0,ok
9000,4.5,309.303,-444455.337044,140531.09375,-303924.243294,3.38286,4.10028,4.3416,3.38286,2,1.19825,0,0,ok
10000,5,310.067,-445384.118294,140878.40625,-304505.712044,3.81929,3.68543,4.78853,3.68543,2,1.50974,0,0,ok
11000,5.5,308.793,-444462.491341,140299.296875,-304163.194466,3.67677,3.9906,4.75964,3.67677,2,1.43602,0,0,ok
12000,6,308.511,-444686.559701,140171.453125,-304515.106576,3.52982,3.7762,5.10621,3.52982,2,1.75445,0,0,ok
13000,6.5,309.898,-445286.397591,140801.625,-304484.772591,3.2358,3.90211,4.62117,3.2358,2,1.31107,0,0,ok
14000,7,308.153,-445023.172982,140008.78125,-305014.391732,3.39528,3.87724,4.86298,3.39528,2,1.52716,0,0,ok
15000,7.5,309.524,-444764.400521,140631.5625,-304132.838021,3.59219,3.85382,4.09272,3.59219,2,0.861804,0,0,ok
16000,8,309.891,-444765.601693,140798.28125,-303967.320443,3.4531,4.26022,4.67886,3.4531,2,1.15474,0,0,ok
17000,8.5,309.676,-444296.561654,140700.515625,-303596.046029,3.92834,3.7647,4.10828,3.7647,2,1.27956,0,0,ok
