step,time_ps,temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,total_energy_kJ_mol,ligand_distance_TYR13_A,ligand_distance_VAL17_A,ligand_distance_SER20_A,ligand_min_distance_to_key_residues_A,ligand_near_chains_count,ligand_heavy_rmsd_vs_50ps_input_A,severe_lt_1A,close_lt_1p5A,status
22000,11,307.627,-452454.135417,144082.21875,-308371.916667,3.71512,4.28737,6.88879,3.71512,2,1.66489,0,0,ok
23000,11.5,313.542,-453115.519206,146852.5,-306263.019206,3.58024,4.07253,6.81151,3.58024,2,1.74051,0,0,ok
24000,12,309.429,-452400.922526,144925.90625,-307475.016276,3.57036,3.80607,6.85745,3.57036,2,1.30869,0,0,ok
25000,12.5,309.464,-452646.729167,144942.59375,-307704.135417,3.62522,4.01673,6.63578,3.62522,2,1.16546,0,0,ok
26000,13,311.2,-452448.479167,145755.375,-306693.104167,3.58909,4.21356,7.55751,3.58909,2,1.63551,0,0,ok
27000,13.5,309.675,-452496.461589,145041.296875,-307455.164714,3.48656,4.18577,7.31608,3.48656,2,1.54671,0,0,ok
28000,14,310.32,-453305.663737,145343.40625,-307962.257487,3.48896,3.97117,7.26557,3.48896,2,1.3714,0,0,ok
29000,14.5,307.332,-451812.708659,143943.78125,-307868.927409,3.75349,4.08077,7.22859,3.75349,2,1.44911,0,0,ok
30000,15,312.434,-453736.636394,146333.53125,-307403.105144,3.45258,3.93743,7.54656,3.45258,2,1.46897,0,0,ok
31000,15.5,309.049,-453279.182292,144748.09375,-308531.088542,3.81822,4.23386,7.10342,3.81822,2,1.93833,0,0,ok
32000,16,309.797,-453570.641276,145098.4375,-308472.203776,3.69605,3.77878,7.39703,3.69605,2,1.74331,0,0,ok
33000,16.5,308.098,-453334.315105,144302.78125,-309031.533855,3.49656,3.76132,7.19373,3.49656,2,1.50528,0,0,ok
34000,17,313.392,-451876.179362,146782.125,-305094.054362,3.37076,4.30069,7.01471,3.37076,2,1.50635,0,0,ok
35000,17.5,309.543,-452974.466472,144979.625,-307994.841472,3.49725,3.96031,6.59344,3.49725,2,1.45372,0,0,ok
36000,18,312.309,-453518.319987,146274.9375,-307243.382487,3.62557,3.99268,7.4449,3.62557,2,1.70818,0,0,ok
37000,18.5,308.222,-452733.857097,144360.90625,-308372.950847,3.60762,4.24861,7.30412,3.60762,2,1.95053,0,0,ok
38000,19,310.765,-453004.585612,145551.90625,-307452.679362,3.63427,3.69106,7.17072,3.63427,2,1.82686,0,0,ok
39000,19.5,310.979,-452830.575847,145651.9375,-307178.638347,3.50927,3.84886,6.75991,3.50927,2,1.66937,0,0,ok
40000,20,310.918,-453074.777019,145623.5625,-307451.214519,3.51757,4.0837,6.89443,3.51757,2,1.73866,0,0,ok
41000,20.5,311.775,-454662.74528,146025.015625,-308637.729655,3.68927,4.0191,6.77995,3.68927,2,1.87515,0,0,ok
42000,21,310.617,-452286.714519,145482.515625,-306804.198894,3.70575,4.1713,6.56862,3.70575,2,1.7135,0,0,ok
43000,21.5,310.695,-453780.537761,145519.15625,-308261.381511,3.63448,3.84606,5.9785,3.63448,2,1.68291,0,0,ok
44000,22,310.616,-454732.007487,145481.828125,-309250.179362,3.48105,3.3995,6.47966,3.3995,2,1.65992,0,0,ok
45000,22.5,309.553,-454097.790691,144984.296875,-309113.493816,3.82216,3.38729,6.60019,3.38729,2,1.80691,0,0,ok
46000,23,309.816,-454723.129558,145107.125,-309616.004558,3.34767,3.67958,6.09973,3.34767,2,1.85831,0,0,ok
47000,23.5,311.495,-454159.988933,145893.828125,-308266.160808,3.50903,3.92956,6.70516,3.50903,2,1.79632,0,0,ok
48000,24,308.361,-454331.112468,144425.6875,-309905.424968,3.48844,4.07961,6.21432,3.48844,2,1.57126,0,0,ok
49000,24.5,309.084,-452993.209636,144764.3125,-308228.897136,3.77237,3.62492,6.03846,3.62492,2,1.84361,0,0,ok
50000,25,310.5,-452704.278972,145427.84375,-307276.435222,3.59301,4.03157,6.70669,3.59301,2,1.62775,0,0,ok
51000,25.5,312.203,-452087.914714,146225.359375,-305862.555339,3.45731,4.08217,5.93441,3.45731,2,1.99308,0,0,ok
52000,26,312.926,-453615.274089,146563.953125,-307051.320964,3.49057,3.98078,5.79847,3.49057,2,1.8576,0,0,ok
53000,26.5,310.986,-453375.29948,145655.203125,-307720.096355,3.65339,4.11363,6.66389,3.65339,2,1.78161,0,0,ok
54000,27,311.287,-453544.29655,145796.3125,-307747.98405,3.53216,4.22036,6.00129,3.53216,2,2.01372,0,0,ok
55000,27.5,309.938,-452373.443523,145164.265625,-307209.177898,3.65683,4.00137,6.7349,3.65683,2,1.98233,0,0,ok
56000,28,311.076,-453043.267253,145697.28125,-307345.986003,3.5852,4.05847,6.80614,3.5852,2,1.94721,0,0,ok
57000,28.5,309.166,-452902.833659,144802.6875,-308100.146159,3.43737,4.09064,5.97145,3.43737,2,1.67574,0,0,ok
58000,29,311.127,-454461.167644,145721.40625,-308739.761394,3.62506,4.38726,6.07771,3.62506,2,1.49757,0,0,ok
59000,29.5,310.634,-452792.069011,145490.34375,-307301.725261,3.2571,3.76265,6.69507,3.2571,2,1.59341,0,0,ok
60000,30,309.694,-454734.491862,145050.109375,-309684.382487,3.58659,4.03727,5.92968,3.58659,2,1.44863,0,0,ok
61000,30.5,311.362,-453275.598308,145831.296875,-307444.301433,3.342,3.95045,5.87766,3.342,2,1.40486,0,0,ok
62000,31,309.362,-454404.971355,144894.84375,-309510.127605,3.60541,4.01623,6.40586,3.60541,2,1.44685,0,0,ok
63000,31.5,309.334,-453570.099284,144881.65625,-308688.443034,3.45622,3.92072,6.88846,3.45622,2,1.36299,0,0,ok
64000,32,307.7,-454017.519206,144116.21875,-309901.300456,3.392,4.25443,6.96561,3.392,2,1.2738,0,0,ok
65000,32.5,308.544,-453165.454753,144511.78125,-308653.673503,4.01786,4.96114,7.52278,4.01786,2,1.44208,0,0,ok
66000,33,310.164,-454554.958659,145270.421875,-309284.536784,3.73724,4.79654,7.49174,3.73724,2,1.55694,0,0,ok
67000,33.5,311.883,-455147.607097,146075.5625,-309072.044597,3.83127,4.60302,7.36117,3.83127,2,1.34003,0,0,ok
68000,34,312.52,-453800.118816,146373.71875,-307426.400066,3.83651,4.21638,7.85034,3.83651,2,1.34829,0,0,ok
69000,34.5,310.151,-455188.336589,145264.0625,-309924.274089,3.62918,4.7773,7.45005,3.62918,2,1.26751,0,0,ok
70000,35,309.632,-453634.686198,145021.3125,-308613.373698,3.49676,4.61225,7.1353,3.49676,2,1.34881,0,0,ok
71000,35.5,309.77,-455358.576823,145085.875,-310272.701823,3.55124,4.49448,7.23264,3.55124,2,1.20392,0,0,ok
72000,36,308.264,-454013.348308,144380.3125,-309633.035808,3.51109,4.68814,7.49702,3.51109,2,1.36791,0,0,ok
73000,36.5,313.211,-453249.251628,146697.59375,-306551.657878,3.908,4.0345,6.63111,3.908,2,1.24252,0,0,ok
74000,37,309.131,-453770.11198,144786.46875,-308983.64323,3.78499,4.28107,7.67005,3.78499,2,1.32967,0,0,ok
75000,37.5,311.229,-453373.073894,145769.09375,-307603.980144,3.8432,4.78348,7.3425,3.8432,2,1.70219,0,0,ok
76000,38,311.479,-453222.751628,145886.171875,-307336.579753,4.01763,3.71932,6.87779,3.71932,2,1.26272,0,0,ok
77000,38.5,311.61,-454954.603191,145947.6875,-309006.915691,4.03414,4.05289,7.16626,4.03414,2,1.24051,0,0,ok
78000,39,310.645,-455082.147136,145495.375,-309586.772136,3.97923,4.06261,6.87483,3.97923,2,1.07386,0,0,ok
79000,39.5,311.428,-455485.288737,145862.34375,-309622.944987,3.5361,4.18297,6.47415,3.5361,2,1.23568,0,0,ok
80000,40,309.028,-454442.985026,144738.078125,-309704.906901,3.67478,3.81516,5.7906,3.67478,2,1.21629,0,0,ok
81000,40.5,310.781,-453767.54948,145559.453125,-308208.096355,3.61408,3.8656,5.59807,3.61408,2,1.37552,0,0,ok
82000,41,311.328,-453835.201823,145815.625,-308019.576823,3.5583,3.80031,5.36924,3.5583,2,1.69703,0,0,ok
83000,41.5,311.799,-453493.419597,146036.1875,-307457.232097,3.55356,3.83362,5.43158,3.55356,2,1.4848,0,0,ok
84000,42,310.599,-454445.950359,145474.078125,-308971.872234,3.88135,3.62693,5.05519,3.62693,2,1.76166,0,0,ok
85000,42.5,308.859,-454401.941081,144659.03125,-309742.909831,3.71869,3.91926,5.40583,3.71869,2,1.93835,0,0,ok
86000,43,311.65,-453701.846355,145966.390625,-307735.45573,3.6537,4.05974,5.20493,3.6537,2,1.80511,0,0,ok
87000,43.5,311.029,-454113.865886,145675.234375,-308438.631511,3.93541,4.26071,5.58904,3.93541,2,1.71853,0,0,ok
88000,44,310.378,-454289.849284,145370.703125,-308919.146159,3.96502,3.95187,5.30903,3.95187,2,1.84059,0,0,ok
89000,44.5,310.461,-455052.565105,145409.28125,-309643.283855,3.45463,4.07734,5.45882,3.45463,2,1.74377,0,0,ok
90000,45,311.953,-456934.581706,146108.03125,-310826.550456,3.86194,3.91098,4.75551,3.86194,2,1.75461,0,0,ok
91000,45.5,308.55,-455866.127605,144514.15625,-311351.971355,4.01692,4.2144,5.2517,4.01692,2,1.84484,0,0,ok
92000,46,311.581,-455502.644206,145933.90625,-309568.737956,3.99093,3.80663,4.17543,3.80663,2,1.86468,0,0,ok
93000,46.5,308.718,-454597.039714,144592.84375,-310004.195964,3.75669,4.09835,5.31171,3.75669,2,1.7239,0,0,ok
94000,47,309.209,-454382.511394,144823.25,-309559.261394,3.71433,4.19024,6.05089,3.71433,2,2.01706,0,0,ok
95000,47.5,308.985,-453861.634441,144718.21875,-309143.415691,3.4428,4.16582,5.64247,3.4428,2,1.89438,0,0,ok
96000,48,310.314,-454272.688151,145340.53125,-308932.156901,3.43851,4.15671,6.15831,3.43851,2,1.77742,0,0,ok
97000,48.5,308.602,-455001.977702,144538.921875,-310463.055827,3.53477,4.27831,5.49898,3.53477,2,1.62939,0,0,ok
98000,49,311.355,-454454.181316,145828.09375,-308626.087566,3.76243,3.93751,4.91105,3.76243,2,1.90546,0,0,ok
99000,49.5,310.338,-454688.757487,145351.6875,-309337.069987,3.6083,3.75097,4.80609,3.6083,2,2.12378,0,0,ok
100000,50,313.008,-453917.650554,146602.40625,-307315.244304,3.57358,4.02495,5.1281,3.57358,2,1.9349,0,0,ok
