step,time_ps,temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,ligand_key_min_distance_A,ligand_near_chains_count,ligand_rmsd_A,severe_lt_1A,close_lt_1p5A,status
0,0,49.6449,-631010.861541,23184.5039062,3.43928,2,5.60665e-06,0,0,ok
100,0.005,34.8994,-623781.917693,16298.2402344,3.44285,2,0.0123118,0,0,ok
200,0.01,29.5854,-620416.981658,13816.5878906,3.44031,2,0.0195823,0,0,ok
300,0.015,29.5114,-619422.837615,13782.03125,3.43483,2,0.0249603,0,0,ok
400,0.02,29.1343,-618333.114471,13605.921875,3.43211,2,0.0303274,0,0,ok
500,0.025,32.2688,-618867.366424,15069.7597656,3.43547,2,0.0353443,0,0,ok
600,0.03,31.7792,-617844.242888,14841.0957031,3.44854,2,0.0397706,0,0,ok
700,0.035,33.1457,-617698.604217,15479.2421875,3.46639,2,0.0433236,0,0,ok
800,0.04,32.5213,-616584.269744,15187.6611328,3.48394,2,0.0465642,0,0,ok
900,0.045,33.5992,-616319.835174,15691.0429688,3.49554,2,0.0498074,0,0,ok
1000,0.05,33.8944,-615735.499236,15828.9140625,3.49659,2,0.0536289,0,0,ok
1100,0.055,34.6241,-615355.732146,16169.6777344,3.49019,2,0.0563421,0,0,ok
1200,0.06,36.3704,-615502.494353,16985.2304688,3.49291,2,0.0572583,0,0,ok
1300,0.065,36.5516,-615012.520232,17069.84375,3.51184,2,0.0595829,0,0,ok
1400,0.07,37.5635,-614931.139861,17542.4140625,3.53251,2,0.0633847,0,0,ok
1500,0.075,37.3768,-614261.028533,17455.2011719,3.53747,2,0.0670748,0,0,ok
1600,0.08,38.0414,-614009.291228,17765.578125,3.52697,2,0.0695209,0,0,ok
1700,0.085,38.2099,-613521.865447,17844.2773438,3.51361,2,0.0722336,0,0,ok
1800,0.09,38.7559,-613281.107146,18099.28125,3.5062,2,0.0745688,0,0,ok
1900,0.095,39.5702,-613156.349822,18479.5390625,3.50448,2,0.0774134,0,0,ok
2000,0.1,39.5899,-612649.140349,18488.7695312,3.49793,2,0.0814108,0,0,ok
2100,0.105,40.55,-612631.945037,18937.1171875,3.49243,2,0.0855839,0,0,ok
2200,0.11,40.8253,-612350.673553,19065.703125,3.49559,2,0.0893552,0,0,ok
2300,0.115,41.6247,-612283.549041,19439.0351562,3.49784,2,0.0924024,0,0,ok
2400,0.12,41.2851,-611767.902556,19280.4042969,3.49252,2,0.0944122,0,0,ok
2500,0.125,41.9432,-611717.787322,19587.7558594,3.49438,2,0.0956838,0,0,ok
2600,0.13,42.4137,-611593.970916,19807.4960938,3.50552,2,0.0961373,0,0,ok
2700,0.135,42.5877,-611322.738006,19888.7246094,3.51326,2,0.0965833,0,0,ok
2800,0.14,43.3552,-611317.647674,20247.171875,3.51228,2,0.097586,0,0,ok
2900,0.145,43.5234,-611036.102263,20325.7441406,3.50477,2,0.100186,0,0,ok
3000,0.15,43.6249,-610792.96408,20373.1386719,3.49634,2,0.102823,0,0,ok
3100,0.155,43.8111,-610606.503142,20460.0859375,3.47938,2,0.104778,0,0,ok
3200,0.16,44.5619,-610684.863494,20810.7148438,3.45518,2,0.107014,0,0,ok
3300,0.165,44.4789,-610441.709197,20771.9414062,3.43092,2,0.108304,0,0,ok
3400,0.17,44.4821,-610204.909881,20773.4296875,3.40774,2,0.109405,0,0,ok
3500,0.175,45.2286,-610338.972869,21122.0390625,3.38877,2,0.112092,0,0,ok
3600,0.18,45.2163,-610076.514861,21116.3339844,3.38023,2,0.115814,0,0,ok
3700,0.185,45.7331,-610079.504119,21357.6875,3.38125,2,0.120043,0,0,ok
3800,0.19,45.4574,-609760.017791,21228.9101562,3.38595,2,0.12311,0,0,ok
3900,0.195,45.7327,-609703.235564,21357.4863281,3.38411,2,0.12507,0,0,ok
4000,0.2,46.2,-609832.468474,21575.734375,3.38389,2,0.127303,0,0,ok
