system,completed_ps,temperature_min,temperature_max,temperature_mean,temperature_final,potential_energy_initial,potential_energy_final,potential_energy_mean,ligand_rmsd_initial,ligand_rmsd_final,ligand_rmsd_max,key_min_distance_initial,key_min_distance_final,key_min_distance_min,key_min_distance_max,key_min_distance_mean,TYR13_distance_initial,TYR13_distance_final,TYR13_distance_mean,VAL17_distance_initial,VAL17_distance_final,VAL17_distance_mean,SER20_distance_initial,SER20_distance_final,SER20_distance_mean,near_chains_all_2,severe_clash_ever,close_clash_ever,NaN_detected
20chol,100,306.937,313.268,310.414,310.952,-453981,-453165,-452422,0.000476316,1.19815,1.52269,3.70177,3.6668,3.24725,4.53247,3.74823,6.37826,7.4894,6.87328,3.52128,3.66679,3.86602,4.39362,4.36836,4.10325,True,False,False,False
40chol,100,307.013,314.195,310.457,311.505,-446508,-447460,-446411,0.000487925,1.55302,3.00028,3.82823,4.47124,3.06787,5.5268,3.80623,3.82823,4.47124,3.80623,7.75557,8.74193,8.25231,6.50974,7.98056,8.12394,True,False,False,False
