step,time_ps,temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,total_energy_kJ_mol,ligand_distance_TYR13_A,ligand_distance_VAL17_A,ligand_distance_SER20_A,ligand_min_distance_to_key_residues_A,ligand_near_chains_count,ligand_heavy_rmsd_vs_50ps_input_A,severe_lt_1A,close_lt_1p5A,status
1000,0.5,307.58,-443740.8343,139752.03125,-303988.80305,3.5946,4.10637,5.32724,3.5946,2,0.519507,0,0,ok
2000,1,310.725,-444460.464183,141181.09375,-303279.370433,3.67245,4.97211,4.50259,3.67245,2,0.806759,0,0,ok
3000,1.5,310.156,-444627.761058,140922.453125,-303705.307933,3.40052,4.00121,4.80772,3.40052,2,1.30635,0,0,ok
4000,2,308.925,-443273.566722,140363.203125,-302910.363597,3.24781,4.26004,4.96632,3.24781,2,1.32349,0,0,ok
5000,2.5,311.339,-444941.956371,141460.0625,-303481.893871,3.50299,4.11004,4.7454,3.50299,2,1.26957,0,0,ok
6000,3,310.985,-443576.234691,141299.09375,-302277.140941,3.53625,3.64575,4.3501,3.53625,2,1.2933,0,0,ok
7000,3.5,310.81,-443706.096507,141219.96875,-302486.127757,3.90895,3.86475,4.79291,3.86475,2,1.57375,0,0,ok
8000,4,309.39,-443631.347972,140574.359375,-303056.988597,4.02964,3.84645,4.4807,3.84645,2,1.45041,0,0,ok
9000,4.5,308.482,-444404.673167,140161.8125,-304242.860667,3.59563,3.70836,5.1892,3.59563,2,1.53043,0,0,ok
10000,5,307.802,-444790.608714,139853.21875,-304937.389964,3.63284,3.63631,5.00078,3.63284,2,1.48855,0,0,ok
11000,5.5,309.062,-444703.813792,140425.640625,-304278.173167,3.6358,4.33492,5.12944,3.6358,2,1.62783,0,0,ok
12000,6,310.476,-443225.737621,141068.15625,-302157.581371,3.7495,4.1535,5.28634,3.7495,2,1.79804,0,0,ok
13000,6.5,310.387,-443553.05305,141027.53125,-302525.5218,3.43481,3.80829,5.01056,3.43481,2,1.57041,0,0,ok
14000,7,309.067,-444506.956371,140428.03125,-304078.925121,3.34617,4.20453,5.42093,3.34617,2,1.59738,0,0,ok
15000,7.5,309.701,-445089.613597,140715.65625,-304373.957347,3.44516,3.71027,4.89886,3.44516,2,1.39226,0,0,ok
16000,8,309.244,-444647.580394,140508.234375,-304139.346019,3.71974,4.02108,5.00219,3.71974,2,1.45818,0,0,ok
17000,8.5,310.217,-444285.890941,140950.375,-303335.515941,3.86973,4.07585,5.21797,3.86973,2,1.49486,0,0,ok
18000,9,310.995,-444354.74055,141304.03125,-303050.7093,4.44415,4.46513,5.29068,4.44415,2,1.43983,0,0,ok
19000,9.5,310.798,-444850.431957,141214.25,-303636.181957,3.75352,3.65426,5.0416,3.65426,2,1.55086,0,0,ok
20000,10,307.971,-444916.494457,139929.875,-304986.619457,3.3607,3.55331,5.04708,3.3607,2,1.57955,0,0,ok
21000,10.5,310.879,-443881.304027,141250.9375,-302630.366527,3.32985,3.60678,4.80953,3.32985,2,1.52502,0,0,ok
22000,11,311.51,-445189.117503,141537.671875,-303651.445628,3.27346,3.72111,4.1925,3.27346,2,1.26389,0,0,ok
23000,11.5,310.809,-444025.094066,141219.1875,-302805.906566,4.06045,4.38531,5.23854,4.06045,2,1.04043,0,0,ok
24000,12,311.003,-443814.822582,141307.40625,-302507.416332,3.46407,4.63933,4.56448,3.46407,2,1.12802,0,0,ok
25000,12.5,311.313,-442213.227367,141448.25,-300764.977367,3.75853,4.25119,4.81533,3.75853,2,1.17682,0,0,ok
26000,13,312.465,-444928.404613,141971.65625,-302956.748363,3.76672,4.98756,4.95637,3.76672,2,1.01168,0,0,ok
27000,13.5,311.208,-444353.181957,141400.59375,-302952.588207,4.16721,4.27684,5.12103,4.16721,2,1.34914,0,0,ok
28000,14,313.874,-444744.658519,142611.9375,-302132.721019,3.91939,4.56126,5.26579,3.91939,2,1.5966,0,0,ok
29000,14.5,308.348,-445274.486644,140101.359375,-305173.127269,3.59094,4.23693,4.74855,3.59094,2,1.78686,0,0,ok
30000,15,310.182,-446035.872386,140934.3125,-305101.559886,3.34103,4.56848,5.91913,3.34103,2,2.06033,0,0,ok
31000,15.5,310.217,-444886.325023,140950.34375,-303935.981273,3.70983,4.44354,5.47524,3.70983,2,1.6979,0,0,ok
