step,temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,max_force_kJ_mol_nm,top_force_atom,severe_lt_1A,close_lt_1p5A,ligand_key_min_distance_A,ligand_near_chains_count,ligand_rmsd_A,status
2300,41.9289,-597006.567407,19050.8554688,2468.40412352,OH2 TIP3 TIP3:3224 index=28587,0,0,3.6864,2,0.0991997,ok
2400,41.4454,-596413.445825,18831.1601562,2560.87118066,OH2 TIP3 TIP3:3224 index=28587,0,0,3.683,2,0.102915,ok
2500,42.0779,-596253.496118,19118.5273438,2628.89256922,OH2 TIP3 TIP3:3224 index=28587,0,0,3.67516,2,0.104987,ok
2600,42.6548,-596168.200708,19380.6503906,2616.18760515,OH2 TIP3 TIP3:3224 index=28587,0,0,3.66459,2,0.105792,ok
2700,42.8561,-595929.553247,19472.09375,2555.15345848,OH2 TIP3 TIP3:3224 index=28587,0,0,3.64947,2,0.106795,ok
2800,43.2649,-595868.043481,19657.8671875,2496.91439031,OH2 TIP3 TIP3:3224 index=28587,0,0,3.63495,2,0.109206,ok
2900,43.3475,-595592.747583,19695.3867188,2455.2722079,OH2 TIP3 TIP3:3224 index=28587,0,0,3.62574,2,0.11232,ok
3000,43.8099,-595556.88479,19905.4648438,2422.65520449,OH2 TIP3 TIP3:4460 index=32295,0,0,3.62352,2,0.114943,ok
3100,44.2376,-595386.047876,20099.8320312,2477.78794912,OH2 TIP3 TIP3:4460 index=32295,0,0,3.62824,2,0.117277,ok
3200,44.7267,-595400.737329,20322.0585938,2497.20724092,OH2 TIP3 TIP3:4460 index=32295,0,0,3.6303,2,0.120371,ok
3300,44.9569,-595278.005884,20426.6171875,2500.29044274,OH2 TIP3 TIP3:4460 index=32295,0,0,3.62978,2,0.123637,ok
3400,44.8227,-595008.124536,20365.6445312,2459.29949557,OH2 TIP3 TIP3:4460 index=32295,0,0,3.63425,2,0.126944,ok
3500,45.1822,-594958.628442,20529.0078125,2416.8232968,OH2 TIP3 TIP3:1214 index=22557,0,0,3.64761,2,0.130203,ok
3600,45.1166,-594680.845727,20499.2050781,2480.08399191,OH2 TIP3 TIP3:7417 index=41166,0,0,3.65832,2,0.134044,ok
3700,45.5686,-594665.247095,20704.5585938,2504.68330076,OH2 TIP3 TIP3:7417 index=41166,0,0,3.6609,2,0.138352,ok
3800,45.5486,-594487.337427,20695.5019531,2482.49547068,OH2 TIP3 TIP3:9696 index=48003,0,0,3.66008,2,0.143686,ok
3900,45.9814,-594437.775903,20892.1484375,2576.07361569,OH2 TIP3 TIP3:7831 index=42408,0,0,3.65976,2,0.149047,ok
4000,46.2338,-594403.778345,21006.8046875,2653.64096709,OH2 TIP3 TIP3:7831 index=42408,0,0,3.6476,2,0.153262,ok
