system,completed_ps,temperature_min,temperature_max,temperature_mean,temperature_final,potential_energy_initial,potential_energy_final,potential_energy_mean,ligand_rmsd_initial,ligand_rmsd_final,ligand_rmsd_max,key_min_distance_initial,key_min_distance_final,key_min_distance_min,key_min_distance_max,key_min_distance_mean,TYR13_distance_initial,TYR13_distance_final,TYR13_distance_min,TYR13_distance_max,TYR13_distance_mean,VAL17_distance_initial,VAL17_distance_final,VAL17_distance_min,VAL17_distance_max,VAL17_distance_mean,SER20_distance_initial,SER20_distance_final,SER20_distance_min,SER20_distance_max,SER20_distance_mean,near_chains_all_2,severe_clash_ever,close_clash_ever,NaN_detected
20chol,100.0,306.879,313.012,310.17556,309.277,-457283.561736,-457908.861541,-456892.1071072802,1.0577,1.00458,2.63139,3.46316,3.69957,3.1388,4.43629,3.6944034000000006,4.62984,4.08762,3.22645,5.2729,3.9003442,3.68632,3.69957,3.248,4.9946,3.9561407000000015,3.46316,4.17884,3.1388,6.48965,5.127993600000001,True,False,False,False
40chol,100.0,306.928,314.071,310.45168000000007,311.039,-446610.935543,-446521.780758,-447385.34435667,0.600848,1.11044,1.57828,3.0016,3.3584,3.0016,4.07209,3.4887956000000004,3.0016,3.3584,3.0016,4.07209,3.4972355,4.14722,6.19057,3.43751,6.94213,4.8336638999999995,4.05344,6.19966,3.28306,6.38796,4.837745300000002,True,False,False,False
