step,time_ps,temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,total_energy_kJ_mol,ligand_distance_TYR13_A,ligand_distance_VAL17_A,ligand_distance_SER20_A,ligand_min_distance_to_key_residues_A,ligand_near_chains_count,ligand_heavy_rmsd_vs_50ps_input_A,severe_lt_1A,close_lt_1p5A,status
1000,0.5,312.187,-453940.711723,145803.59375,-308137.117973,3.61295,3.85471,3.92816,3.61295,2,0.503547,0,0,ok
2000,1,309.547,-453271.886527,144571.03125,-308700.855277,3.29197,3.76483,3.85032,3.29197,2,0.514975,0,0,ok
3000,1.5,312.499,-452663.768363,145949.4375,-306714.330863,3.56985,3.76595,3.63514,3.56985,2,0.349661,0,0,ok
4000,2,309.85,-453173.866996,144712.53125,-308461.335746,3.50202,4.08787,4.31877,3.50202,2,0.820641,0,0,ok
5000,2.5,312.187,-454030.869926,145803.75,-308227.119926,3.36087,4.06347,4.09258,3.36087,2,0.731252,0,0,ok
6000,3,312.699,-452872.561332,146043.09375,-306829.467582,3.50087,3.77584,3.52963,3.50087,2,0.689084,0,0,ok
7000,3.5,311.016,-453611.796195,145256.796875,-308354.99932,3.98126,4.37658,3.61846,3.61846,2,0.996009,0,0,ok
8000,4,310.25,-453819.80059,144899.28125,-308920.51934,4.36052,3.71034,3.54692,3.54692,2,1.25991,0,0,ok
9000,4.5,310.598,-453195.284965,145061.875,-308133.409965,4.94078,3.7146,4.27811,3.7146,2,1.19115,0,0,ok
10000,5,310.75,-454084.60723,145132.53125,-308952.07598,4.46511,3.8536,4.1188,3.8536,2,1.08875,0,0,ok
11000,5.5,309.288,-453798.311332,144450,-309348.311332,4.25034,3.73575,3.44436,3.44436,2,0.799209,0,0,ok
12000,6,308.744,-453364.70684,144196.015625,-309168.691215,5.05967,4.23891,3.79766,3.79766,2,0.771775,0,0,ok
13000,6.5,310.675,-453716.537894,145097.609375,-308618.928519,5.74742,4.08243,3.33971,3.33971,2,0.793006,0,0,ok
14000,7,310.753,-454216.928519,145134.0625,-309082.866019,5.95311,3.92217,3.51435,3.51435,2,0.851144,0,0,ok
15000,7.5,310.011,-453638.867973,144787.390625,-308851.477348,6.43422,3.8519,3.48952,3.48952,2,1.18174,0,0,ok
16000,8,309.427,-454637.060844,144514.90625,-310122.154594,6.48025,4.53287,3.82761,3.82761,2,1.21423,0,0,ok
17000,8.5,310.592,-454781.430473,145059,-309722.430473,6.93926,4.26449,3.9742,3.9742,2,1.24732,0,0,ok
18000,9,310.539,-452930.194144,145034.0625,-307896.131644,5.9766,4.29027,3.70007,3.70007,2,0.94214,0,0,ok
19000,9.5,308.562,-453578.114066,144110.5625,-309467.551566,5.62241,3.92499,3.55224,3.55224,2,1.05052,0,0,ok
20000,10,310.032,-453512.582816,144797.21875,-308715.364066,6.09688,4.42769,3.43358,3.43358,2,1.02082,0,0,ok
21000,10.5,310.487,-453930.207816,145010.03125,-308920.176566,4.92424,4.26456,3.79822,3.79822,2,1.02563,0,0,ok
22000,11,311.097,-452873.772269,145294.71875,-307579.053519,5.52851,4.00349,3.77964,3.77964,2,1.01493,0,0,ok
23000,11.5,310.645,-452701.849418,145083.5,-307618.349418,4.64051,3.87619,3.38566,3.38566,2,0.843429,0,0,ok
24000,12,313.081,-454635.304496,146221.4375,-308413.866996,4.60101,4.28517,3.64772,3.64772,2,0.8043,0,0,ok
25000,12.5,307.926,-454559.881644,143813.90625,-310745.975394,5.12609,4.30341,3.96668,3.96668,2,0.888765,0,0,ok
26000,13,310.087,-453792.744926,144823,-308969.744926,4.6372,4.37491,3.49011,3.49011,2,0.733151,0,0,ok
27000,13.5,308.392,-454189.35723,144031.5625,-310157.79473,5.11967,4.19484,3.61104,3.61104,2,0.728927,0,0,ok
28000,14,309.798,-454092.252738,144688.1875,-309404.065238,3.96005,3.95633,4.08503,3.95633,2,0.675949,0,0,ok
29000,14.5,309.36,-453162.193168,144483.59375,-308678.599418,3.75677,3.52014,3.66958,3.52014,2,1.09834,0,0,ok
30000,15,311.991,-454776.288871,145712.28125,-309064.007621,4.81126,4.58366,3.4751,3.4751,2,0.875021,0,0,ok
31000,15.5,311.563,-454566.736137,145512.328125,-309054.408012,4.8604,4.20423,3.38211,3.38211,2,0.692118,0,0,ok
32000,16,308.204,-453871.05059,143943.375,-309927.67559,4.27343,3.88826,3.3939,3.3939,2,0.869604,0,0,ok
33000,16.5,309.415,-454664.192191,144509.28125,-310154.910941,4.02884,3.64581,3.37681,3.37681,2,1.07494,0,0,ok
34000,17,309.579,-455171.656059,144585.8125,-310585.843559,4.00329,3.88996,3.33477,3.33477,2,0.946353,0,0,ok
35000,17.5,309.831,-453724.326957,144703.484375,-309020.842582,3.57389,3.86969,3.72415,3.57389,2,0.949767,0,0,ok
36000,18,310.352,-454044.104301,144946.84375,-309097.260551,4.3633,3.72845,3.37732,3.37732,2,0.814544,0,0,ok
37000,18.5,313.458,-454624.707816,146397.28125,-308227.426566,4.24483,4.08157,3.67596,3.67596,2,0.653754,0,0,ok
38000,19,311.404,-454414.366019,145438.21875,-308976.147269,4.14327,4.28691,3.38146,3.38146,2,0.855769,0,0,ok
39000,19.5,311.442,-453773.946098,145456.046875,-308317.899223,3.79669,3.15972,4.08069,3.15972,2,1.02091,0,0,ok
40000,20,310.477,-453482.848441,145005.015625,-308477.832816,4.30772,3.7483,3.60288,3.60288,2,0.871577,0,0,ok
41000,20.5,314.185,-453640.546684,146737.078125,-306903.468559,3.78062,3.60129,3.60028,3.60028,2,0.88534,0,0,ok
42000,21,312.948,-453566.739066,146159.40625,-307407.332816,4.11051,3.45798,3.60397,3.45798,2,1.06979,0,0,ok
43000,21.5,309.52,-453527.194144,144558.4375,-308968.756644,4.11538,3.84265,3.55862,3.55862,2,0.858716,0,0,ok
44000,22,310.265,-453237.431449,144906.25,-308331.181449,4.64261,3.71148,3.01193,3.01193,2,1.20055,0,0,ok
45000,22.5,309.707,-454256.73809,144645.59375,-309611.14434,4.48565,3.9447,3.0027,3.0027,2,0.889771,0,0,ok
46000,23,310.376,-454363.272269,144957.828125,-309405.444144,4.31996,3.86976,3.52071,3.52071,2,0.699403,0,0,ok
47000,23.5,310.811,-451987.104301,145161.171875,-306825.932426,3.96237,3.16424,3.47796,3.16424,2,1.04,0,0,ok
48000,24,309.584,-453420.216605,144588.125,-308832.091605,4.76874,3.66708,3.64213,3.64213,2,1.36024,0,0,ok
49000,24.5,311.998,-453724.211723,145715.53125,-308008.680473,4.67759,3.89144,3.69169,3.69169,2,1.1589,0,0,ok
50000,25,311.965,-453773.598441,145700.171875,-308073.426566,3.50839,3.5557,3.61232,3.50839,2,1.39442,0,0,ok
51000,25.5,310.956,-453120.856254,145228.8125,-307892.043754,3.8535,3.88597,3.51338,3.51338,2,1.37332,0,0,ok
52000,26,310.559,-454539.676566,145043.59375,-309496.082816,4.46828,3.94745,3.285,3.285,2,0.777376,0,0,ok
53000,26.5,310.541,-453732.947074,145035.28125,-308697.665824,4.54471,3.54436,3.45843,3.45843,2,0.84941,0,0,ok
54000,27,309.114,-453646.992973,144368.375,-309278.617973,4.27806,4.84461,2.8514,2.8514,2,0.731134,0,0,ok
55000,27.5,311.349,-453666.543754,145412.40625,-308254.137504,4.72893,4.3885,3.84836,3.84836,2,1.01638,0,0,ok
56000,28,309.362,-453945.688285,144484.265625,-309461.42266,4.64178,3.80838,3.22007,3.22007,2,1.0914,0,0,ok
57000,28.5,310.266,-453849.409965,144906.78125,-308942.628715,4.44451,3.93561,3.3311,3.3311,2,0.885854,0,0,ok
58000,29,309.436,-454113.746879,144519.03125,-309594.715629,3.93329,4.16001,3.349,3.349,2,0.627949,0,0,ok
59000,29.5,309.54,-452179.972465,144567.640625,-307612.33184,4.19674,3.77234,3.84118,3.77234,2,0.739163,0,0,ok
60000,30,309.176,-455999.179496,144397.609375,-311601.570121,4.43473,4.33441,3.39234,3.39234,2,0.696366,0,0,ok
61000,30.5,311.027,-453511.489066,145261.96875,-308249.520316,4.99275,3.80775,3.56314,3.56314,2,1.277,0,0,ok
62000,31,312.686,-453734.177543,146036.765625,-307697.411918,4.95352,5.02023,3.4384,3.4384,2,1.3743,0,0,ok
63000,31.5,309.749,-453718.50225,144665.296875,-309053.205375,5.43163,4.32853,3.47178,3.47178,2,1.13307,0,0,ok
64000,32,309.753,-453586.33184,144667.125,-308919.20684,4.81377,3.80592,3.75073,3.75073,2,1.39511,0,0,ok
65000,32.5,309.722,-453068.42266,144652.421875,-308416.000785,4.50249,4.21943,3.70093,3.70093,2,0.917289,0,0,ok
66000,33,310.553,-453597.168754,145040.6875,-308556.481254,4.41205,3.90662,3.79667,3.79667,2,1.16476,0,0,ok
67000,33.5,309.594,-454078.733695,144592.703125,-309486.03057,4.0976,4.15805,3.84048,3.84048,2,1.02162,0,0,ok
68000,34,309.707,-454473.61016,144645.75,-309827.86016,4.35048,3.98989,3.56262,3.56262,2,0.724955,0,0,ok
69000,34.5,309.734,-455037.045707,144658.109375,-310378.936332,3.5416,3.7132,3.58627,3.5416,2,0.797239,0,0,ok
70000,35,309.06,-455168.283988,144343.375,-310824.908988,3.71069,3.88122,3.72798,3.71069,2,0.96645,0,0,ok
71000,35.5,310.771,-455319.529594,145142.5,-310177.029594,3.45745,3.27904,3.7125,3.27904,2,1.20099,0,0,ok
72000,36,308.881,-454131.17559,144259.703125,-309871.472465,3.92613,3.80258,3.48725,3.48725,2,1.12234,0,0,ok
73000,36.5,312.446,-453855.07598,145924.5625,-307930.51348,4.55323,3.68361,3.48832,3.48832,2,1.16289,0,0,ok
74000,37,313.136,-454423.066215,146247.1875,-308175.878715,4.57678,3.5366,3.22978,3.22978,2,0.947199,0,0,ok
75000,37.5,310.311,-454207.883598,144927.46875,-309280.414848,4.36347,3.42082,3.3378,3.3378,2,1.1337,0,0,ok
76000,38,312.301,-454569.845512,145857.109375,-308712.736137,4.43474,3.89918,3.09599,3.09599,2,0.86718,0,0,ok
77000,38.5,311.908,-453584.564262,145673.40625,-307911.158012,4.91814,3.67618,3.6141,3.6141,2,0.879946,0,0,ok
78000,39,309.724,-453736.128715,144653.5625,-309082.566215,4.5554,4.39766,3.6137,3.6137,2,0.906843,0,0,ok
79000,39.5,311.237,-454766.386527,145359.9375,-309406.449027,3.90661,4.11749,3.39667,3.39667,2,0.685725,0,0,ok
80000,40,308.621,-453639.967582,144138.1875,-309501.780082,3.70289,3.94188,3.71614,3.70289,2,0.889748,0,0,ok
81000,40.5,311.575,-453609.895316,145517.8125,-308092.082816,4.08633,3.98018,3.28614,3.28614,2,0.644668,0,0,ok
82000,41,309.134,-454049.353324,144378.09375,-309671.259574,3.69334,4.32735,3.99207,3.69334,2,0.975629,0,0,ok
83000,41.5,311.101,-455976.661918,145296.578125,-310680.083793,4.52795,4.02006,3.37477,3.37477,2,0.882847,0,0,ok
84000,42,308.317,-455299.432426,143996.4375,-311302.994926,4.08545,3.70402,3.64813,3.64813,2,0.924263,0,0,ok
85000,42.5,310.25,-454346.705863,144898.984375,-309447.721488,4.04845,3.87928,3.88246,3.87928,2,0.92065,0,0,ok
86000,43,309.451,-454832.957816,144526.21875,-310306.739066,4.1171,3.60413,3.31177,3.31177,2,0.787022,0,0,ok
87000,43.5,311.209,-455030.010551,145347.15625,-309682.854301,4.034,4.52576,3.65936,3.65936,2,0.859504,0,0,ok
88000,44,309.59,-453938.476371,144590.859375,-309347.616996,4.53381,4.42031,4.05715,4.05715,2,1.04533,0,0,ok
89000,44.5,309.075,-453686.910941,144350.28125,-309336.629691,4.30099,4.69709,3.34889,3.34889,2,0.916584,0,0,ok
90000,45,311.723,-453770.572074,145586.96875,-308183.603324,4.68608,3.94048,3.45767,3.45767,2,0.880676,0,0,ok
91000,45.5,309.545,-454344.886527,144570.03125,-309774.855277,4.40771,4.18295,3.34451,3.34451,2,0.741934,0,0,ok
92000,46,309.817,-453980.125785,144696.71875,-309283.407035,4.64382,4.10167,3.22827,3.22827,2,0.716764,0,0,ok
93000,46.5,310.644,-454253.310355,145083.3125,-309169.997855,4.4497,3.5143,3.5817,3.5143,2,0.889488,0,0,ok
94000,47,309.027,-453790.67266,144327.875,-309462.79766,4.00203,3.97861,3.88774,3.88774,2,0.875173,0,0,ok
95000,47.5,310.271,-455009.378715,144909.171875,-310100.20684,4.24517,4.19781,3.83965,3.83965,2,1.02037,0,0,ok
96000,48,311.501,-455571.123832,145483.46875,-310087.655082,4.50613,3.87513,3.50275,3.50275,2,0.932526,0,0,ok
97000,48.5,310.863,-454456.92559,145185.578125,-309271.347465,4.40547,4.07783,3.8982,3.8982,2,0.787563,0,0,ok
98000,49,311.445,-455076.11016,145457.265625,-309618.844535,4.29658,4.19195,3.675,3.675,2,0.852195,0,0,ok
99000,49.5,308.213,-455520.542777,143947.8125,-311572.730277,4.15238,4.15804,3.77489,3.77489,2,0.859529,0,0,ok
100000,50,311.485,-454211.894828,145475.796875,-308736.097953,3.72805,3.94055,3.77915,3.72805,2,0.875924,0,0,ok
